Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.3502397285137381,-2.004518929668959,0.0,0.13094116182720175,0.088,56/115,36.77%,GFRA1;ROBO1;AKT3;EVL;TUBB2A;DSCAM;TCF4;RUNX1;EPHB6;MAPK12;ITGA2B;TLN1;CHD4;BCL2;PSMD5;MAML3;GMPR;EGF;PLXNA4;LEF1;NTN4;PCSK6;ZEB2;TRPC3;COL5A2;EPHA4;PTPRC;KRT79;TFRC;NCOA3;MYO10;BMP7;LYN;EBF1;SYTL2;RELN;CACNA1C;LAMB1;PRKCA;PRX;ZFP36L2;SPRR1B;FOXH1;FOXA2;SCN4A;MC5R;TUBB4A;LGI4;WT1;COL6A5;TAL1;HOXB3;HEY1;SCN2A;TFEC;FOXL2
gsea,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,-0.6983518724055506,-1.9402923653761777,0.0030864197530864196,0.14555513078113053,0.176,6/11,10.01%,LGR4;SOX6;TCF4;RSPO3;PSMD5;LEF1
gsea,KEGG_PROSTATE_CANCER,-0.6296095541476285,-1.9057471363981282,0.001694915254237288,0.14730880705560198,0.244,5/14,10.01%,AKT3;CREB3L2;BCL2;EGF;LEF1
gsea,REACTOME_PROGRAMMED_CELL_DEATH,-0.667390985940645,-1.8787695809247467,0.003663003663003663,0.14993932146730918,0.301,6/13,9.46%,AKT3;GAS2;TNFRSF10B;BCL2;PSMD5;PRKN
gsea,WP_PANCREATIC_ADENOCARCINOMA_PATHWAY,-0.673745651904225,-1.8583638253635777,0.0035335689045936395,0.12353675089054451,0.347,6/11,17.34%,AKT3;PLD1;ARHGEF6;CDK6;EGF;RAC2
gsea,KEGG_PANCREATIC_CANCER,-0.673745651904225,-1.8583638253635777,0.0035335689045936395,0.12353675089054451,0.347,6/11,17.34%,AKT3;PLD1;ARHGEF6;CDK6;EGF;RAC2
gsea,KEGG_JAK_STAT_SIGNALING_PATHWAY,-0.7248565099584339,-1.8500169365586288,0.0,0.11574263411511584,0.368,8/15,11.05%,AKT3;SOCS1;IL22RA1;IL12RB2;IL10RA;IL6ST;SPRY4;PIM1
gsea,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,-0.38060008882786095,-1.8340536164464922,0.0049261083743842365,0.11764245007912659,0.41,32/62,46.38%,GFRA1;ROBO1;EVL;TUBB2A;DSCAM;EPHB6;ITGA2B;TLN1;PSMD5;PLXNA4;NTN4;TRPC3;COL5A2;EPHA4;PTPRC;MYO10;LYN;RELN;CACNA1C;LAMB1;PRKCA;PRX;SCN4A;TUBB4A;COL6A5;SCN2A;COL4A4;ANK1;MSN;YES1;ANK3;ROBO2
gsea,REACTOME_APOPTOSIS,-0.6651200496412754,-1.8145361053883773,0.0036101083032490976,0.12665439760071598,0.469,5/12,7.23%,AKT3;GAS2;TNFRSF10B;BCL2;PSMD5
gsea,WP_ACUTE_MYELOID_LEUKEMIA,-0.7323383230825764,-1.7716259420413634,0.008784773060029283,0.17899189174771954,0.616,5/11,11.05%,AKT3;RUNX1;ITGAM;LEF1;PIM1
