Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,WP_NRF2_PATHWAY,0.7201541447777718,2.854985551057514,0.0,0.0,0.0,15/32,8.93%,G6PD;NQO1;TXNRD1;ABCC3;SLC7A11;ME1;FTL;HSPA1A;SLC2A3;GCLC;SQSTM1;PTGR1;ABCC2;GCLM;GPX2
gsea,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.7703029440319897,2.736842154370803,0.0,0.0,0.0,13/25,11.88%,G6PD;NQO1;TXNRD1;ABCC3;SLC7A11;ME1;EGF;GCLC;SQSTM1;GCLM;GPX2;PSMA1;TXNIP
gsea,REACTOME_KEAP1_NFE2L2_PATHWAY,0.8025347992399651,2.677111714804218,0.0,0.0,0.0,11/21,10.38%,G6PD;NQO1;TXNRD1;ABCC3;SLC7A11;ME1;EGF;GCLC;SQSTM1;GCLM;PSMA1
gsea,REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,0.8147460227890829,2.654946244111758,0.0,0.0,0.0,11/19,10.38%,G6PD;NQO1;TXNRD1;ABCC3;SLC7A11;ME1;EGF;GCLC;SQSTM1;GCLM;PSMA1
gsea,WP_FERROPTOSIS,0.7820201418794426,2.462497189180734,0.0,0.0002040816326530612,0.001,9/15,9.58%,AKR1C2;TXNRD1;SLC7A11;FTL;AKR1C3;GCLC;GCLM;CP;AKR1C1
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.49920549521024754,2.3846326208342474,0.0,0.00017006802721088434,0.001,30/65,23.35%,G6PD;NQO1;TXNRD1;ABCC3;SLC7A11;ME1;HSPA1A;EGF;GCLC;KHSRP;TPP1;SQSTM1;ETS1;TUBB4A;GCLM;GPX2;PSMA1;ASNS;TXNIP;TLN1;EGLN1;TUBB2A;HYOU1;CAMK2D;HBA1;FKBP5;AKT3;DDIT3;RAE1;AREG
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.49032755872220396,2.247926682509806,0.0,0.003352769679300292,0.021,27/58,26.15%,G6PD;NQO1;TXNRD1;ABCC3;SLC7A11;ME1;FTL;HSPA1A;SLC2A3;GCLC;SQSTM1;PTGR1;ABCC2;GCLM;GPX2;EGFR;ANGPTL4;TNS4;ALDH3A1;SMARCA1;TGFBR3;CYP1B1;FKBP5;SERTAD2;HMOX1;SLC5A12;SRGN
gsea,WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II,0.5434032356990679,2.1396036666719707,0.0,0.012755102040816327,0.081,10/24,20.41%,AKR1C2;CYP4F11;AKR1C3;EPHX1;NDST4;GPX2;AKR1C1;AKR1B10;CYP27C1;CYP1B1
gsea,WP_PHOTODYNAMIC_THERAPYINDUCED_NFE2L2_NRF2_SURVIVAL_SIGNALING,0.7792824233750107,2.0857207373043196,0.0,0.018480725623582765,0.121,6/10,8.43%,NQO1;ABCC3;GCLC;EPHX1;ABCC2;GCLM
gsea,PID_SHP2_PATHWAY,0.6626315060237999,2.048608152653848,0.0,0.022551020408163265,0.152,5/11,13.97%,ANGPT1;EGF;IL2RG;EGFR;BDNF
gsea,REACTOME_METABOLISM_OF_CARBOHYDRATES,0.495936881668179,1.9958317197716111,0.0,0.030241187384044528,0.214,8/27,13.32%,G6PD;CEMIP;NDST4;ST3GAL2;SDC3;FBP2;CD44;GPC5
gsea,WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,0.6285377875244849,1.9041642770971792,0.0037243947858473,0.0614795918367347,0.408,4/13,4.34%,NQO1;GCLC;SQSTM1;ETS1
gsea,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.6462154365356926,1.896113923724968,0.008791208791208791,0.06193092621664051,0.434,6/10,20.41%,AKR1C2;AKR1C3;EPHX1;AKR1C1;ALDH3A1;CYP1B1
gsea,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,0.5653003087097852,1.8390844197824494,0.003968253968253968,0.08899416909620991,0.565,6/14,13.32%,CEMIP;NDST4;ST3GAL2;SDC3;CD44;GPC5
gsea,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.4807940457239374,1.7892903217594307,0.010050251256281407,0.12210884353741495,0.707,11/21,23.00%,NQO1;TXNRD1;DCT;HGD;PSMA1;ASNS;CPS1;KYNU;CKB;GLUL;NAALAD2
gsea,KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.5845232922945726,1.7024098579136464,0.022935779816513763,0.20044642857142855,0.86,5/10,10.23%,CD37;CD3G;CD4;ITGAM;CD44
