Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,PID_P53_DOWNSTREAM_PATHWAY,0.7113722806037375,2.3271077511911407,0.0,0.002839439331047344,0.004,6/15,5.72%,GDF15;MDM2;TNFRSF10B;IGFBP3;BCL6;DDIT4
gsea,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,-0.7834403643439826,-2.2011377876657066,0.0,0.01721885875005959,0.013,5/10,7.70%,EVL;ROBO1;COL4A5;ABL1;PRKCA
gsea,WP_AXON_GUIDANCE,-0.7148114860741073,-2.1131056033306557,0.0,0.028903084330457168,0.032,7/13,9.88%,ROBO1;FYN;MAPK1;ABL1;PRKCA;BMPR1B;SEMA6C
gsea,REACTOME_KEAP1_NFE2L2_PATHWAY,0.5835186351553038,2.1058962668527452,0.0018656716417910447,0.047560608795043015,0.107,9/21,20.16%,SLC7A11;ABCC3;SESN2;G6PD;NQO1;GCLM;HMOX1;TXNRD1;GCLC
gsea,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,-0.46148264727668015,-2.1041543231376116,0.0,0.02049864136911856,0.035,22/61,23.11%,GFRA1;DSCAM;ADGRV1;EVL;ROBO1;EPHA4;ANK3;CACNA1C;FYN;MAPK1;COL4A5;ABL1;GAB2;PRKCA;YES1;MYO10;TRPC3;PTPRC;EFNA5;TUBB2A;LYN;PLXNA4
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.4378898530204835,-2.096129940620247,0.002577319587628866,0.016296419888449255,0.038,14/32,22.14%,CENPF;BUB1;CENPE;MAPK1;ABL1;NSL1;PRKCA;CDC45;LBR;ANAPC2;CDC14A;NUP214;TUBB2A;LYN
gsea,WP_EGFEGFR_SIGNALING,-0.5416196927457995,-2.043401806955348,0.002,0.02287648376793631,0.068,7/20,10.13%,NCOA3;PLD1;MAPK1;ABL1;GAB2;PRKCA;STAT5B
gsea,WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,0.6454138388275809,2.037350552858511,0.002127659574468085,0.06507048466983496,0.194,5/12,9.54%,C3;TGFB2;CLU;C5;MASP1
gsea,KEGG_ERBB_SIGNALING_PATHWAY,-0.6287670005307172,-2.0266876585377407,0.0037313432835820895,0.023368451160795157,0.081,7/17,10.13%,ERBB4;MAPK1;ABL1;AREG;PRKCA;NRG3;STAT5B
gsea,WP_NRF2_PATHWAY,0.49549357705245056,2.0145117781352484,0.0020964360587002098,0.058918366119232395,0.223,13/32,20.16%,SLC7A11;ABCC3;G6PD;NQO1;TGFB2;GCLM;SLC6A6;PPARD;ABCC2;HMOX1;TXNRD1;SLC5A12;GCLC
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.356729162173957,-2.0106181701225627,0.0,0.02512547756386246,0.097,61/117,47.04%,GFRA1;DSCAM;NCOA3;ADGRV1;MAML3;EVL;BMP7;ROBO1;EPHA4;PCSK6;ANK3;CACNA1C;FYN;MAPK1;COL4A5;ABL1;GAB2;PRKCA;RAB27A;YES1;MYO10;KRT17;TRPC3;ZNF521;PTPRC;KRT79;EFNA5;GATA2;EGF;LEF1;TUBB2A;LYN;PLXNA4;SPRR1B;FOXH1;FOXA2;MC5R;TUBB4A;LGI4;TAL1;HOXB3;HEY1;SCN2A;TFEC;FOXL2;DHH;CHD4;MSN;TFRC;CEACAM1;MAML2;CLTCL1;SLIT3;TP63;NTN4;SPI1;ZFP36L2;ROBO2;MEF2C;FGFR1;ZFPM2
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.585724253742255,-2.010251724485616,0.0024691358024691358,0.021984792868379652,0.097,7/14,11.97%,CENPF;EVL;DIAPH3;BUB1;CENPE;NSL1;FMNL3
gsea,REACTOME_ESR_MEDIATED_SIGNALING,-0.609188248004974,-1.9949538680587804,0.0,0.022411847896902957,0.111,5/15,7.41%,NCOA3;ERBB4;MAPK1;ATF2;AREG
gsea,REACTOME_SIGNALING_BY_ERBB2,-0.698177537008015,-1.9904585234891046,0.0,0.021646565285789197,0.12,5/11,9.16%,ERBB4;FYN;PRKCA;NRG3;YES1
gsea,WP_VITAMIN_D_RECEPTOR_PATHWAY,0.49352309904538916,1.9780041522702487,0.0022988505747126436,0.06189977741683211,0.273,12/32,13.95%,TIMP3;G6PD;TGFB2;IGFBP3;PPARD;ABCB1;KRT16;BCL6;S100A8;G0S2;S100A9;CST1
gsea,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.5117639116241142,1.9727251224461897,0.002053388090349076,0.05383103731777256,0.283,10/25,20.16%,SLC7A11;ABCC3;SESN2;G6PD;NQO1;GCLM;HMOX1;TXNRD1;TXNIP;GCLC
gsea,WP_HDAC6_INTERACTIONS_IN_THE_CENTRAL_NERVOUS_SYSTEM,-0.675507471021147,-1.9576067042199565,0.003676470588235294,0.03085977282478212,0.181,4/12,5.28%,DLG2;MAP3K5;MAPK1;APOE
gsea,KEGG_AXON_GUIDANCE,-0.6050025404581317,-1.9535825673171103,0.003389830508474576,0.030030509605758687,0.191,9/18,17.64%,ROBO1;EPHA4;FYN;MAPK1;ABL1;SEMA6C;EFNA5;NTNG1;RAC2
gsea,PID_ERBB1_DOWNSTREAM_PATHWAY,-0.6377596181552013,-1.9530854193884517,0.005780346820809248,0.027720470405315712,0.191,5/11,7.70%,DIAPH3;PLD1;MAPK1;ATF2;PRKCA
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.48191813692159313,-1.9341171349909463,0.006263048016701462,0.03153862393505813,0.214,13/29,21.51%,CENPF;EVL;DIAPH3;BUB1;CENPE;MAPK1;ABL1;NSL1;PRKCA;FMNL3;RAC2;KIF14;TUBB2A
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.3697456408782422,1.9325390782308374,0.0,0.06338034221087821,0.361,29/67,35.13%,MDM2;SLC7A11;ABCC3;SESN2;G6PD;NQO1;ASNS;GCLM;EGLN3;TUBAL3;HSPA6;TUBB1;HMOX1;RAE1;TXNRD1;DDIT3;TXNIP;TNIK;EPAS1;GCLC;HSPA1L;EGLN1;MAFG;SQSTM1;HIRA;PSMD5;HSPA1A;VEGFA;GSTP1
gsea,WP_PHOTODYNAMIC_THERAPYINDUCED_NFE2L2_NRF2_SURVIVAL_SIGNALING,0.7137321925032226,1.927680595243304,0.0042643923240938165,0.05732118149551826,0.367,6/10,20.16%,ABCC3;NQO1;GCLM;ABCC2;HMOX1;GCLC
gsea,REACTOME_M_PHASE,-0.4608508304044274,-1.8868784144340793,0.004866180048661801,0.04813080993469038,0.314,10/21,21.51%,CENPF;BUB1;CENPE;MAPK1;NSL1;PRKCA;LBR;ANAPC2;NUP214;TUBB2A
gsea,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,-0.5628423496621291,-1.883042949104441,0.003703703703703704,0.047121251847261285,0.327,9/16,22.14%,PLD1;MAPK1;GAB2;PRKCA;MYO10;PTPRC;RAC2;DOCK2;LYN
gsea,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,-0.6846805742961305,-1.8773849478196836,0.001838235294117647,0.046736902321590314,0.34,5/11,5.47%,GFRA1;CACNA1C;FYN;MAPK1;COL4A5
gsea,REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,0.5366712299242282,1.8718627159927994,0.009416195856873822,0.079346554639823,0.5,8/19,20.16%,SLC7A11;ABCC3;G6PD;NQO1;GCLM;HMOX1;TXNRD1;GCLC
gsea,REACTOME_METABOLISM_OF_RNA,0.5763027923175238,1.8649050998534153,0.002044989775051125,0.0753161282560308,0.52,3/16,13.71%,MT-RNR2;MT-RNR1;RAE1
gsea,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,-0.4612023012822998,-1.8475425900491593,0.0,0.05889942953393399,0.425,13/38,20.11%,GFRA1;NCOA3;ERBB4;DLG2;FYN;MAPK1;AREG;NRG3;RAPGEF2;PTPN7;FGA;EGF;CDC14A
gsea,WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,0.5587554857845644,1.844564230952278,0.006493506493506494,0.0800205629658797,0.562,6/14,15.60%,NEAT1;C3;IFIT2;BCL6;GPR183;STAT5A
gsea,PID_TXA2PATHWAY,-0.6046121319330706,-1.8175394013202555,0.00546448087431694,0.0729535857568314,0.51,6/12,22.14%,GNA14;FYN;PRKCA;YES1;EGF;LYN
gsea,WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,0.552481266127592,1.8160375807807443,0.01694915254237288,0.09121698850989593,0.641,7/14,34.88%,LDHB;PKLR;TGFB2;LDHC;ENPP3;SQSTM1;VEGFA
gsea,KEGG_CALCIUM_SIGNALING_PATHWAY,-0.44720939870236076,-1.7871850745154385,0.015810276679841896,0.09365829241550269,0.606,8/24,20.45%,GNA14;ERBB4;CACNA1C;PLCD1;PRKCA;P2RX7;RYR1;ITPR1
gsea,REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,-0.35325866582055976,-1.7835761573661473,0.001893939393939394,0.09241958880134023,0.615,27/77,24.18%,CENPF;EVL;PCDH7;DIAPH3;BUB1;CENPE;PLD1;MAPK1;ABL1;DOCK11;NSL1;PRKCA;RHOH;MUC13;CDC42BPA;GFOD1;FMNL3;LBR;ARHGAP21;RAC2;KIF14;DOCK2;FAM13A;TUBB2A;ARHGEF2;ARHGAP9;DOCK5
gsea,REACTOME_CDC42_GTPASE_CYCLE,-0.5089565712886931,-1.7741576963199641,0.02,0.09459191235422346,0.64,8/21,22.72%,DIAPH3;PLD1;DOCK11;CDC42BPA;FMNL3;LBR;ARHGAP21;ARHGAP9
gsea,PID_PDGFRB_PATHWAY,-0.5417941513333276,-1.7704532290163566,0.0102880658436214,0.09384812765948626,0.648,8/13,29.89%,FYN;MAPK1;ABL1;PRKCA;YES1;STAT5B;LYN;PDGFRB
gsea,WP_TCELL_RECEPTOR_SIGNALING,-0.487571489970132,-1.7656981492206638,0.003616636528028933,0.0938325308671402,0.66,6/19,10.27%,FYN;MAPK1;ATF2;GAB2;FYB1;CARD11
gsea,REACTOME_CELL_CYCLE,-0.36330266698392866,-1.7485546407022705,0.013368983957219251,0.10400190685035991,0.7,17/36,31.40%,CENPF;BRIP1;BUB1;CENPE;MAPK1;ABL1;NSL1;PRKCA;CDC45;LBR;ANAPC2;CDC14A;NUP214;TUBB2A;LYN;TUBB4A;CCND2
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.3676466588862831,1.7453600195164245,0.00516795865633075,0.14017001466920254,0.793,34/58,37.55%,CPEB4;SLC7A11;ABCC3;G6PD;NQO1;TGFB2;GCLM;SLC6A6;PPARD;ABCB1;ABCC2;HMOX1;JUND;TXNRD1;TNS4;SLC5A12;ANGPTL4;GCLC;SERTAD2;NRG1;MAFG;SQSTM1;PTGS2;FTL;PTGR1;MFGE8;HSPA1A;GSTP1;CYP3A5;ABCC4;SLC7A5;SMARCA1;SRGN;PDK4
gsea,REACTOME_NETRIN_1_SIGNALING,-0.6807923041654619,-1.7434188067472327,0.011182108626198083,0.10402272085544241,0.71,5/10,13.37%,DSCAM;ROBO1;FYN;MYO10;TRPC3
gsea,WP_FERROPTOSIS,0.5184591654724374,1.7128395437041537,0.021321961620469083,0.16276071879753526,0.84,8/15,25.15%,SLC7A11;GCLM;HMOX1;ACSL5;TXNRD1;GCLC;ACSL4;AKR1C1
gsea,WP_OREXIN_RECEPTOR_PATHWAY,-0.44298892345607777,-1.7078886220462266,0.008333333333333333,0.13315006382651898,0.794,11/23,29.65%,BMP7;PLD1;MAPK1;PLCD1;PRKCA;HSPA5;PDE11A;PRKAA1;STAR;CXCL8;TOX
gsea,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,0.435245979209638,1.692776817766129,0.022641509433962263,0.17207002346146905,0.862,11/24,28.54%,MDM2;SESN2;TNFRSF10B;G6PD;IGFBP3;BCL6;DDIT4;TXNRD1;ZNF385A;PLAGL1;NDRG1
gsea,REACTOME_RHOG_GTPASE_CYCLE,-0.5355610466072185,-1.6927374706937062,0.01651376146788991,0.14495467825305264,0.83,9/12,43.99%,DIAPH3;PLD1;LBR;ARHGAP21;DOCK2;DOCK5;VAV1;TFRC;LMAN1
gsea,REACTOME_RHOA_GTPASE_CYCLE,-0.4342593782211324,-1.6886790301110526,0.019027484143763214,0.14474868205407235,0.835,15/23,43.99%,PCDH7;DIAPH3;PLD1;FMNL3;LBR;ARHGAP21;DOCK2;FAM13A;ARHGEF2;ARHGAP9;ARHGAP28;VAV1;ARAP3;TFRC;LMAN1
gsea,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,-0.4773379875139238,-1.6859251793171228,0.015503875968992248,0.14279353577727988,0.839,8/16,29.46%,ERBB4;DLG2;PPM1E;MAPK1;PPM1F;TUBB2A;PRKAA1;TUBB4A
gsea,REACTOME_SIGNALING_BY_SCF_KIT,-0.5138359395079826,-1.678701404063329,0.02707581227436823,0.14505103131386604,0.85,5/13,10.13%,FYN;GAB2;PRKCA;YES1;STAT5B
gsea,REACTOME_RAC1_GTPASE_CYCLE,-0.4750963029300174,-1.673936648832953,0.02364864864864865,0.14563003527673166,0.859,10/25,24.18%,DIAPH3;PLD1;DOCK11;CDC42BPA;LBR;ARHGAP21;DOCK2;FAM13A;ARHGAP9;DOCK5
gsea,WP_ACUTE_VIRAL_MYOCARDITIS,-0.5558886284785255,-1.6724753133261572,0.00796812749003984,0.1428196249572042,0.86,4/10,5.52%,SGCG;FYN;MAPK1;ABL1
gsea,WP_INSULIN_SIGNALING,-0.6036370455558495,-1.6685933326653066,0.019867549668874173,0.14277906614807814,0.868,6/13,23.35%,MAP3K5;MAPK1;PRKCA;RRAD;RAC2;PRKAA1
gsea,REACTOME_CELL_CELL_COMMUNICATION,-0.577124997820983,-1.6669006532742603,0.012558869701726845,0.1407026743576298,0.87,3/15,7.90%,SDK1;FYN;FYB1
gsea,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,-0.4293652903979731,-1.6492760507331607,0.01890359168241966,0.1568829352783207,0.894,9/28,24.85%,NCOA3;ERBB4;MAPK1;APOE;ATF2;AREG;APOC1;EGF;AKR1C3
gsea,REACTOME_DRUG_ADME,0.5144762897438542,1.6474703032826408,0.029978586723768737,0.21020724297659868,0.914,7/13,25.15%,ABCC3;ABCB1;ABCC2;SLCO1A2;SLC22A3;SLC16A1;AKR1C1
gsea,REACTOME_GASTRULATION,-0.5681962559331983,-1.6396453852511352,0.019083969465648856,0.16278137316417338,0.912,6/11,28.20%,MAML3;EPHA4;ZNF521;LEF1;FOXH1;FOXA2
gsea,REACTOME_CELL_JUNCTION_ORGANIZATION,-0.6492744665058892,-1.635955006446384,0.03184713375796178,0.16280236750526264,0.915,1/10,0.10%,SDK1
gsea,WP_KIT_RECEPTOR_SIGNALING,-0.4659152803973474,-1.634069585575906,0.03441295546558704,0.16029937550650714,0.917,5/15,10.13%,FYN;MAPK1;GAB2;PRKCA;STAT5B
gsea,WP_EFFECT_OF_OMEGA3_PUFA_ON_HUNTINGTONS_DISEASE_PATHWAYS,-0.48409257221717106,-1.6327630347546473,0.03546099290780142,0.15767554941125994,0.918,7/18,23.35%,MAPK1;APOE;GABRA3;SLC12A2;EGF;ITPR1;PRKAA1
gsea,WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA,0.5715408135527394,1.62125831048406,0.028680688336520075,0.23011985519708694,0.942,3/11,5.72%,SESN2;FAT1;DDIT4
gsea,WP_CELL_LINEAGE_MAP_FOR_NEURONAL_DIFFERENTIATION,-0.4594900584541019,-1.6199524942080077,0.030575539568345324,0.16666895333681372,0.929,10/18,32.27%,ROBO1;DLG2;NES;GLRA3;ESRRB;LEF1;GLUL;KCNJ6;FOXA2;ALDH1L1
gsea,WP_RAS_SIGNALING,-0.5190957918716761,-1.610547715598742,0.020634920634920634,0.17353564107628083,0.936,7/17,18.75%,PLD1;MAPK1;ABL1;GAB2;PRKCA;RAC2;NTRK1
gsea,WP_NETRINUNC5B_SIGNALING,-0.5739315347415354,-1.605921439968061,0.04056795131845842,0.1750774657958717,0.939,3/10,7.70%,FYN;MAPK1;PRKCA
gsea,PID_TCR_PATHWAY,-0.5109494343543031,-1.585937087283631,0.02152317880794702,0.1954172751975107,0.957,6/13,16.23%,FYN;GAB2;PRKCA;FYB1;CARD11;PTPRC
gsea,REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,-0.45256910604749995,-1.5858172857187958,0.035523978685612786,0.19115666364748693,0.957,8/19,19.72%,ERBB4;FYN;MAPK1;GAB2;AREG;NRG3;RAC2;EGF
gsea,KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY,-0.4968448451167269,-1.5814169283781714,0.025167785234899327,0.19248224245602324,0.958,9/16,29.89%,ERBB4;MAPK1;AREG;PDGFD;EFNA5;NTRK1;EGF;ANGPT2;PDGFRB
gsea,REACTOME_MITOTIC_PROMETAPHASE,-0.5014634478852296,-1.580499028482776,0.0267639902676399,0.1897476364691217,0.958,6/12,29.46%,CENPF;BUB1;CENPE;NSL1;TUBB2A;TUBB4A
gsea,REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,-0.4581695806550826,-1.5776081290767263,0.027649769585253458,0.18904872002669593,0.959,7/14,29.46%,CENPF;BUB1;CENPE;NSL1;ANAPC2;TUBB2A;TUBB4A
gsea,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,-0.44449792345548955,-1.571565415552995,0.037122969837587005,0.19262029453054996,0.964,8/15,29.46%,CENPF;BUB1;CENPE;NSL1;LBR;ANAPC2;TUBB2A;TUBB4A
gsea,KEGG_TGF_BETA_SIGNALING_PATHWAY,-0.5803616636728847,-1.570058607637001,0.054003724394785846,0.19071115984173143,0.965,6/10,21.41%,BMP7;MAPK1;BMPR1B;LTBP1;AMHR2;BMP6
gsea,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,-0.5091274346407527,-1.5553408759569511,0.03051643192488263,0.20476936925315964,0.971,6/11,29.46%,CENPF;BUB1;CENPE;NSL1;TUBB2A;TUBB4A
gsea,WP_ENDODERM_DIFFERENTIATION,-0.5425813797153913,-1.5513969940728158,0.02578268876611418,0.20638978221568677,0.973,9/12,41.04%,BMP7;TET1;LEF1;TOX3;FOXH1;FOXA2;TOX;SOX7;SLC2A12
gsea,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,-0.49564044038628696,-1.5495962864202886,0.05063291139240506,0.20521073844579102,0.973,6/13,22.14%,FYN;MAPK1;GAB2;PRKCA;RAC2;LYN
gsea,KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY,-0.5204293092557639,-1.5454622943071796,0.04203152364273205,0.20655797619615132,0.975,5/11,20.45%,ERBB4;PDGFD;NTRK1;EGF;ITPR1
gsea,WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES,-0.375324374061604,-1.5442825337765607,0.030015797788309637,0.20412174372797912,0.975,18/44,25.68%,LRP1B;EHBP1;INSIG1;FDPS;LRP12;APOBR;APOE;ABL1;MVD;CUBN;LBR;FABP3;SGIP1;APOC1;SSC4D;PCSK9;PRKAA1;STAR
gsea,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,-0.5558485712259364,-1.5390082039465676,0.057003257328990226,0.20684593330109846,0.976,3/13,5.52%,MAP3K5;MAPK1;ABL1
gsea,WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING,-0.5111786178730517,-1.533596730964538,0.04421052631578947,0.21061814568838555,0.979,8/11,29.26%,FYN;MAPK1;GAB2;YES1;STAT5B;LYN;CXCL8;TNFSF4
gsea,REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,-0.44594157348554747,-1.532772182760452,0.04285714285714286,0.20815310035786322,0.979,11/19,37.02%,GNA14;MAPK1;NTS;PRKCA;LPAR1;TRPC3;GNRHR;ITPR1;KISS1R;PROK2;UTS2B
gsea,WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS,-0.4366484033939967,-1.532327885420497,0.03486238532110092,0.20520877183485062,0.979,5/17,38.28%,MKI67;FYN;COL4A5;KIRREL3;CDKN1C
gsea,REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,-0.4448944954753051,-1.52991247370095,0.046511627906976744,0.20441245173285028,0.98,10/15,39.92%,PLD1;FYN;MAPK1;ABL1;YES1;MYO10;ITPR1;LYN;VAV1;FCGR2A
gsea,REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,-0.5735150574886815,-1.525965264177377,0.05723905723905724,0.20608191485287947,0.98,8/11,24.27%,FYN;MUC13;CARD11;ICAM2;ITPR1;MUC5B;LYN;MUC5AC
gsea,WP_ERBB_SIGNALING,-0.4633771705039571,-1.5220160711489368,0.058931860036832415,0.20755866255976205,0.98,8/18,19.72%,ERBB4;MAPK1;ABL1;AREG;PRKCA;NRG3;STAT5B;EGF
gsea,WP_IL3_SIGNALING,-0.4648312912898526,-1.5103314476790928,0.06147540983606557,0.21853503951039346,0.986,6/12,26.45%,FYN;MAPK1;GAB2;STAT5B;LYN;CXCL8
gsea,REACTOME_RHO_GTPASE_CYCLE,-0.3417396250347951,-1.5091568885812374,0.03166666666666667,0.21669626257329455,0.986,35/53,54.89%,PCDH7;DIAPH3;PLD1;DOCK11;RHOH;MUC13;CDC42BPA;GFOD1;FMNL3;LBR;ARHGAP21;RAC2;KIF14;DOCK2;FAM13A;ARHGEF2;ARHGAP9;DOCK5;ARHGAP28;VAV1;ADD3;ARAP3;TFRC;LMAN1;ARHGEF6;PICALM;BCR;SH3PXD2A;PTK2B;RBMX;VIM;ARHGAP26;IQGAP2;DOCK10;FILIP1
