Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,KEGG_PURINE_METABOLISM,0.655146018826964,2.1849819456287407,0.0,0.03934053830797825,0.039,6/16,4.87%,PDE10A;PDE7B;PDE4C;PDE4D;FHIT;GDA
gsea,REACTOME_SIGNALING_BY_ERBB2,-0.7561893380325142,-2.016818662266724,0.003355704697986577,0.11141107585035534,0.073,8/11,13.79%,PRKCA;EGF;FYN;NRG3;NRG4;EGFR;EREG;NRG1
gsea,PID_INTEGRIN2_PATHWAY,0.6314634635466633,1.9825456752191315,0.005291005291005291,0.12588972258553038,0.203,8/11,24.61%,C3;FGB;ICAM4;FGG;PLAUR;ICAM1;ITGAM;ICAM2
gsea,WP_SMITHMAGENIS_AND_POTOCKILUPSKI_SYNDROME_COPY_NUMBER_VARIATION,0.6555283665333748,1.9805542829251868,0.001890359168241966,0.08596636148780433,0.208,4/11,2.97%,MYO16;ARG2;WWTR1;PRKN
gsea,KEGG_ERBB_SIGNALING_PATHWAY,-0.6359430612101418,-1.9574198685202597,0.005136986301369863,0.10275778840566754,0.13,9/17,13.79%,AREG;CRKL;PRKCA;EGF;NRG3;NRG4;EGFR;EREG;NRG1
gsea,WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION,0.6193164482180558,1.8912255373386475,0.002976190476190476,0.14643422592414126,0.395,5/13,15.40%,PDE10A;PDE7B;PDE4C;PDE4D;PDE3B
gsea,WP_ERBB_SIGNALING,-0.5710913199241202,-1.7929597282762193,0.010256410256410256,0.2390470656595003,0.517,9/18,13.79%,AREG;CRKL;PRKCA;EGF;NRG3;NRG4;EGFR;EREG;NRG1
gsea,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,-0.48121171301253035,-1.7398554282317151,0.018480492813141684,0.24526661601036964,0.673,9/24,26.17%,BRIP1;GSR;CHD4;G6PD;GPX2;TP63;BCL6;ZNF385A;IGFBP3
gsea,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.5647509899721249,1.7385890312273682,0.015151515151515152,0.23079782474013907,0.734,5/12,15.35%,C3;FGB;FGG;PLAUR;TFPI
gsea,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,-0.5255278721504476,-1.726860362186991,0.0066555740432612314,0.24361407847752994,0.707,11/17,19.44%,AREG;EGF;FYN;NRG3;NRG4;EGFR;EREG;FGFR1;NRG1;BDNF;RAC2
gsea,WP_MALE_INFERTILITY,0.5051034005175381,1.7161517879232995,0.01971830985915493,0.24070581216585207,0.773,9/16,20.42%,BCL2;ABCB1;MDM2;MTHFR;PRDM9;CLU;CTCFL;TEX15;PIWIL2
gsea,PID_ERBB1_DOWNSTREAM_PATHWAY,-0.6072545314656095,-1.713694367431369,0.017509727626459144,0.24791668529030528,0.737,6/11,25.63%,DIAPH3;PRKCA;EGF;EGFR;MAPK1;SH2D2A
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.3314722296255238,-1.6923213906242884,0.0,0.24932284450006703,0.789,72/113,52.10%,SYTL2;BMP7;CACNA1C;ADGRV1;CHD4;PRKCA;EGF;FYN;UNC5B;SEMA7A;TFRC;TP63;PCSK6;TCF4;KRT13;ITGA2B;MAPK12;GATA2;KRT7;EGFR;SPTB;EPHA4;KRT16;UNC5D;EVL;LAMB1;KRT10;GRB10;FGFR1;KRT17;TGFB1;TRPC3;COL4A4;PTPRC;KRT79;ROBO1;SPI1;MAPK1;CCND3;YES1;SPRR1B;GRIN2B;FOXH1;FOXA2;MC5R;LGI4;COL6A5;SCN2A;TFEC;FOXL2;DHH;TUBB2A;PLXNA4;LYN;MAML2;MED15;CEACAM1;RUNX1;ZEB2;EFNA5;PSMA1;EBF1;ANK1;PRX;GFRA1;HIRA;RAB27A;EPHB6;MSN;COL5A2;CDH2;KRT81
gsea,PID_GLYPICAN_1PATHWAY,-0.6269048006220692,-1.6858839668450714,0.015473887814313346,0.24270807188609897,0.804,8/10,25.68%,FYN;VEGFA;FGFR1;NRG1;TGFB1;FLT1;PLA2G2A;YES1
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.5647763458166288,-1.6835735838224994,0.029644268774703556,0.22954390176935208,0.808,7/15,24.71%,BRIP1;CDC45;KIF2A;BUB1;ANAPC2;NSL1;ZNF385A
gsea,WP_MAPK_SIGNALING,-0.41064559604109796,-1.6754913236785418,0.006462035541195477,0.22815834562493484,0.827,14/33,23.34%,CACNA1C;MAP3K5;CRKL;PRKCA;EGF;FLNC;MAPK12;EGFR;HSPA1L;FGFR1;TGFB1;BDNF;RAC2;MAPK1
gsea,KEGG_MAPK_SIGNALING_PATHWAY,-0.3920553779229705,-1.6367792173238376,0.007874015748031496,0.2475295645362008,0.904,15/35,23.34%,CACNA1C;MAP3K5;CRKL;PRKCA;EGF;FLNC;MAPK12;EGFR;HSPA1L;FGFR1;TGFB1;BDNF;RAC2;PLA2G2A;MAPK1
