Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,WP_NRF2_PATHWAY,0.6417416595447987,2.504466668582167,0.0,0.0011720495483946583,0.001,11/33,10.26%,SLC7A11;SQSTM1;TGFB2;NQO1;FGF13;SLC6A20;ABCC3;TXNRD1;SLC5A12;ME1;FTL
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.52126071807641,2.4035202051975104,0.0,0.0023440990967893167,0.004,29/60,30.17%,SLC7A11;SQSTM1;SLC7A5;JUND;TGFB2;NQO1;FGF13;SLC6A20;ABCC3;TXNRD1;SLC5A12;ABCB11;SLCO2B1;ME1;FTL;NCOA3;HSPA1A;PTGR1;ABCC4;GCLM;MFGE8;SERTAD2;HMOX1;ABCB1;G6PD;SRGN;CPEB4;PPARD;GCLC
gsea,REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.5846397278352289,2.3351960770165507,0.0,0.002734782279587536,0.007,13/28,16.22%,SLC7A11;SLC7A5;CEACAM5;CD44;CEACAM6;SPN;SLC16A1;ANGPT1;GYPC;ANGPT2;CEACAM1;PPIL2;TNFRSF10B
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.5057313983688122,2.2811565641731466,0.0,0.0038091610322826394,0.011,36/64,30.92%,SLC7A11;SQSTM1;VEGFA;NQO1;SESN2;DDIT3;CAMK2D;ASNS;ABCC3;HYOU1;TXNRD1;ABCC1;GRB10;HIRA;ME1;EPAS1;MAPK1;SCMH1;KHSRP;EGLN1;TPP1;GFPT1;HSPA1A;EGLN3;AREG;GCLM;CDK6;HMOX1;FKBP14;AKT3;G6PD;HSPA5;GCLC;MDM2;CREB3L2;BACH1
gsea,WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,0.7032158923141242,2.269394630807381,0.0,0.0037505585548629067,0.014,7/14,8.44%,SQSTM1;TGFB2;VEGFA;ALDOC;GRB10;PKLR;ME1
gsea,REACTOME_KERATINIZATION,0.706346906692874,2.2022631579188783,0.0,0.006641614107569731,0.029,5/11,10.61%,KRT81;KRT13;KRTAP10-4;KRT36;KRT7
gsea,REACTOME_METABOLISM_OF_RNA,-0.6951333645904612,-2.1822993502423906,0.0,0.005377792102858001,0.006,7/16,14.20%,MT-RNR2;MT-RNR1;PSMD5;PRKCA;IGF2BP2;IGF2BP1;APOBEC3C
gsea,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,-0.7833181039354238,-2.1335454889411496,0.0,0.006722240128572501,0.013,4/10,4.85%,EVL;PSMD5;PRKCA;COL4A5
gsea,REACTOME_KEAP1_NFE2L2_PATHWAY,0.6297963598052476,2.079142262301531,0.0,0.019087664073855867,0.09,8/21,8.44%,SLC7A11;SQSTM1;NQO1;SESN2;ABCC3;TXNRD1;ABCC1;ME1
gsea,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.5909018362600481,2.040313950830947,0.0,0.025931596258231816,0.133,8/25,8.44%,SLC7A11;SQSTM1;NQO1;SESN2;ABCC3;TXNRD1;ABCC1;ME1
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.7006385266360688,-2.0166086648090342,0.003861003861003861,0.01762720744825678,0.045,4/15,3.13%,BRIP1;CDC45;PSMD5;CDC25C
gsea,REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,0.6831615726907851,1.9910212518284938,0.0,0.036593991455433225,0.195,6/11,16.73%,DDIT3;ASNS;HYOU1;KHSRP;TPP1;GFPT1
gsea,REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,0.6785929184626671,1.9773233081241073,0.0024390243902439024,0.03715397068411067,0.219,4/10,10.61%,KRT81;KRT13;KRT36;KRT7
gsea,REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,0.6096236338124648,1.9527929900613,0.0,0.0404889843990882,0.253,7/19,8.44%,SLC7A11;SQSTM1;NQO1;ABCC3;TXNRD1;ABCC1;ME1
gsea,REACTOME_CELL_CYCLE,-0.504158857428937,-1.9481941910058524,0.0,0.03271490195905284,0.105,8/34,12.23%,BRIP1;CDC45;PSMD5;PRKCA;CDC25C;TUBB2A;LBR;TEX15
