Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,KEGG_PURINE_METABOLISM,0.7083888375858457,2.379796688425265,0.0,0.004026956567470305,0.003,5/16,2.62%,PDE7B;FHIT;PDE4D;PDE3B;PDE10A
gsea,WP_CELL_CYCLE,-0.7058791821831338,-2.2905767393750245,0.0,0.0004980057537450478,0.001,7/13,7.87%,CDC45;TGFB2;CDC14A;TGFB1;CDK6;ABL1;CCND3
gsea,KEGG_CELL_CYCLE,-0.7058791821831338,-2.2905767393750245,0.0,0.0004980057537450478,0.001,7/13,7.87%,CDC45;TGFB2;CDC14A;TGFB1;CDK6;ABL1;CCND3
gsea,WP_OREXIN_RECEPTOR_PATHWAY,-0.5643174038833291,-2.1323915099990165,0.0,0.004648053701620446,0.011,6/22,9.89%,BMP7;PRKCA;PLD1;RUNX1;HMGA1;MAPK1
gsea,WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION,0.6733397864468431,2.0915338584092744,0.0,0.05184706580618018,0.083,4/13,2.62%,PDE7B;PDE4D;PDE3B;PDE10A
gsea,REACTOME_METABOLISM_OF_RNA,0.661013908788457,2.042984082277542,0.001968503937007874,0.05167927594920225,0.13,3/16,0.35%,HSPA1A;MT-RNR2;MT-RNR1
gsea,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.5995189468279922,2.025081433016283,0.0026954177897574125,0.047065054882309186,0.154,11/20,17.31%,TXNRD1;GLUL;HGD;NQO1;CGA;ARG2;PSMA1;SLC25A21;KYNU;CPS1;ASNS
gsea,WP_CORTICOTROPINRELEASING_HORMONE_SIGNALING,-0.6299332739740655,-1.9692668006070155,0.0,0.023406270426017246,0.078,7/12,18.72%,PRKCA;MAP3K5;TGFB1;MAPK1;TCF4;BCL2;PRKCQ
gsea,WP_NRF2_PATHWAY,0.5324499981484047,1.959433152322307,0.0,0.06543804422139246,0.234,16/32,20.48%,HSPA1A;SLC5A3;TXNRD1;SLC7A11;ABCC2;FGF13;SQSTM1;SLC6A6;NQO1;FTL;SLC6A19;GCLM;SLC2A3;NRG1;GSTP1;ME1
gsea,WP_SPINAL_CORD_INJURY,-0.5084167016214636,-1.8538196457358045,0.005199306759098787,0.07888411139321556,0.254,9/20,18.87%,PRKCA;C5;TGFB1;RTN4;MAPK1;CHST11;EPHA4;PTGS2;VCAN
gsea,WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,-0.5283957427727266,-1.804708769526906,0.013232514177693762,0.10202003583862836,0.392,5/17,10.04%,BMP7;MGP;TGFB2;TGFB1;CHST11
gsea,WP_ENDOCHONDRAL_OSSIFICATION,-0.5283957427727266,-1.804708769526906,0.013232514177693762,0.10202003583862836,0.392,5/17,10.04%,BMP7;MGP;TGFB2;TGFB1;CHST11
gsea,WP_LUNG_FIBROSIS,-0.6325522623969386,-1.8010901328513997,0.0038535645472061657,0.09312707595032393,0.405,2/10,3.18%,BMP7;TGFB1
gsea,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,-0.6076044789664401,-1.791431696902745,0.007220216606498195,0.09218639841547216,0.433,6/15,11.25%,PMEPA1;TGFB2;TGFB1;SERPINE1;MAPK1;TCF4
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.3643322958049272,-1.7906133740579846,0.0,0.08366496662916802,0.435,49/112,36.13%,BMP7;EVL;PRKCA;PCSK6;SYTL2;MAML3;GFRA1;CACNA1C;KRT10;TGFB1;HIRA;KRT13;TP63;RUNX1;NCOA3;KRT81;ITGA2B;EFNA5;TFRC;MYO10;ABL1;CCND3;SEMA7A;MAPK1;RAP1GAP;TCF4;EPHB6;MSN;BCL2;MAPK12;ZNF521;RELN;EPHA4;KRT16;PRKCQ;ADGRV1;KRT17;ZEB2;TRPC3;MEF2C;KRT79;SPI1;COL6A3;TUBB2A;WWTR1;PSMD5;SPRR1B;GRIN2B;FOXH1
gsea,REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,-0.5212955818295912,-1.7886977560799102,0.0,0.0779605370862702,0.447,10/19,27.04%,GNA14;PRKCA;MAPK1;DGKG;DGKI;NTS;PRKCQ;TRPC3;GNRHR;ITPR1
gsea,PID_RB_1PATHWAY,-0.583080310935286,-1.7821557587671293,0.014527845036319613,0.07611187936403481,0.463,5/10,7.87%,UBTF;TGFB2;CDK6;ABL1;CCND3
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.5128847853537302,-1.781593706922819,0.005136986301369863,0.07048696822237599,0.465,11/25,14.78%,EVL;PRKCA;DIAPH3;KIF2A;CENPT;MYLK;FMNL3;NSL1;ABL1;MAPK1;S100A9
gsea,REACTOME_CDC42_GTPASE_CYCLE,-0.5766107188681546,-1.7780564569542596,0.0015822784810126582,0.06787106986753937,0.476,11/21,18.01%,DIAPH3;BCR;PLD1;ARHGAP26;SH3PXD2A;FMNL3;TFRC;ARHGEF6;ARAP3;FNBP1;ARHGDIB
gsea,KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,-0.6068059364914213,-1.7777567290837768,0.002797202797202797,0.0636783357122001,0.477,7/14,19.37%,PRKCA;PTK2B;VCL;MSN;MAPK12;ITGAM;RHOH
