Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.6082677741788614,2.921236729145666,0.0,0.0,0.0,24/59,19.10%,NCOA3;TXNRD1;SQSTM1;CPEB4;GCLC;G6PD;TGFB2;ANGPTL4;SLC6A6;PPARD;FTL;HMOX1;PTGR1;SERTAD2;MFGE8;TGFB1;SLC6A8;PPP1R14C;ABCB1;SERPINB9;SLC2A12;NQO1;CDKN1C;SLCO2B1
gsea,REACTOME_METABOLISM_OF_LIPIDS,0.55388102078208,2.787969027895049,0.0,0.0,0.0,33/76,24.29%,NCOA3;ACSBG1;TXNRD1;INSIG1;AGMO;FADS1;ANGPTL4;PLD1;PPARD;B4GALT5;CYP4F2;PTGR1;FADS2;AGPAT4;TNFAIP8;STARD4;GDPD5;HSD17B11;AKR1C2;ELOVL6;HMGCS1;ACSL4;ST3GAL2;CGA;MTMR8;AKR1B1;HPGD;GPAT3;SEC24D;MBOAT2;PLIN2;MFSD2B;DPEP2
gsea,REACTOME_INFECTIOUS_DISEASE,0.5285155529791661,2.620570109374447,0.0,0.0,0.0,29/65,22.81%,RPL3L;TXNRD1;TXNIP;RAE1;PARP16;MAP1B;FYN;SERPINE1;TUBB4A;HMOX1;AKT3;ELMO1;ST6GAL1;PRKAR2B;ITPR1;RUNX1;TUBB2A;C3;TGFB1;TLR6;HSPG2;TUSC3;ST3GAL2;VAV1;PKLR;SYT2;DOCK2;SEC24D;BTK
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.5374240603222097,2.6027108121101623,0.0,0.0,0.0,21/66,13.19%,RPL3L;TXNRD1;TXNIP;RAE1;SQSTM1;GCLC;DDIT3;EGLN3;G6PD;TNIK;TUBB4A;CREB3L2;HMOX1;AKT3;SESN2;EPAS1;FKBP14;TPP1;GRB10;HBA1;TUBB2A
gsea,WP_NRF2_PATHWAY,0.6234910556533533,2.5969373762253225,0.0,0.0,0.0,14/33,18.38%,TXNRD1;SQSTM1;GCLC;G6PD;TGFB2;SLC6A6;PPARD;FTL;HMOX1;PTGR1;TGFB1;SLC6A8;SLC2A12;NQO1
gsea,REACTOME_VIRAL_INFECTION_PATHWAYS,0.583620569029887,2.507129989588219,0.0,0.0,0.0,22/42,22.81%,RPL3L;RAE1;PARP16;MAP1B;FYN;SERPINE1;TUBB4A;AKT3;ELMO1;ST6GAL1;RUNX1;TUBB2A;TGFB1;TLR6;HSPG2;TUSC3;ST3GAL2;VAV1;PKLR;DOCK2;SEC24D;BTK
gsea,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,0.5902284888113154,2.4655324682759687,0.0,0.0002448019678701638,0.001,12/33,17.67%,CLU;TIMP3;SELENOP;VCL;SERPINE1;TGFB2;FN1;PRKCA;TGFB1;PECAM1;GTPBP2;FGB
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.7593928445447939,-2.4406723760937874,0.0,0.0,0.0,8/15,6.33%,BRIP1;CENPF;CDC45;BUB1;CENPE;CDC25C;MDM2;PSMD5
gsea,WP_ADHD_AND_AUTISM_ASD_PATHWAYS,0.5184197274727751,2.4127747251054417,0.0,0.00042840344377278664,0.001,16/48,13.24%,DLG2;AGMO;MTHFR;KYNU;GABRB3;SYP;AKT3;SESN2;TCN2;NRXN3;CNTN1;PRKAR2B;PRKCA;PIK3AP1;ALDH1L2;GRIN2D
gsea,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.5050752116122327,2.411224421305432,0.0,0.0003808030611313659,0.001,27/57,30.33%,COL26A1;CAST;SERPINE1;TGFB2;LAMB1;COL1A1;FN1;COL4A4;PRKCA;ITGA5;TGFB1;PECAM1;HSPG2;SH3PXD2A;P4HA1;DMD;FGB;NTN4;ITGAX;CEACAM6;P3H2;COL25A1;ADAMTS3;PRSS2;COL9A1;ITGB3;CAPN6
gsea,WP_SELENIUM_MICRONUTRIENT_NETWORK,0.7099047753385388,2.399915073929989,0.0,0.0003427227550182293,0.001,5/17,4.05%,TXNRD1;SELENOP;MTHFR;SERPINE1;KYNU
gsea,WP_PPAR_SIGNALING,0.7675866138683446,2.3442422992345198,0.0,0.000623132281851326,0.002,5/12,7.00%,ACSBG1;SORBS1;ANGPTL4;PPARD;FADS2
gsea,WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,0.6830070186353958,2.3240247274463357,0.0,0.0008568068875455733,0.004,7/14,18.90%,CPEB4;ANGPTL4;SERTAD2;MFGE8;PPP1R14C;SERPINB9;CDKN1C
gsea,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.6341575423664894,2.316819853332975,0.0,0.000790898665426683,0.004,7/21,14.76%,COL26A1;CAST;LAMB1;COL1A1;FN1;COL4A4;HSPG2
gsea,REACTOME_FATTY_ACID_METABOLISM,0.5980071268470296,2.288204185150982,0.0,0.001224009839350819,0.008,8/25,13.90%,ACSBG1;FADS1;PPARD;CYP4F2;PTGR1;FADS2;ELOVL6;ACSL4
gsea,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,0.7206456264299697,2.2827801621363637,0.0,0.0011424091833940977,0.008,7/14,13.24%,PPM1E;DLG2;TUBB4A;ERBB4;PRKAR2B;TUBB2A;GRIN2D
gsea,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,0.5913529000131971,2.2455435462299267,0.0,0.00160651291414795,0.013,10/24,12.29%,TNFRSF10B;TXNRD1;G6PD;AKT3;SESN2;TP63;IGFBP3;BCL6;ZNF385A;NDRG1
gsea,WP_CANCER_PATHWAYS,0.46605808990937647,2.2353362179502168,0.0,0.0017136137750911465,0.015,15/60,14.43%,NCOA3;TXNRD1;EGLN3;TGFB2;PLD1;PPARD;HMOX1;AKT3;LAMB1;EPAS1;FN1;RUNX1;COL4A4;PRKCA;TGFB1
