Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.683188183237573,-2.3272096927282324,0.0,0.003516107141067858,0.003,5/14,3.45%,CENPF;CENPE;EVL;BUB1;DIAPH3
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.37869905338537724,-2.1256892783666035,0.0,0.012745888386370986,0.024,60/115,41.86%,ANK3;GFRA1;BMP7;PCSK6;EPHA4;NCOA3;EVL;ADGRV1;COL4A5;FGFR1;CHD4;ZFP36L2;CACNA1C;UNC5B;FYN;SEMA3A;BCL2;LYN;CDH2;ROBO2;PRKCA;MYO10;MAML3;TCF4;MAPK12;ZNF521;MAML2;ROBO1;RAB27A;KRT16;PRKCQ;SCN9A;EFNA5;KRT7;TRPC3;RELN;MEF2C;PTPRC;KRT79;ANK1;PLXNA4;KRT81;TGFB1;SPI1;EBF1;SPRR1B;FOXH1;SCN4A;MC5R;TUBB4A;LGI4;WT1;RPL3L;COL6A5;TAL1;HOXB3;HEY1;SCN2A;TFEC;FOXL2
gsea,REACTOME_RHOD_GTPASE_CYCLE,-0.7622224948515597,-2.0732217850702637,0.0,0.015822482134805364,0.04,7/10,14.05%,ARHGAP26;DIAPH3;ADD3;FILIP1;LMAN1;ARHGAP21;AKAP12
gsea,PID_HIF1_TFPATHWAY,0.6969545832643422,2.066283275940731,0.0,0.18552994968479194,0.126,5/12,6.26%,EGLN3;VEGFA;ABCB1;EGLN1;SERPINE1
gsea,KEGG_PURINE_METABOLISM,0.5922784401106881,2.0647532119155354,0.0,0.09511345521815284,0.13,13/17,32.99%,PDE4C;PDE10A;FHIT;PDE7B;PDE4D;PKLR;PDE4B;PDE3B;GDA;ENPP3;PDE3A;GMPR;ADCY10
gsea,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,-0.4441910660134373,-2.023360559945039,0.0,0.022854696416941076,0.071,24/61,24.61%,ANK3;GFRA1;EPHA4;EVL;ADGRV1;COL4A5;FGFR1;CACNA1C;UNC5B;FYN;SEMA3A;LYN;ROBO2;PRKCA;MYO10;ROBO1;PRKCQ;SCN9A;EFNA5;TRPC3;RELN;PTPRC;ANK1;PLXNA4
gsea,KEGG_RENAL_CELL_CARCINOMA,0.7453982338655778,2.0221305990704312,0.0,0.09198214805047703,0.178,6/10,7.94%,EGLN3;VEGFA;EGLN1;CRKL;MAPK1;PIK3CG
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.48016809569837426,-2.021389581077622,0.0,0.018459562490606256,0.072,12/28,19.28%,CENPF;CENPE;EVL;BUB1;DIAPH3;PRKCA;MYLK;S100A9;NSL1;KIF14;FMNL3;CDC25C
gsea,REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS,0.5872913010666565,2.0159858613261967,0.0,0.0739771318363411,0.185,11/16,31.95%,RUNX1;SLC6A6;SLC18A2;SLC6A20;SLC6A19;SLC22A3;RHAG;CP;SLC44A4;SLC30A8;SLC30A10
gsea,REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,0.5773811509040544,2.0054102231565722,0.002421307506053269,0.06434836229573797,0.197,5/17,5.87%,PDE4C;ITGA5;PDE10A;PDE7B;PDE4D
gsea,WP_NRF2_PATHWAY,0.5017724703127164,1.9762963314726933,0.0,0.06947587778280712,0.241,15/33,21.06%,SLC7A11;ABCC3;NQO1;SQSTM1;SLC6A6;TXNRD1;ALDH3A1;SLC6A20;SLC6A19;ABCC2;GCLC;GSR;PPARD;PTGR1;ME1
gsea,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,-0.6367406988214858,-1.9745509737035107,0.0044742729306487695,0.026077794629586613,0.13,3/11,2.51%,CENPF;CENPE;BUB1
gsea,REACTOME_MITOTIC_PROMETAPHASE,-0.6186434475316438,-1.9647785349170948,0.0023148148148148147,0.024612749987475008,0.139,3/12,2.51%,CENPF;CENPE;BUB1
gsea,REACTOME_CELL_CYCLE,-0.45200867591713956,-1.9646167490493307,0.006666666666666667,0.021646034587199003,0.14,12/36,14.20%,BRIP1;CENPF;CENPE;BUB1;CDK6;LYN;PRKCA;TOP2A;TEX15;CDC45;ANAPC2;NSL1
gsea,REACTOME_KEAP1_NFE2L2_PATHWAY,0.5861087542410129,1.942131263906525,0.002028397565922921,0.0796805841774649,0.299,11/21,21.30%,SLC7A11;ABCC3;SESN2;NQO1;SQSTM1;TXNRD1;PSMD5;GCLC;GSR;ME1;AKT3
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.4424785243112989,-1.9380127042960003,0.014527845036319613,0.025394107129934534,0.175,10/32,14.20%,CENPF;CENPE;BUB1;CDK6;LYN;PRKCA;TOP2A;CDC45;ANAPC2;NSL1
