Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,PID_ERBB1_DOWNSTREAM_PATHWAY,-0.6963823610442769,-2.0587446831848153,0.0019723865877712033,0.12163972866594087,0.08,3/11,1.42%,PRKCA;DIAPH3;EGFR
gsea,REACTOME_OPIOID_SIGNALLING,-0.6381058745158787,-2.049791423168853,0.0,0.06603299556151078,0.085,4/13,4.26%,PRKCA;GNA14;PDE4B;PRKAR2B
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.596662742712619,-1.959175258574426,0.004149377593360996,0.12936288604155616,0.204,9/15,23.04%,BRIP1;CDC45;CENPE;BUB1;CENPF;CDC25C;ANAPC2;KIF2A;CENPT
gsea,WP_G_PROTEIN_SIGNALING,-0.6779481115679157,-1.9485146843309828,0.0017985611510791368,0.10628995338190549,0.223,5/13,7.24%,PRKCA;GNA14;PDE4B;PRKAR2B;AKAP12
gsea,REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,-0.6166263719639513,-1.9340053635503103,0.0,0.09568991988387349,0.246,4/11,4.26%,PRKCA;CACNA1C;GNA14;PRKAR2B
gsea,REACTOME_RHOD_GTPASE_CYCLE,-0.650988338773826,-1.9330354668083947,0.0058823529411764705,0.08051391564078943,0.248,4/10,7.24%,DIAPH3;FILIP1;ADD3;AKAP12
gsea,KEGG_CALCIUM_SIGNALING_PATHWAY,-0.4790296009063817,-1.8917418692371941,0.0,0.10144918866968948,0.333,5/25,2.64%,PRKCA;CACNA1C;GNA14;EGFR;ITPKA
gsea,WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME,-0.4839853898638251,-1.873574538384667,0.007177033492822967,0.10600033498031991,0.38,12/18,30.77%,EGFR;HIRA;CDC45;PI4KA;TANGO2;MED15;RTN4;BCL2;FGFR1;KLHL22;FOXA2;P2RX6
gsea,REACTOME_G_PROTEIN_MEDIATED_EVENTS,-0.6355262900062432,-1.8610034443004535,0.00411522633744856,0.1061934139147103,0.416,3/10,4.26%,PRKCA;GNA14;PRKAR2B
gsea,WP_EBOLA_VIRUS_INFECTION_IN_HOST,-0.6887336382438453,-1.857865031925404,0.008896797153024912,0.09881779862099767,0.428,3/10,12.48%,BST2;EGFR;ICAM2
gsea,REACTOME_CDC42_GTPASE_CYCLE,-0.5003884322069484,-1.845576875738423,0.01171875,0.10078720375177957,0.474,10/21,21.92%,DIAPH3;DOCK11;TFRC;ARAP3;ARHGDIB;DOCK10;IQGAP2;SH3PXD2A;BCR;ARHGAP9
gsea,WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,-0.6621601721664254,-1.8306539569014884,0.01160541586073501,0.107062269119467,0.521,3/10,4.26%,PRKCA;CACNA1C;PRKAR2B
gsea,WP_MESODERMAL_COMMITMENT_PATHWAY,-0.570656178555113,-1.8029572174355697,0.0,0.12823411688665856,0.591,9/15,27.94%,BMP7;INHBA;ADAM19;CSRP2;TCF4;FGFR1;FOXH1;FOXA2;TOX
gsea,KEGG_GNRH_SIGNALING_PATHWAY,-0.528103967938116,-1.762149515743131,0.010101010101010102,0.16955088709966862,0.702,6/16,19.77%,PRKCA;CACNA1C;EGFR;MAPK12;GNRHR;PLA2G2A
gsea,KEGG_TGF_BETA_SIGNALING_PATHWAY,-0.6158848428430086,-1.7542609561727238,0.00929368029739777,0.16898268337846262,0.715,5/10,12.96%,BMP7;BMP6;INHBA;LTBP1;AMHR2
gsea,REACTOME_SIGNALING_BY_ERBB2,-0.5987372265836078,-1.7205073070889976,0.026168224299065422,0.20664272953130675,0.807,2/11,1.42%,PRKCA;EGFR
gsea,PID_PTP1B_PATHWAY,-0.5798818735222925,-1.7180623904227283,0.012589928057553957,0.19843971421580942,0.817,3/11,10.37%,EGFR;CDH2;STAT5B
