Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.7367866145122711,3.0717305001340005,0.0,0.0,0.0,23/58,9.21%,ABCC3;SLC7A11;TXNRD1;CYP1B1;SLC7A5;G6PD;SQSTM1;FTL;HMOX1;ME1;NCOA3;GCLC;NQO1;PTGR1;JUND;TGFB1;GCLM;CPEB4;MFGE8;MAFG;FGF13;TGFB2;PPARD
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.7191950720196283,3.0661327746395175,0.0,0.0,0.0,30/67,9.71%,ABCC3;SLC7A11;TXNRD1;G6PD;SQSTM1;HMOX1;ME1;HYOU1;ABCC1;SESN2;GCLC;NQO1;DDIT3;HSPA5;VEGFA;AREG;EPAS1;GCLM;TNIK;HSPA6;GRB10;HMGA1;GFPT1;TUBB2A;MAFG;ASNS;TUBB1;BACH1;SCMH1;HBA2
gsea,REACTOME_METABOLISM_OF_LIPIDS,0.6384573776252145,2.8844248994250408,0.0,0.0,0.0,28/73,12.88%,ABCC3;TXNRD1;CYP1B1;FDPS;HMGCS1;AKR1C2;MVD;ME1;FADS1;ABCC1;NCOA3;PTGR1;PLD1;INSIG1;STARD4;GPAT3;LBR;AKR1C1;SLC44A5;TNFAIP8;HPGD;PLIN2;ACSBG1;SEC24D;PPARD;MTMR8;ELOVL6;FADS2
gsea,WP_NRF2_PATHWAY,0.810010966573877,2.8346795574417407,0.0,0.0,0.0,17/32,9.21%,ABCC3;SLC7A11;TXNRD1;G6PD;SQSTM1;FTL;HMOX1;ME1;GCLC;NQO1;PTGR1;TGFB1;GCLM;MAFG;FGF13;TGFB2;PPARD
gsea,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.8210500835202672,2.6143181106316615,0.0,0.0,0.0,16/26,9.71%,ABCC3;SLC7A11;TXNRD1;G6PD;SQSTM1;HMOX1;ME1;ABCC1;SESN2;GCLC;NQO1;AREG;GCLM;MAFG;BACH1;HBA2
gsea,REACTOME_KEAP1_NFE2L2_PATHWAY,0.87013221396698,2.559487707055698,0.0,0.0,0.0,13/21,2.92%,ABCC3;SLC7A11;TXNRD1;G6PD;SQSTM1;HMOX1;ME1;ABCC1;SESN2;GCLC;NQO1;AREG;GCLM
gsea,REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,0.8727310499033694,2.460267699088384,0.0,0.0,0.0,12/19,2.92%,ABCC3;SLC7A11;TXNRD1;G6PD;SQSTM1;HMOX1;ME1;ABCC1;GCLC;NQO1;AREG;GCLM
gsea,WP_FERROPTOSIS,0.8270573564869896,2.438558089863549,0.0,0.0,0.0,9/15,8.30%,SLC7A11;TXNRD1;FTL;AKR1C2;HMOX1;GCLC;GCLM;AKR1C1;BACH1
gsea,REACTOME_METABOLISM_OF_STEROIDS,0.7082335072608363,2.435367524227391,0.0,0.0,0.0,10/22,9.05%,ABCC3;FDPS;HMGCS1;AKR1C2;MVD;INSIG1;STARD4;LBR;AKR1C1;SEC24D
gsea,WP_PLEURAL_MESOTHELIOMA,0.5305363471068497,2.3989511122712908,0.0,0.00018232566515103768,0.001,26/51,26.76%,SLC7A5;DDIT3;VEGFA;AREG;TGFB1;NDRG1;MKNK2;CD44;TNIK;FGF13;ANGPT1;CXCL5;FLT1;CXXC4;PDK1;BDNF;FGF14;LIN28B;CDH2;FGFR1;EFNA5;EGFR;LAMB1;COL4A4;AKT3;CCND2
gsea,REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.6188522607875986,2.357265851850164,0.0,0.0008287530234138076,0.003,11/28,15.24%,SLC7A11;SLC7A5;TGFB1;CD44;ITGA5;CEACAM5;TNFRSF10B;PECAM1;ANGPT1;CEACAM6;ITGAM
gsea,WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,0.764657269729147,2.3563197396653575,0.0,0.000759690271462657,0.003,9/13,14.08%,SQSTM1;ME1;VEGFA;TGFB1;GRB10;LDHB;TGFB2;ALDOC;FLT1
