Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,WP_ENDOCHONDRAL_OSSIFICATION,-0.6057882108229131,-2.010394037846688,0.0,0.034003552174810055,0.052,3/17,2.00%,BMP7;MGP;FGFR1
gsea,WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,-0.6057882108229131,-2.010394037846688,0.0,0.034003552174810055,0.052,3/17,2.00%,BMP7;MGP;FGFR1
gsea,WP_MESODERMAL_COMMITMENT_PATHWAY,-0.6317534544095428,-1.9779751636659606,0.0,0.03765365099583486,0.082,7/15,17.56%,BMP7;FGFR1;TCF4;SLC2A12;LEF1;ADAM19;INHBA
gsea,WP_COMPLEMENT_AND_COAGULATION_CASCADES,0.6471046554969503,1.916799155166558,0.004975124378109453,0.2024807552235822,0.335,9/11,26.58%,PLAUR;CLU;MASP1;F8;SERPINE1;C3;CFH;PROS1;TFPI
gsea,WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES,0.6471046554969503,1.916799155166558,0.004975124378109453,0.2024807552235822,0.335,9/11,26.58%,PLAUR;CLU;MASP1;F8;SERPINE1;C3;CFH;PROS1;TFPI
gsea,PID_TXA2PATHWAY,-0.7028699614164711,-1.91461745286913,0.0,0.06656627586763664,0.167,6/12,13.22%,GNA14;ICAM1;PRKCA;EGFR;PRKCQ;TGM2
gsea,WP_GLIOBLASTOMA_SIGNALING,-0.640149985517971,-1.912672370673963,0.007677543186180422,0.055327813708165516,0.173,5/11,13.17%,AKT3;FGFR1;PRKCA;EGFR;PRKCQ
gsea,REACTOME_RAC2_GTPASE_CYCLE,-0.5845761591904484,-1.8599178255925477,0.005870841487279843,0.08376016241930613,0.269,7/13,25.79%,DIAPH3;TFRC;NCKAP1L;BCR;RAC2;ARHGAP21;DOCK2
gsea,WP_BREAST_CANCER_PATHWAY,-0.6723675254329626,-1.8234190088713218,0.0016835016835016834,0.10851496795738416,0.369,4/11,14.51%,AKT3;FGFR1;EGFR;LEF1
gsea,WP_CELL_LINEAGE_MAP_FOR_NEURONAL_DIFFERENTIATION,-0.5673731806310293,-1.8089383406358845,0.0015360983102918587,0.11094379311272773,0.409,8/18,14.51%,NES;RBFOX3;CDH2;DLG2;ESRRB;ACHE;UNC13A;LEF1
gsea,KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY,-0.5866912590246006,-1.7916405591688862,0.0016891891891891893,0.10616024255254258,0.451,8/16,24.29%,AKT3;FGFR1;EGFR;ERBB4;AREG;PDGFD;BDNF;NTRK1
gsea,KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY,-0.5866912590246006,-1.7916405591688862,0.0016891891891891893,0.10616024255254258,0.451,8/16,24.29%,AKT3;FGFR1;EGFR;ERBB4;AREG;PDGFD;BDNF;NTRK1
gsea,WP_RAS_SIGNALING,-0.4726066582476057,-1.766144047601809,0.0074211502782931356,0.12375406816163537,0.517,10/17,35.11%,AKT3;FGFR1;PRKCA;EGFR;RAC2;NTRK1;PLA2G2A;ABL1;GRIN2B;PDGFRB
gsea,REACTOME_INTERFERON_SIGNALING,-0.5343252500783358,-1.7642583487322836,0.005050505050505051,0.11584260995147155,0.522,7/20,11.12%,IFI6;ICAM1;IFIT3;SOCS1;MID1;BST2;UBA7
gsea,KEGG_GLIOMA,-0.5958510781009712,-1.762015233548631,0.0137524557956778,0.10932563189450013,0.529,3/11,2.74%,AKT3;PRKCA;EGFR
gsea,KEGG_TGF_BETA_SIGNALING_PATHWAY,-0.6383172693883753,-1.7397804802469623,0.013944223107569721,0.12531091140450584,0.602,4/10,18.55%,BMP7;TGFB2;INHBA;AMHR2
gsea,REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,-0.5492009820511131,-1.732060140764392,0.009280742459396751,0.12579393200037076,0.626,3/11,10.32%,CDC45;AKT3;PSMA1
gsea,WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE,-0.5700290512134291,-1.7180884030820267,0.01125703564727955,0.13666258151613278,0.68,3/12,2.74%,AKT3;PRKCA;EGFR
