Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_METABOLISM_OF_LIPIDS,0.5160039490957756,2.6292578189795672,0.0,0.0,0.0,30/77,21.08%,ACSBG1;INSIG1;AGMO;CYP4F2;HSD17B11;ACSL4;HMGCS1;FADS1;PPARD;STARD4;ANGPTL4;FADS2;NCOA3;MVD;CGA;TNFAIP8;TXNRD1;GDPD5;AKR1B1;PTGR1;MBOAT2;CUBN;ALOX5;ACSL5;HPGD;B4GALT5;AGPAT4;PI4KA;ACHE;PLA2G4A
gsea,KEGG_CHRONIC_MYELOID_LEUKEMIA,-0.7634347622881258,-2.5739409253875887,0.0,0.0007078953618882178,0.001,8/14,7.59%,RUNX1;MDM2;CDK6;TGFB2;STAT5B;BCR;CRKL;GAB2
gsea,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,0.6918842516357347,2.5407652712549718,0.0,0.0,0.0,8/21,15.13%,PARP16;TCN2;MTHFR;SLC23A2;ALDH1L2;HSPG2;GPC5;CUBN
gsea,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,0.7520478662111205,2.493246872852686,0.0,0.0,0.0,5/16,12.68%,COL26A1;COL4A4;P4HA1;P3H1;COL1A1
gsea,WP_ADHD_AND_AUTISM_ASD_PATHWAYS,0.5356072330483996,2.4921838213210084,0.0,0.0,0.0,21/48,19.63%,TCN2;AGMO;GABRB3;NRXN3;MTHFR;ALDH1L2;GRM8;CNTNAP2;SYP;DLG2;CNTN1;PRKAR2B;SESN2;SCN9A;AKR1B1;CUBN;SCN4A;GRIN2D;PRKCA;AKT3;PIK3AP1
gsea,REACTOME_COLLAGEN_FORMATION,0.7356478255303931,2.4875349447190414,0.0,0.0,0.0,5/18,12.68%,COL26A1;COL4A4;P4HA1;P3H1;COL1A1
gsea,REACTOME_INFECTIOUS_DISEASE,0.5250141753185378,2.472939330416736,0.0,0.0,0.0,27/61,25.90%,RPL3L;RAE1;PARP16;ELMO1;TXNIP;FYN;ITPR1;TUBB4A;MAP1B;MYO10;HSPG2;PRKAR2B;TXNRD1;GPC5;HMOX1;TUBB2A;TUSC3;AKT3;C3;VAV1;TGFB1;SYT2;NOX1;TUBB2B;BTK;ST3GAL2;ST6GAL1
gsea,REACTOME_VIRAL_INFECTION_PATHWAYS,0.5729130732135274,2.4644588877118365,0.0,0.0,0.0,18/40,25.90%,RPL3L;RAE1;PARP16;ELMO1;FYN;TUBB4A;MAP1B;HSPG2;GPC5;TUBB2A;TUSC3;AKT3;VAV1;TGFB1;TUBB2B;BTK;ST3GAL2;ST6GAL1
gsea,REACTOME_FATTY_ACID_METABOLISM,0.6150963672659256,2.417246563266148,0.0,0.00033844956255394044,0.002,10/25,17.90%,ACSBG1;CYP4F2;ACSL4;FADS1;PPARD;FADS2;PTGR1;ALOX5;ACSL5;HPGD
gsea,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.6725273091479516,2.4008102828902653,0.0,0.00030084405560350263,0.002,7/19,17.76%,COL26A1;COL4A4;HSPG2;FN1;COL1A1;CAST;LAMB1
