Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,0.7048083723762111,2.3413754862808145,0.0,0.004488133278044735,0.004,9/19,4.63%,NQO1;TXNRD1;SLC7A11;G6PD;ME1;ABCC3;ABCC1;GCLC;GCLM
gsea,WP_NRF2_PATHWAY,0.5626208634988907,2.314374754675205,0.0,0.004488133278044735,0.008,17/32,27.45%,NQO1;TXNRD1;SLC7A11;G6PD;FTL;ME1;ABCC3;GCLC;GCLM;SLC6A8;HSPA1A;SLC2A3;ALDH3A1;PTGR1;HMOX1;ABCC4;SQSTM1
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.484793947596979,2.260985659511255,0.0,0.0071062110235708305,0.018,28/58,27.45%,NQO1;CYP1B1;TXNRD1;SLC7A5;SLC7A11;G6PD;FTL;ME1;ABCC3;JUND;GCLC;ABCB1;FKBP5;GCLM;ANGPTL4;SLC6A8;HSPA1A;SLC2A3;EGFR;PPP1R14C;MFGE8;ALDH3A1;PTGR1;HMOX1;CAVIN2;ABCC4;TNFAIP3;SQSTM1
gsea,REACTOME_KEAP1_NFE2L2_PATHWAY,0.6369645500379535,2.20613577268959,0.0,0.010939824865234041,0.033,9/21,4.63%,NQO1;TXNRD1;SLC7A11;G6PD;ME1;ABCC3;ABCC1;GCLC;GCLM
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.42208139053463756,2.1700412818003056,0.0,0.012342366514623022,0.048,34/67,30.75%,NQO1;TXNRD1;SLC7A11;G6PD;ME1;ABCC3;ABCC1;HMGA1;HBA2;GCLC;ASNS;FKBP5;TNIK;GCLM;KHSRP;CAMK2A;IL6;GRB10;HSPA1A;AREG;FKBP14;HIRA;VEGFA;SCMH1;TPP1;EGLN1;HMOX1;SQSTM1;BACH1;NUP214;HYOU1;GSR;RAE1;DDIT3
gsea,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.5694939505298345,2.1685755124935624,0.0,0.010472310982104382,0.049,10/26,4.63%,NQO1;TXNRD1;SLC7A11;G6PD;ME1;ABCC3;ABCC1;HBA2;GCLC;GCLM
gsea,WP_FERROPTOSIS,0.6452354472862778,2.1639556514939473,0.0,0.009777718927168886,0.054,11/15,27.60%,TXNRD1;AKR1C2;SLC7A11;FTL;GCLC;GCLM;ACSL5;CP;HMOX1;AKR1C1;BACH1
gsea,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,-0.6995652605135567,-2.120180022593958,0.0,0.023534206585407468,0.021,2/10,0.89%,EVL;COL4A5
gsea,WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,0.7322881677278398,2.0847416877969698,0.0,0.02216015806034588,0.127,3/12,2.76%,NQO1;JUND;GCLC
gsea,REACTOME_DRUG_ADME,0.631652882889052,2.077460553656274,0.00228310502283105,0.021692644177216218,0.135,7/14,14.34%,ABCC3;ABCC1;SLC22A3;ABCB1;SLC16A1;UGT1A8;VAV1
gsea,REACTOME_SMOOTH_MUSCLE_CONTRACTION,0.6968575283028161,2.0567222942906827,0.0022935779816513763,0.023787106373637096,0.16,6/11,11.73%,MYL7;SORBS1;MYLK;LMOD1;MYL9;TPM2
gsea,REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.5253428255193645,2.0109575385804512,0.0,0.032436963236777853,0.224,13/28,19.76%,SLC7A5;CEACAM5;SLC7A11;FN1;CD44;CEACAM6;GYPB;SLC16A1;ITGAM;GYPC;SDC3;PECAM1;PPIL2
gsea,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.5144688417236619,2.002472648776503,0.00425531914893617,0.0318844468294428,0.237,12/21,29.77%,NQO1;TXNRD1;SLC7A5;ASNS;SLC6A8;CRYM;HGD;ARG2;CKB;BCAT1;SLC25A21;GSR
gsea,REACTOME_METABOLISM_OF_RNA,0.5873994638216291,1.979831308639852,0.0035149384885764497,0.03573244571366386,0.277,12/16,30.51%,KHSRP;HSPA1A;MT-RNR1;RBMX;PPIL2;IGF2BP3;APOBEC3C;PRKCA;IGF2BP1;NUP214;MT-RNR2;RAE1
gsea,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,-0.6426777488606464,-1.9577067924801395,0.0036231884057971015,0.11676587113529088,0.18,3/11,7.98%,GFRA1;COL4A5;SPTB
gsea,REACTOME_MUSCLE_CONTRACTION,0.4590457840566694,1.9001959834032773,0.00303951367781155,0.06507793253164866,0.424,19/35,33.42%,MYL7;SORBS1;MYLK;WWTR1;LMOD1;CAMK2A;DES;MYL9;TPM2;CORIN;SCN9A;SCN4A;SCN2A;TRIM72;CACNA1C;VCL;ASPH;FGF13;TMOD1
gsea,PID_ERBB4_PATHWAY,-0.623430916580682,-1.8523072346222078,0.0036900369003690036,0.2205577565888828,0.4,5/12,23.16%,NRG3;EREG;MDM2;ERBB4;GRIN2B
gsea,REACTOME_KERATINIZATION,0.6696922800143228,1.840270340566283,0.0027100271002710027,0.09589644770755584,0.571,6/12,10.99%,KRT10;KRT13;KRT81;KRT6A;KRT6C;KRTAP10-4
gsea,WP_ACUTE_VIRAL_MYOCARDITIS,-0.5595333233144699,-1.787496301864071,0.010893246187363835,0.23950581009610827,0.579,2/11,1.38%,SGCG;BCL2
gsea,REACTOME_ONCOGENIC_MAPK_SIGNALING,0.6222227203814501,1.7826444150509753,0.02529182879377432,0.12804380234421744,0.705,5/10,21.78%,FN1;ITGA2B;CAMK2A;ZC3HAV1;FGG
gsea,REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS,0.6222227203814501,1.7826444150509753,0.02529182879377432,0.12804380234421744,0.705,5/10,21.78%,FN1;ITGA2B;CAMK2A;ZC3HAV1;FGG
gsea,WP_PHOTODYNAMIC_THERAPYINDUCED_NFE2L2_NRF2_SURVIVAL_SIGNALING,0.663022574926409,1.782207748740641,0.0044742729306487695,0.121428939244877,0.706,5/10,11.83%,NQO1;ABCC3;GCLC;GCLM;EPHX1
gsea,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,-0.3865931357222051,-1.7689765187813797,0.0032258064516129032,0.2338334628678306,0.632,20/60,28.93%,EVL;GFRA1;DSCAM;COL4A5;ANK3;PLXNA4;LAMB1;SEMA3A;RELN;SPTB;UNC5D;PRKCQ;EPHA4;EFNA5;PTPRC;MSN;GRIN2B;TUBB4A;RPL3L;COL6A5
gsea,REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,0.6791930420461249,1.7489002491255843,0.01775147928994083,0.14432891752028068,0.778,5/11,7.84%,KRT10;KRT13;KRT81;KRT6A;KRT6C
gsea,REACTOME_M_PHASE,0.5032590262075949,1.7453502923465678,0.019157088122605363,0.14014196160694686,0.785,14/19,38.74%,CENPF;KIF2A;PRKCB;LBR;NSL1;PRKCA;PRKAR2B;NUP214;RAE1;B9D2;TUBB2A;BUB1;PSMD5;CENPT
gsea,WP_MALE_INFERTILITY,0.4921393987288295,1.6911883751042902,0.02132701421800948,0.1905319436846134,0.876,6/15,11.98%,NQO1;HMGA1;ABCB1;PIWIL2;CLU;TEX15
gsea,KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.5611780844729771,1.6641373441052623,0.034220532319391636,0.21354334130878755,0.908,5/10,20.45%,CD44;ITGA2B;IL6;ITGAM;CD37
gsea,REACTOME_METABOLISM_OF_LIPIDS,0.33946798198600286,1.6527436182466044,0.0,0.21840622484572042,0.919,29/74,27.16%,CYP1B1;TXNRD1;AKR1C2;AGMO;ME1;ABCC3;ABCC1;MFSD2B;AKR1B1;TNFAIP8;FADS1;HPGD;ACSM3;ANGPTL4;OLAH;ABHD5;CYP4F11;ACSL5;GPS2;LBR;MVD;MED15;SLC44A4;SLC44A5;ACSBG1;GDPD5;PTGR1;B4GALT5;AKR1C1
gsea,WP_HIPPOMERLIN_SIGNALING_DYSREGULATION,0.48954271016923145,1.6172343060820986,0.0468384074941452,0.2484181769397761,0.948,6/16,15.48%,CD44;ITGA2B;LIN28B;WWTR1;EGFR;ITGAM
gsea,REACTOME_BIOLOGICAL_OXIDATIONS,0.4382695401432719,1.6107401611612375,0.029953917050691243,0.24835775976103316,0.954,10/22,32.08%,CYP1B1;GCLC;GCLM;UGT1A8;EPHX1;CYP4F11;ALDH3A1;ACSM1;SULT1A2;DPEP2
