Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.7206926057989289,2.712406541919142,0.0,0.0,0.0,1/21,0.05%,COL26A1
gsea,REACTOME_COLLAGEN_FORMATION,0.7403058930654366,2.6916620670190925,0.0,0.0,0.0,1/20,0.05%,COL26A1
gsea,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,0.7520081467019418,2.6013164710124057,0.0,0.0,0.0,1/18,0.05%,COL26A1
gsea,REACTOME_VIRAL_INFECTION_PATHWAYS,0.5944519136680047,2.5907013789929008,0.0,0.0,0.0,10/42,10.49%,RPL3L;RAE1;PARP16;ELMO1;MAP1B;FYN;TUBB4A;TUBB2A;GPC5;AKT3
gsea,REACTOME_COLLAGEN_DEGRADATION,0.8156130100150281,2.564907564237335,0.0,0.0,0.0,1/12,0.05%,COL26A1
gsea,REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,0.837959750610859,2.5555860084070563,0.0,0.0,0.0,1/11,0.05%,COL26A1
gsea,REACTOME_METABOLISM_OF_LIPIDS,0.49854063454441544,2.541420824489034,0.0,0.0,0.0,32/78,24.06%,ACSBG1;INSIG1;AGMO;HSD17B11;CYP4F2;HMGCS1;STARD4;FADS1;ACSL4;PPARD;ANGPTL4;CGA;NCOA3;GDPD5;AGPAT4;CUBN;TNFAIP8;FADS2;LBR;TXNRD1;AKR1B1;HPGD;MVD;ALOX5;MBOAT2;PTGR1;ST3GAL2;PI4KA;OLAH;MTMR8;AKR1C3;ACSL5
gsea,KEGG_CHRONIC_MYELOID_LEUKEMIA,-0.7693079909873712,-2.5046402765792384,0.0,0.000728817066916204,0.001,8/14,6.37%,RUNX1;MDM2;CDK6;BCR;STAT5B;CRKL;TGFB2;GAB2
gsea,REACTOME_INFECTIOUS_DISEASE,0.5365830995376848,2.488460671001856,0.0,0.0,0.0,29/63,27.45%,RPL3L;RAE1;PARP16;ELMO1;MAP1B;FYN;TUBB4A;TXNIP;ITPR1;TUBB2A;HMOX1;GPC5;AKT3;MYO10;PRKAR2B;TXNRD1;SERPINE1;HSPG2;C3;TUSC3;TLR6;ST3GAL2;VAV1;TGFB1;SYT2;BTK;HSPA1A;NOX1;DPEP2
gsea,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,0.6705593156967028,2.4623320564608604,0.0,0.0,0.0,10/21,17.14%,PARP16;TCN2;MTHFR;ALDH1L2;GPC5;SLC23A2;CUBN;HSPG2;LRP12;TCN1
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.7537099154148936,-2.4128180805959984,0.0,0.001457634133832408,0.004,8/15,9.99%,MDM2;CENPF;PSMD5;BRIP1;BUB1;PSMA1;CDC25C;KIF2A
gsea,REACTOME_METABOLISM_OF_CARBOHYDRATES,0.5947967439592036,2.4019903172627277,0.0,0.00013391701646391554,0.001,11/29,16.68%,RAE1;ALDOC;FBP2;G6PD;CHST11;GPC5;RHCE;NDST4;AKR1B1;HSPG2;CEMIP
gsea,REACTOME_INTERFERON_SIGNALING,0.6418499036352816,2.3944438192374284,0.0,0.00012174274223992324,0.001,5/24,8.30%,RAE1;GBP2;TUBB4A;OASL;TUBB2A
gsea,REACTOME_METABOLISM_OF_RNA,0.7382153205129763,2.3812916249754394,0.0,0.00011159751371992963,0.001,4/16,5.87%,RPL3L;RAE1;MT-RNR2;MT-RNR1
gsea,REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,0.7422868401920633,2.36208663393185,0.0,0.0002060261791752547,0.002,6/13,11.59%,PARP16;TCN2;MTHFR;ALDH1L2;SLC23A2;CUBN
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.46461347698714106,2.351367534538327,0.0,0.0004782750587996984,0.005,25/70,17.87%,RPL3L;RAE1;GCLC;SQSTM1;DDIT3;G6PD;TUBB4A;TXNIP;ASNS;TUBB2A;EGLN3;HBA1;TNIK;EPAS1;HMOX1;AKT3;HYOU1;HSPA5;CREB3L2;TXNRD1;FKBP5;SESN2;GRB10;CXCL8;FKBP14
gsea,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.4920372643158538,2.320832531538344,0.0,0.0005356680658556622,0.005,23/57,28.74%,COL26A1;P4HA1;ITGAX;MMP1;PRKCA;SERPINE1;HSPG2;DMD;CAST;FGG;P3H1;COL4A4;ITGAM;FN1;FGB;COL1A1;LAMB1;TGFB1;ITGA2B;ICAM4;LOXL2;COL25A1;ITGA5
gsea,WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,0.7227747861037619,2.313740989132677,0.0,0.0005858869470296306,0.005,7/14,13.34%,CPEB4;SERTAD2;SERPINB9;ANGPTL4;CDKN1C;MFGE8;TNFAIP3
gsea,WP_ADHD_AND_AUTISM_ASD_PATHWAYS,0.5074686673613126,2.2817149789900073,0.0,0.0007877471556700915,0.008,27/48,28.92%,AGMO;TCN2;GABRB3;MTHFR;NRXN3;CNTNAP2;SYP;ALDH1L2;GRM8;AKT3;CUBN;CNTN1;PRKAR2B;SCN9A;AKR1B1;PRKCA;DLG2;PIK3AP1;SESN2;TCN1;SCN4A;AKR1C3;CNR1;GRIN2D;NOX1;GRIN2B;AKR1C1
gsea,REACTOME_GASTRULATION,-0.7831597243114667,-2.2736789952319034,0.0,0.0036440853345810205,0.014,5/11,8.98%,MAML3;EPHA4;PSMD5;MAML2;PSMA1
gsea,REACTOME_SLC_TRANSPORTER_DISORDERS,0.7838545367266603,2.27299132741678,0.0020833333333333333,0.000892780109759437,0.009,1/11,0.37%,RAE1
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.43818403958555435,-2.2654458706262663,0.0,0.0027330640009357652,0.014,41/117,21.68%,GFRA1;EVL;DSCAM;SYTL2;ANK3;BCL2;RUNX1;MAML3;PCSK6;COL4A5;BMP7;ZFP36L2;EPHA4;PSMD5;PLXNA4;CHD4;CACNA1C;LYN;GAB2;MAML2;RAB27A;GATA2;YES1;PSMA1;MED15;KRT13;KRT81;ANK1;MAPK12;ABL1;SLIT3;UNC5D;PRKCQ;NTN4;EGFR;TLN1;KRT79;SPI1;KRT7;SPRR1B;FOXH1
gsea,WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,0.7184284464501891,2.250315985175648,0.0,0.0010572396036624913,0.012,3/13,2.66%,TNFRSF10B;GCLC;SQSTM1
gsea,WP_PPAR_SIGNALING,0.7144287173752055,2.210281532348995,0.0,0.001740921214030902,0.021,7/14,14.71%,ACSBG1;SORBS1;ACSL4;PPARD;ANGPTL4;MMP1;FADS2
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.4661474837206852,2.2061309038804118,0.0,0.0018493302273588337,0.024,27/59,26.17%,GCLC;SQSTM1;SLCO2B1;CPEB4;FTL;G6PD;SERTAD2;SERPINB9;PPARD;ANGPTL4;NCOA3;HMOX1;CDKN1C;MFGE8;ABCB1;TNFAIP3;TXNRD1;FKBP5;PLTP;SLC7A11;PPP1R14C;PTGR1;CYP3A5;SLC6A8;TGFB1;SLC2A3;HSPA1A
gsea,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,0.655107564925949,2.2033106038664982,0.0,0.0017652697624788868,0.024,6/16,16.54%,PPM1E;TUBB4A;TUBB2A;ERBB4;PRKAR2B;DLG2
gsea,KEGG_INSULIN_SIGNALING_PATHWAY,0.6281055342469356,2.1759279873557897,0.0037243947858473,0.0022707668009098723,0.034,5/16,12.65%,FBP2;SORBS1;PPP1R3A;AKT3;PRKAR2B
