Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,0.7368318885664092,2.371738097462338,0.0,0.001718658797587392,0.001,7/13,15.63%,MFGE8;TGFB1;C5;MASP1;ITGAX;C3;CLU
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.47659044521528654,2.355628025733289,0.0,0.000859329398793696,0.001,30/66,28.09%,MDM2;TNIK;SESN2;ABCC3;G6PD;HYOU1;EGF;GRB10;HSPA5;KHSRP;ME1;MAP3K5;TUBB2A;ETS1;HBA2;NPAS2;ABCC1;EPAS1;GCLC;ASNS;TLN1;HIRA;EGLN1;GCLM;FKBP14;HMGA1;SQSTM1;PSMA1;HSPA1A;VEGFA
gsea,WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES,0.7636506373525112,2.348685530359468,0.0,0.000429664699396848,0.001,6/12,15.63%,SERPINE1;FGB;MASP1;PLAUR;C3;CLU
gsea,WP_COMPLEMENT_AND_COAGULATION_CASCADES,0.7636506373525112,2.348685530359468,0.0,0.000429664699396848,0.001,6/12,15.63%,SERPINE1;FGB;MASP1;PLAUR;C3;CLU
gsea,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,0.7292074970778674,2.3039345035419054,0.0,0.0010311952785524354,0.003,7/15,6.52%,PMEPA1;SERPINE1;LTBP1;TIMP1;KLF16;TGFB1;WWTR1
gsea,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,0.6081534726042289,2.2486882968428605,0.0,0.003723760728106017,0.012,10/24,16.60%,MDM2;SESN2;G6PD;TNFRSF10B;ZNF385A;PLAGL1;CHD4;TP63;DDIT4;IGFBP3
gsea,KEGG_GLIOMA,0.7395035331001436,2.2319056388784793,0.00196078431372549,0.004419408336653294,0.017,3/11,2.00%,MDM2;PRKCA;EGF
gsea,PID_P53_DOWNSTREAM_PATHWAY,0.6777561490730977,2.20256729111398,0.0,0.0053708087424606,0.022,8/15,16.60%,MDM2;GDF15;SERPINE1;TNFRSF10B;ZNF385A;TP63;DDIT4;IGFBP3
gsea,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.6852529288221154,2.152268869141863,0.0,0.009930028608282711,0.041,6/13,14.85%,SERPINE1;FGB;C5;MASP1;PLAUR;C3
gsea,WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,0.6527793049856202,2.151098933974393,0.0,0.00893702574745444,0.041,4/14,2.29%,TNS4;ANGPTL4;MFGE8;CPEB4
gsea,PID_P73PATHWAY,0.72204375665403,2.119982382428594,0.0019569471624266144,0.01249933670972649,0.061,5/10,8.47%,MDM2;GDF15;SERPINE1;TP63;GATA1
gsea,WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,0.6531154626988404,2.1173863255709953,0.0,0.011744168450180514,0.063,9/16,18.01%,NEAT1;MFGE8;EBI3;TLR7;ETS1;ITGAX;C3;IFIT2;CCR7
gsea,REACTOME_CELLULAR_SENESCENCE,0.7202967508158132,2.0941131253077065,0.0,0.014278088472264487,0.085,4/11,10.56%,MDM2;TNIK;MAP3K5;ETS1
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.6545010991586749,-2.0794865169824406,0.0,0.031736499704290065,0.05,4/12,3.75%,EVL;BUB1;CENPF;CENPE
gsea,REACTOME_NEUTROPHIL_DEGRANULATION,0.4562566141504746,2.0534426292607866,0.0,0.020869428256418333,0.13,27/52,28.43%,UNC13D;S100A7;CEACAM6;PLD1;CD53;FTL;PECAM1;LRG1;S100A9;CLEC4C;ITGAX;TNFRSF1B;PLAUR;C3;HVCN1;ANXA2;ALDOC;CTSS;AZU1;CEACAM1;DOCK2;ALDH3B1;TMBIM1;HSPA1A;SLC2A3;TCN1;SLPI
gsea,WP_TGFBETA_RECEPTOR_SIGNALING_IN_SKELETAL_DYSPLASIAS,0.6871440006007713,2.040771210183038,0.002277904328018223,0.02291545063449856,0.149,4/10,5.84%,SERPINE1;EGF;LTBP1;TGFB1
gsea,REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.5192011974388833,2.034469933197458,0.0,0.02298706141773137,0.157,18/29,33.89%,TNFRSF10B;CEACAM6;GP6;FN1;TGFB1;ITGA5;PECAM1;SLC16A1;ANGPT1;ITGAX;GYPC;CEACAM1;CEACAM5;SDC3;SLC7A5;ANGPT2;PPIL2;LYN
gsea,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.4478456280444388,2.0339940805499097,0.0,0.021837076486992745,0.158,30/54,30.23%,PRKCA;SERPINE1;BMP7;CEACAM6;CAST;FN1;LTBP1;TIMP1;FGB;SH3PXD2A;LAMB1;ICAM4;TGFB1;ITGA5;PECAM1;ITGAX;FBN2;P4HA1;ICAM1;COL5A2;CTSS;CEACAM1;COL6A3;P3H2;LOXL2;SDC3;ITGA2B;HSPG2;COLGALT2;TLL1
gsea,WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING,0.45724950196852227,2.032159779224048,0.0,0.02091034870397994,0.16,21/37,33.20%,MDM2;EGF;FN1;LAMB1;ITGA5;ANGPT1;ITGAX;DDIT4;EPAS1;LPAR5;COL5A2;IGF1;PFKFB4;FGF13;SLC2A3;VEGFA;ITGA2B;ANGPT2;ATF2;FLT1;CREB3L2
gsea,WP_COMPLEMENT_SYSTEM,0.5863420682844469,2.0292798678874524,0.0,0.020171626940104655,0.162,9/17,18.60%,PRKCA;FGB;LAMB1;C5;MASP1;ITGAX;PLAUR;C3;ICAM1
gsea,PID_UPA_UPAR_PATHWAY,0.6206039972936475,2.02779696940754,0.004246284501061571,0.019334911472858166,0.164,7/14,14.46%,SERPINE1;FN1;FGB;TGFB1;ITGA5;KLK4;PLAUR
gsea,WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,0.5018844106777369,1.9848772531145236,0.0022522522522522522,0.02676197270528939,0.22,11/26,21.96%,GDF15;TNFRSF10B;BMP7;ACVR1;TGFB1;IL15RA;IL23R;TNFRSF1B;IL12RB2;CCR7;TNFSF15
gsea,REACTOME_DEUBIQUITINATION,0.7128360675143186,1.9819831208008667,0.0022624434389140274,0.02624860709042563,0.227,2/10,5.84%,MDM2;TGFB1
gsea,WP_ERBB_SIGNALING,0.5840761506221548,1.9807773110861362,0.0,0.025406260486074497,0.23,3/18,2.00%,MDM2;PRKCA;EGF
gsea,WP_PLEURAL_MESOTHELIOMA,0.4280607162100539,1.943169033968157,0.0,0.034802840651144695,0.303,26/51,34.42%,MDM2;TNIK;EGF;MKNK2;FN1;MAP3K5;LAMB1;TGFB1;WWTR1;ANGPT1;CDH16;WNT5B;LIN28B;IGF1;CCND2;FGF13;CCND3;VEGFA;CCL5;SLC7A5;ANGPT2;NDRG1;ATF2;FLT1;DDIT3;ROR1
gsea,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,0.6413941757995294,1.9365672010253188,0.004597701149425287,0.03533562487839678,0.319,6/12,17.53%,HYOU1;FTL;MASP1;HBA2;SCARF1;APOL1
