Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_METABOLISM_OF_LIPIDS,0.6092645516712072,3.01699278594358,0.0,0.0,0.0,25/75,13.23%,NCOA3;TXNRD1;ACSBG1;INSIG1;FADS1;AKR1C2;PTGR1;PLD1;AGMO;B4GALT5;PPARD;ELOVL6;ANGPTL4;FADS2;HMGCS1;ST3GAL2;ACHE;CYP4F2;TNFAIP8;GDPD5;HSD17B11;SEC24D;ACSL4;STARD4;PLIN2
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.6258705934260376,2.9931967935806125,0.0,0.0,0.0,22/58,15.53%,NCOA3;TXNRD1;SQSTM1;CPEB4;GCLC;HMOX1;SLC6A6;TGFB2;G6PD;PTGR1;FTL;PPARD;SERTAD2;ANGPTL4;MFGE8;PLTP;CDKN1C;TNFAIP3;NQO1;SLC6A8;CYP3A5;SLC7A11
gsea,WP_NRF2_PATHWAY,0.6820697531729286,2.773513124554053,0.0,0.0,0.0,10/32,4.32%,TXNRD1;SQSTM1;GCLC;HMOX1;SLC6A6;TGFB2;G6PD;PTGR1;FTL;PPARD
gsea,REACTOME_INFECTIOUS_DISEASE,0.5550759016387794,2.76309837152675,0.0,0.0,0.0,22/61,16.24%,RPL3L;TXNRD1;TXNIP;HMOX1;MAP1B;TUBB4A;SERPINE1;RUNX1;ST6GAL1;FYN;AKT3;C3;RAE1;ST3GAL2;ITPR1;ELMO1;PRKAR2B;SEC24D;PARP16;VAV1;HSPG2;TLR6
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.873460287431651,-2.712761725710083,0.0,0.0,0.0,8/15,3.10%,BRIP1;CENPF;MDM2;CDC45;BUB1;CENPE;CDC25C;PSMD5
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.5183007874181806,2.615930770795969,0.0,0.0,0.0,22/67,15.53%,RPL3L;TXNRD1;SQSTM1;TXNIP;GCLC;HMOX1;DDIT3;EGLN3;TUBB4A;G6PD;EPAS1;TNIK;FKBP14;AKT3;MAP3K5;RAE1;SESN2;CREB3L2;GRB10;NQO1;HBA1;SLC7A11
gsea,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.7186010749333129,2.579456797709835,0.0,0.0,0.0,6/19,11.12%,COL26A1;CAST;COL1A1;LAMB1;FN1;COL4A4
gsea,WP_SELENIUM_MICRONUTRIENT_NETWORK,0.8141883375382705,2.5491308412662406,0.0,0.0,0.0,5/15,4.04%,TXNRD1;KYNU;SELENOP;MTHFR;SERPINE1
gsea,REACTOME_VIRAL_INFECTION_PATHWAYS,0.551743860040403,2.459777148733206,0.0,0.0,0.0,20/41,25.29%,RPL3L;MAP1B;TUBB4A;SERPINE1;RUNX1;ST6GAL1;FYN;AKT3;RAE1;ST3GAL2;ELMO1;SEC24D;PARP16;VAV1;HSPG2;TLR6;TGFB1;TUSC3;BTK;TUBB1
gsea,WP_CANCER_PATHWAYS,0.5007801016165905,2.4314676611391053,0.0,0.0,0.0,18/61,22.34%,NCOA3;TXNRD1;HMOX1;EGLN3;TGFB2;PLD1;PPARD;EPAS1;RUNX1;AKT3;LAMB1;FN1;COL4A4;NQO1;CSF3R;PLCB2;TGFB1;CAMK2D
gsea,WP_FERROPTOSIS,0.7218739670163244,2.4251109285024577,0.0,0.0,0.0,5/15,3.85%,TXNRD1;GCLC;HMOX1;AKR1C2;FTL
gsea,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.6529108513697437,2.417092854079552,0.0,0.00014531160189357162,0.001,8/22,13.51%,RPL3L;TXNRD1;KYNU;CKB;CRYM;ARG2;NQO1;SLC6A8
gsea,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.5216018164042262,2.3814206595470697,0.0,0.000266404603471548,0.002,17/53,22.20%,COL26A1;CAST;TGFB2;SERPINE1;COL1A1;LAMB1;DMD;FN1;COL4A4;ICAM4;HSPG2;ITGA5;NTN4;TGFB1;CEACAM6;SH3PXD2A;P3H1
gsea,WP_ADHD_AND_AUTISM_ASD_PATHWAYS,0.5077776742045892,2.3637988161943686,0.0,0.0004918238833320885,0.003,17/46,22.01%,KYNU;DLG2;MTHFR;AGMO;SYP;AKT3;GRIN2D;ALDH1L2;GABRB3;SESN2;NRXN3;PRKAR2B;TCN2;CNTN1;PIK3AP1;SCN4A;CNTNAP2
gsea,WP_PPAR_SIGNALING,0.805960584671927,2.3594212010729665,0.0,0.0004566936059512251,0.003,7/11,11.64%,ACSBG1;SORBS1;PPARD;ANGPTL4;FADS2;ACSL4;PLTP
gsea,REACTOME_FATTY_ACID_METABOLISM,0.6252825891699201,2.3388384073975628,0.0,0.0006393710483317152,0.005,8/24,11.50%,ACSBG1;FADS1;PTGR1;PPARD;ELOVL6;FADS2;CYP4F2;ACSL4
gsea,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,0.583383154999854,2.3183347890978236,0.0,0.000599410357810983,0.005,8/30,15.25%,CLU;TIMP3;SELENOP;TGFB2;SERPINE1;VCL;FN1;FERMT3
gsea,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,0.6864072570604737,2.309069868328828,0.0,0.0005641509249985722,0.005,6/16,10.61%,PPM1E;DLG2;TUBB4A;ERBB4;GRIN2D;PRKAR2B
gsea,REACTOME_COLLAGEN_FORMATION,0.6670821716915787,2.295357147864862,0.0,0.000621610741433612,0.006,3/18,11.12%,COL26A1;COL1A1;COL4A4
gsea,WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,0.7374225513159192,2.276727786792997,0.0,0.0008412776951733094,0.009,7/13,20.69%,SQSTM1;ALDOC;TGFB2;GRB10;LDHC;LDHB;TGFB1
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.5410820472411291,-2.269818784649649,0.0,0.0023652644027707384,0.009,10/28,13.94%,EVL;CENPF;DIAPH3;BUB1;CENPE;CDC25C;KIF14;FMNL3;ABL1;NCKAP1L
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.6787417058059153,-2.261704454509927,0.0,0.0017520477057561025,0.01,6/13,9.53%,EVL;CENPF;DIAPH3;BUB1;CENPE;FMNL3
gsea,REACTOME_CELL_CYCLE,-0.538283593324975,-2.247953610030847,0.0,0.0018396500910439076,0.013,15/36,18.16%,BRIP1;CENPF;MDM2;CDC45;BUB1;CENPE;CDC25C;TOP2A;PSMD5;NUP214;CDC14A;CDK6;ABL1;CCND3;LYN
gsea,WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME,-0.5882808010093697,-2.2477287026604142,0.0021321961620469083,0.001471720072835126,0.013,9/19,17.32%,BCL2;CDC45;HIRA;CRKL;COMT;TANGO2;MED15;RTN4;FGFR1
gsea,WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,0.7680374622796358,2.2436802513859107,0.0,0.001438584858746359,0.017,3/12,2.16%,TNFRSF10B;SQSTM1;GCLC
gsea,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,0.683008232593749,2.1996754023131686,0.0,0.0024356992317398673,0.028,3/16,11.12%,COL26A1;COL1A1;COL4A4
gsea,WP_CELL_LINEAGE_MAP_FOR_NEURONAL_DIFFERENTIATION,0.5875165398619376,2.190825648621344,0.0,0.0025429530331375033,0.03,9/20,24.64%,DLG2;ROBO1;UNC13A;SYP;NES;ACHE;KCNJ6;GFAP;PAX6
gsea,KEGG_PPAR_SIGNALING_PATHWAY,0.7710830886177567,2.1750243155812896,0.0,0.00375283006629485,0.047,6/10,11.64%,SORBS1;PPARD;ANGPTL4;FADS2;ACSL4;PLTP
gsea,WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,0.666070580567763,2.172593642567416,0.0,0.0037962655994695587,0.05,6/14,13.14%,CPEB4;SERTAD2;ANGPTL4;MFGE8;CDKN1C;TNFAIP3
gsea,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,0.4902709821524507,2.1296689876165766,0.0,0.005498591015652751,0.075,12/44,15.25%,CLU;TIMP3;SELENOP;TGFB2;SERPINE1;COL1A1;FYN;VCL;ITPR1;FN1;VAV1;FERMT3
gsea,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,0.48171852080630545,2.1281719502533063,0.0,0.005348584731236464,0.076,15/37,25.67%,PPM1E;DLG2;TUBB4A;ERBB4;GRIN2D;GABRB3;ACHE;PRKAR2B;LRRC7;PLCB2;KCNJ6;CAMK2D;CAMK2A;TUBB1;CHRNE
gsea,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,0.8135149562245692,2.1237871176341305,0.0,0.005387293092424637,0.077,5/10,7.37%,NCOA3;TXNRD1;FADS1;ANGPTL4;HMGCS1
gsea,REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,0.5120862617246518,2.1139273118715476,0.0,0.00599410357810983,0.088,14/30,25.67%,PPM1E;DLG2;TUBB4A;ERBB4;GRIN2D;GABRB3;PRKAR2B;LRRC7;PLCB2;KCNJ6;CAMK2D;CAMK2A;TUBB1;CHRNE
gsea,PID_AVB3_INTEGRIN_PATHWAY,0.6594083468888403,2.108278145876145,0.0,0.005952764932743554,0.091,5/14,11.12%,COL1A1;VCL;MFGE8;FN1;COL4A4
gsea,KEGG_AXON_GUIDANCE,0.6244850302855085,2.100239584506468,0.0,0.006287148641928533,0.096,9/18,19.52%,ROBO1;EFNA5;FYN;SEMA6B;SEMA6C;NTNG1;ROBO2;NTN4;SEMA7A
gsea,REACTOME_AUTOPHAGY,0.6807784349646588,2.0906317447982854,0.0,0.006806207933853742,0.105,8/11,25.29%,SQSTM1;TUBB4A;EPAS1;PLIN2;RNASE1;PRKN;GFAP;TUBB1
gsea,WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,0.6342393420965704,2.0818220617022822,0.0,0.007093022567429964,0.108,4/15,10.51%,NEAT1;C3;MFGE8;BCL6
gsea,REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,0.6516305425387797,2.073960455056861,0.004889975550122249,0.007314017295309773,0.113,5/13,11.87%,SLC23A2;MTHFR;ALDH1L2;TCN2;PARP16
gsea,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.5508563526538951,2.0666873048816012,0.0017825311942959,0.007710062641647155,0.123,11/25,15.53%,TXNRD1;SQSTM1;TXNIP;GCLC;HMOX1;G6PD;AKT3;SESN2;NQO1;HBA1;SLC7A11
gsea,REACTOME_ECM_PROTEOGLYCANS,0.6227061688059538,2.0582725474842665,0.0,0.008129146185931808,0.132,7/16,15.20%,TGFB2;SERPINE1;COL1A1;LAMB1;FN1;COL4A4;HSPG2
gsea,WP_EGFEGFR_SIGNALING,0.5396858570198355,2.0564337979161462,0.003937007874015748,0.007947737336901182,0.133,5/23,14.41%,NCOA3;PLD1;GRB10;PTPRR;VAV1
gsea,WP_INTEGRINMEDIATED_CELL_ADHESION,0.6323341111434834,2.05588037211862,0.0,0.00790573661112864,0.137,6/15,16.33%,SELENOP;SORBS1;FYN;AKT3;VCL;ITGA5
gsea,WP_BREAST_CANCER_PATHWAY,0.695145436094119,2.0371790453016656,0.0,0.009506437955458396,0.165,2/11,6.43%,NCOA3;AKT3
gsea,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,-0.6110694949874993,-2.032949848384815,0.0021231422505307855,0.012702345866731742,0.113,2/12,2.86%,GFRA1;CACNA1C
gsea,WP_OMEGA6FATTY_ACIDS_IN_SENESCENCE,0.5911298054679425,2.0270131041111505,0.0,0.010000418961085802,0.177,3/17,6.24%,FADS1;SERPINE1;FADS2
gsea,REACTOME_SARS_COV_INFECTIONS,0.5576999864725591,2.024509492059509,0.003937007874015748,0.009910251249141586,0.18,12/21,24.07%,SERPINE1;RUNX1;ST6GAL1;AKT3;RAE1;ST3GAL2;SEC24D;PARP16;VAV1;HSPG2;TUSC3;BTK
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.4817323598672832,-2.021966597983436,0.004016064257028112,0.012314392446171463,0.126,14/31,21.45%,CENPF;CDC45;BUB1;CENPE;CDC25C;TOP2A;PSMD5;NUP214;CDC14A;CDK6;ABL1;CCND3;LYN;MAPK1
gsea,WP_IL18_SIGNALING,0.513112118721162,2.01225006318185,0.002631578947368421,0.011033049187675328,0.203,10/28,18.02%,TIMP3;HMOX1;PLD1;COL1A1;SEMA6C;RAE1;TGM2;FN1;TNFAIP3;GATA1
gsea,WP_ADIPOGENESIS,0.5816486604896165,2.0093023711729576,0.0025974025974025974,0.011303166747292821,0.209,7/20,13.23%,DDIT3;SERPINE1;PPARD;EPAS1;WWTR1;LIFR;PLIN2
gsea,REACTOME_LEISHMANIA_INFECTION,0.5436756012785682,2.004988296274859,0.002207505518763797,0.011523547964118122,0.219,8/20,14.41%,TXNIP;HMOX1;FYN;C3;ITPR1;ELMO1;PRKAR2B;VAV1
gsea,WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES,0.4516590129645657,1.9482429689715053,0.0028328611898017,0.018054966535276273,0.314,12/44,13.75%,INSIG1;NPC1;PICALM;G6PD;PPARD;SYP;HMGCS1;MYO1E;SESN2;SSC4D;PLTP;STON2
