Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,WP_NRF2_PATHWAY,0.6959626621683931,2.2991115901697023,0.0,0.00968470352095007,0.006,11/32,6.66%,ABCC3;SQSTM1;G6PD;TGFB2;SLC7A11;ME1;FTL;TXNRD1;FGF13;MAFG;HMOX1
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.5864845569287163,2.266551565320108,0.0,0.008070586267458392,0.01,32/58,25.99%,ABCC3;SQSTM1;G6PD;TGFB2;SLC7A11;SLC7A5;ME1;FTL;JUND;TXNRD1;NCOA3;ANGPTL4;FGF13;MAFG;HMOX1;TNS4;GCLM;SLC2A3;NRG1;MFGE8;TGFB1;CYP1B1;TNFAIP3;PPARD;TGFBR3;GSR;HSPA1A;GPX2;ABCC2;CPEB4;SLC5A3;GCLC
gsea,REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.6012142753359099,2.2123623976298403,0.0,0.011836859858938975,0.019,11/28,9.58%,SLC7A11;SLC7A5;CEACAM5;SPN;CD44;PECAM1;CD84;TNFRSF10B;CEACAM1;CEACAM6;FYN
gsea,WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,0.7417291232466751,2.1943553084783676,0.0,0.01049176214769591,0.023,7/13,8.41%,SQSTM1;TGFB2;ME1;GRB10;VEGFA;LDHC;LDHB
gsea,REACTOME_KEAP1_NFE2L2_PATHWAY,0.8045668678538085,2.1792519264357115,0.0,0.010330350422346743,0.028,11/21,6.66%,ABCC3;SQSTM1;G6PD;SLC7A11;ME1;SESN2;TXNRD1;AREG;ABCC1;MAFG;HMOX1
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.5888225655338795,2.1648280454779463,0.0,0.00941568397870146,0.029,31/64,19.78%,ABCC3;SQSTM1;G6PD;SLC7A11;ME1;SESN2;HSPA5;TXNRD1;SCMH1;TNIK;GRB10;AREG;VEGFA;ABCC1;MAFG;NPAS2;HMOX1;DDIT3;EPAS1;KHSRP;TLN1;ASNS;GFPT1;TXNIP;RPL3L;HMGA1;GCLM;CXCL8;EGLN3;CDK6;HYOU1
gsea,REACTOME_HEMOSTASIS,0.45255338122363853,2.1607637704005804,0.0,0.008070586267458393,0.029,47/97,29.01%,TIMP3;TGFB2;SLC7A11;SLC7A5;HBG2;HSPA5;ANXA2;TFPI;CLU;CEACAM5;VCL;VEGFA;CENPE;FGB;MAFG;SPN;CD44;SERPINE1;PECAM1;CD84;DOCK5;TNFRSF10B;CEACAM1;PTGIR;CEACAM6;DGKG;GTPBP2;FYN;TLN1;KIF21B;SDC3;DOCK2;TGFB1;ECM1;TIMP1;HBG1;GATA2;PLA2G4A;PLAUR;KIF2A;ITGA5;DOCK11;LYN;PRKCA;ABL1;ITGAM;ZFPM2
gsea,REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,0.7964720170059038,2.1169404447475078,0.0,0.01069352680438237,0.044,10/19,6.66%,ABCC3;SQSTM1;G6PD;SLC7A11;ME1;TXNRD1;AREG;ABCC1;MAFG;HMOX1
gsea,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.7392425133053909,2.1161124090031094,0.0,0.009505357159450995,0.044,11/25,6.66%,ABCC3;SQSTM1;G6PD;SLC7A11;ME1;SESN2;TXNRD1;AREG;ABCC1;MAFG;HMOX1
gsea,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,0.5328271737416256,2.008482278532448,0.0,0.021306347746090158,0.1,14/31,19.68%,TIMP3;TGFB2;HSPA5;CLU;VCL;VEGFA;FGB;SERPINE1;PECAM1;GTPBP2;TLN1;TGFB1;ECM1;TIMP1
gsea,REACTOME_NEUTROPHIL_DEGRANULATION,0.43393219347077233,1.863362582575283,0.0,0.07454286952488842,0.313,25/50,26.24%,FTL;ANXA2;VCL;PRSS2;CD44;LRG1;PECAM1;ALOX5;CEACAM1;CEACAM6;UNC13D;CTSS;S100A9;CRISPLD2;C3;SLPI;DOCK2;SLC2A3;CTSC;TMC6;PLAUR;MME;HSPA1A;CPPED1;PLD1
gsea,PID_ATF2_PATHWAY,0.6706614469719111,1.838255663597902,0.0053475935828877,0.08487566557943743,0.366,5/11,7.94%,TGFB2;HBG2;JUND;DDIT3;ACHE
gsea,PID_PDGFRB_PATHWAY,0.6426920540456525,1.8283659817095554,0.0045871559633027525,0.08579654016636537,0.386,10/13,28.24%,JUND;GRB10;FYN;STAT5A;STAT5B;PLA2G4A;USP6NL;LYN;PRKCA;ABL1
gsea,WP_PANCREATIC_CANCER_SUBTYPES,0.6822310472396843,1.8250014927300464,0.0030581039755351682,0.08208939174900537,0.393,5/10,8.46%,KRT17;AREG;TFF1;TNS4;CEACAM6
gsea,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,0.7746540608071469,1.8240959641420977,0.002347417840375587,0.0768319812662039,0.394,6/10,11.12%,ME1;TXNRD1;NCOA3;ANGPTL4;NPAS2;GPS2
gsea,REACTOME_KERATINIZATION,0.6197534517568473,1.8219158064812815,0.002976190476190476,0.06874240538399855,0.398,6/10,24.30%,KRT17;KRT81;KRT4;KRT16;KRT7;KRT10
gsea,REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,0.6197534517568473,1.8219158064812815,0.002976190476190476,0.06874240538399855,0.398,6/10,24.30%,KRT17;KRT81;KRT4;KRT16;KRT7;KRT10
gsea,WP_ENDODERM_DIFFERENTIATION,-0.514044127770616,-1.804491257628293,0.00392156862745098,0.22602013114480224,0.202,4/12,16.09%,BMP7;TET1;SLC2A12;TCF4
gsea,WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING,0.6367675247507163,1.7970309668456825,0.00904977375565611,0.07837435997509594,0.46,6/10,22.55%,TEC;FYN;STAT5A;CXCL8;STAT5B;GAB2
gsea,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,-0.653361458625552,-1.7830009109592335,0.006389776357827476,0.1421292235726517,0.24,6/14,9.33%,ERBB4;DLG2;PRKAR2B;PRKAA1;PPM1F;TUBB2A
gsea,REACTOME_INNATE_IMMUNE_SYSTEM,0.3538416217101429,1.7805207518408026,0.0,0.08614288921266115,0.498,42/95,28.86%,FTL;ANXA2;CLU;VCL;FGB;PRSS2;CD44;LRG1;TEC;PECAM1;HMOX1;ALOX5;CEACAM1;CEACAM6;MUC5AC;FYN;UNC13D;MUC5B;CTSS;S100A9;CARD11;CRISPLD2;TXNIP;C3;ELMO1;MYO10;SLPI;DOCK2;SLC2A3;CTSC;TNFAIP3;GAB2;TMC6;PLAUR;MME;HSPA1A;CPPED1;PLD1;LYN;ABL1;PSMD5;ITGAM
gsea,REACTOME_METABOLISM_OF_LIPIDS,0.4021411307845141,1.7795931597970298,0.0,0.08223927406540103,0.501,35/72,28.09%,ABCC3;ME1;TNFAIP8;TXNRD1;NCOA3;ANGPTL4;ABCC1;AKR1C2;NPAS2;ALOX5;ACHE;GPCPD1;PTGES;ABHD5;GPS2;CYP24A1;ACSM3;MVD;B4GALT5;SLC44A5;HSD17B13;CYP1B1;PON2;SEC24D;HSD17B11;PPARD;AKR1C1;ACSBG1;PLA2G4A;MBOAT2;GPX2;PLD1;HMGCS1;STARD4;CYP4F11
gsea,KEGG_CHRONIC_MYELOID_LEUKEMIA,0.6852276677833963,1.7748284695967704,0.004319654427645789,0.08093645085365415,0.511,8/13,23.17%,TGFB2;CRKL;STAT5A;CDK6;TGFB1;STAT5B;GAB2;RUNX1
gsea,WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,0.6811502390974177,1.7711064931949079,0.004962779156327543,0.07960532818356686,0.517,7/12,21.58%,SQSTM1;HSPA5;JUND;TNFRSF10B;VIM;NRG1;PTK2B
gsea,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,0.5911310951256009,1.7667203170435684,0.007853403141361256,0.07881102937700674,0.527,8/15,22.04%,TGFB2;PMEPA1;SERPINE1;INHBA;WWTR1;TGFB1;TIMP1;TGFBR3
gsea,WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES,0.5886741658598398,1.7512903495358603,0.02654867256637168,0.08102868612528226,0.566,5/11,13.99%,TFPI;CLU;FGB;SERPINE1;C3
gsea,WP_COMPLEMENT_AND_COAGULATION_CASCADES,0.5886741658598398,1.7512903495358603,0.02654867256637168,0.08102868612528226,0.566,5/11,13.99%,TFPI;CLU;FGB;SERPINE1;C3
gsea,WP_FERROPTOSIS,0.608525045804832,1.7362522950111188,0.009584664536741214,0.0865415173602846,0.602,5/15,6.66%,SLC7A11;FTL;TXNRD1;AKR1C2;HMOX1
gsea,KEGG_ENDOCYTOSIS,-0.6379078335809718,-1.7323639310482681,0.0014577259475218659,0.17448384357293015,0.387,7/14,16.61%,ERBB4;TFRC;EGFR;CLTCL1;FLT1;EGF;HSPA1L
gsea,WP_MAPK_SIGNALING,0.43418702270585074,1.7245080463915925,0.002638522427440633,0.09021121983403492,0.63,12/31,27.73%,TGFB2;MKNK2;JUND;FGF13;RAPGEF2;DDIT3;CACNA2D1;CRKL;TGFB1;PLA2G4A;HSPA1A;PRKCA
gsea,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,0.4040629486594168,1.7133026750661022,0.0,0.09390703592635516,0.646,19/45,27.73%,TIMP3;TGFB2;HSPA5;CLU;VCL;VEGFA;FGB;SERPINE1;PECAM1;DGKG;GTPBP2;FYN;TLN1;TGFB1;ECM1;TIMP1;PLA2G4A;LYN;PRKCA
gsea,KEGG_MAPK_SIGNALING_PATHWAY,0.4149014715134735,1.6961602846156638,0.0079155672823219,0.10280257128272863,0.698,12/33,27.73%,TGFB2;MKNK2;JUND;FGF13;RAPGEF2;DDIT3;CACNA2D1;CRKL;TGFB1;PLA2G4A;HSPA1A;PRKCA
gsea,PID_P53_DOWNSTREAM_PATHWAY,0.6092371693204914,1.6865038241180443,0.00816326530612245,0.10642413091355135,0.714,7/15,19.73%,GDF15;TP63;DDIT4;SERPINE1;TNFRSF10B;NDRG1;VCAN
gsea,KEGG_PPAR_SIGNALING_PATHWAY,0.5615172021270771,1.684482430902132,0.009036144578313253,0.10476141658145993,0.719,2/10,3.08%,ME1;ANGPTL4
gsea,WP_VITAMIN_D_RECEPTOR_PATHWAY,0.4348636449148223,1.6650243544310364,0.010714285714285714,0.11435011917705108,0.752,12/30,21.73%,TIMP3;G6PD;TGFB2;S100A6;ALOX5;CEACAM1;S100A9;KRT16;CYP24A1;TGFB1;TNFAIP3;PPARD
gsea,WP_GASTRIN_SIGNALING,0.5316333350167833,1.6498493003233283,0.02416918429003021,0.12242834804514155,0.784,6/15,17.38%,ANXA2;VEGFA;CD44;SERPINE1;FYN;CXCL8
gsea,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.48500791318084974,1.6359764160862325,0.012345679012345678,0.12884453605812987,0.8,8/20,17.63%,SLC7A5;KYNU;TXNRD1;ASNS;CKB;RPL3L;BCAT1;CPS1
gsea,WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER,0.5311403418729501,1.6318541095103902,0.024305555555555556,0.12862208628537974,0.806,7/16,26.81%,GDF15;TGFB2;TGFB1;TUSC3;COL4A5;ITGA5;CDH2
gsea,WP_PPAR_SIGNALING,0.5308357861131592,1.6055599270417527,0.009615384615384616,0.14746754574261475,0.848,4/11,23.01%,ME1;ANGPTL4;PPARD;ACSBG1
gsea,WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,0.45706407984424435,1.5985988048758246,0.06390977443609022,0.15063640206234505,0.857,5/13,18.86%,NEAT1;IFIT2;C3;STAT5A;MFGE8
gsea,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.3734376122242071,1.5971825854174002,0.014218009478672985,0.14790411254363223,0.859,24/53,28.86%,NTN4;TGFB2;LOXL2;FGB;CAST;PRSS2;CD44;SERPINE1;PECAM1;COL5A2;CEACAM1;CEACAM6;CTSS;SDC3;TGFB1;TIMP1;VCAN;DMD;COL4A5;LAMB1;ITGA5;COL26A1;PRKCA;ITGAM
gsea,REACTOME_SIGNALING_BY_WNT,-0.5632331465891303,-1.5907864232357383,0.00909090909090909,0.247374180344986,0.855,11/18,28.65%,LGR4;ITPR1;ROR2;ROR1;TCF4;RSPO4;RSPO3;PRKCB;SOX6;LEF1;CXXC4
gsea,WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,0.45906243321898393,1.589467868026634,0.02064896755162242,0.15081649414676093,0.867,9/17,27.06%,ANXA2;S100A6;AKR1C2;PTGIR;PTGES;ANXA4;AKR1C1;PLA2G4A;ANXA1
gsea,WP_WNT_SIGNALING_WP428,-0.5547084432997355,-1.5876807304182379,0.01437699680511182,0.23181875135264432,0.864,7/11,28.65%,ROR2;ROR1;PRKCB;CAMK2D;CCND3;LEF1;CXXC4
gsea,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.4857822860773734,1.5596569599164094,0.044585987261146494,0.17549489838588275,0.898,5/12,23.42%,TFPI;FGB;SERPINE1;C3;PLAUR
gsea,WP_SELENIUM_MICRONUTRIENT_NETWORK,0.46792762121392417,1.5581579593568977,0.026755852842809364,0.17302549583160798,0.902,7/16,24.86%,KYNU;TXNRD1;FGB;SERPINE1;ALOX5;GSR;GPX2
gsea,WP_BURN_WOUND_HEALING,0.4495811835934813,1.5574109093394473,0.032520325203252036,0.1695976057061614,0.904,12/20,24.76%,TGFB2;S100A6;VEGFA;PECAM1;ACHE;S100A9;INHBA;VIM;CXCL8;TIMP1;TNFAIP3;XIST
gsea,REACTOME_CELLULAR_SENESCENCE,0.6117128804116059,1.5571881115755986,0.05924170616113744,0.16591623861472604,0.904,6/10,23.27%,SCMH1;TNIK;HMGA1;CXCL8;CDK6;ANAPC2
gsea,WP_ONCOSTATIN_M_SIGNALING,0.6241466195088049,1.5540421374175168,0.0449438202247191,0.16585054779626995,0.908,4/12,4.15%,TIMP3;JUND;VEGFA;SERPINE1
gsea,PID_GLYPICAN_1PATHWAY,0.597489013871682,1.5396236535307175,0.031746031746031744,0.1769431202549878,0.918,5/10,19.27%,TGFB2;VEGFA;FYN;NRG1;TGFB1
gsea,WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,0.5445267203408697,1.538381691992616,0.04,0.17425448436607993,0.918,6/11,21.53%,TGFB2;CLU;C3;MFGE8;TGFB1;CSMD1
gsea,PID_RB_1PATHWAY,0.5539405878349003,1.529470102186196,0.07434944237918216,0.17851449965212224,0.925,4/10,19.89%,TGFB2;SPI1;CDK6;UBTF
gsea,WP_ENDOCHONDRAL_OSSIFICATION,0.47285147478668743,1.5279149462537844,0.0641025641025641,0.172842310797364,0.928,6/17,27.11%,TIMP3;TGFB2;VEGFA;TGFB1;STAT5B;HMGCS1
gsea,WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,0.47285147478668743,1.5279149462537844,0.0641025641025641,0.172842310797364,0.928,6/17,27.11%,TIMP3;TGFB2;VEGFA;TGFB1;STAT5B;HMGCS1
gsea,WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA,0.6222812629908566,1.520268822793853,0.0436046511627907,0.1765521451869198,0.936,4/11,2.87%,SESN2;TP63;VEGFA;DDIT4
gsea,REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,0.5240028283147372,1.5092169109315092,0.044673539518900345,0.18353462652937733,0.941,6/11,26.24%,ACHE;GPCPD1;SLC44A5;PLA2G4A;MBOAT2;PLD1
gsea,REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,0.5684071465301364,1.5071885377555698,0.05249343832020997,0.18192963889836014,0.944,8/11,19.78%,HSPA5;DDIT3;KHSRP;TLN1;ASNS;GFPT1;CXCL8;HYOU1
gsea,REACTOME_DRUG_ADME,0.42584550566139845,1.4970812056457838,0.08447488584474885,0.1888517186585264,0.947,4/13,24.91%,ABCC3;ABCC1;AKR1C1;ABCC2
gsea,REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES,0.45364778590059224,1.4947396959551986,0.09125475285171103,0.18825389745352947,0.948,4/12,29.52%,SLC7A11;SLC7A5;SLC38A5;SLC6A6
gsea,WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,0.36362221115305093,1.4854251400942498,0.05822784810126582,0.1943397173203981,0.954,9/25,19.27%,GDF15;TGFB2;INHBE;TNFRSF10B;ACVR1;INHBA;CXCL8;CLCF1;TGFB1
gsea,WP_EGFEGFR_SIGNALING,0.4559906617670418,1.4738039370682143,0.06944444444444445,0.20303289167134617,0.963,13/21,28.24%,JUND;NCOA3;GRB10;SPRY2;CRKL;STAT5A;PTK2B;STAT5B;GAB2;PLD1;USP6NL;PRKCA;ABL1
gsea,WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS,0.4664198771298325,1.4674873458138948,0.04075235109717868,0.2062955121348575,0.966,11/17,26.81%,VCL;MYO1E;FYN;TLN1;MKI67;VIM;TGFB1;COL4A5;PLAUR;MME;CDH2
gsea,WP_PRIMARY_OVARIAN_INSUFFICIENCY,0.40701280582076915,1.4648154526416102,0.0790273556231003,0.20524335766381255,0.968,8/17,28.04%,TP63;SERPINE1;MEIOB;SYCP2L;TGFBR3;CPEB1;EIF2B3;CNTNAP2
gsea,PID_INTEGRIN3_PATHWAY,0.45765991086903235,1.4523095265186934,0.06521739130434782,0.21596341693327648,0.97,7/14,25.27%,VEGFA;FGB;TGFBI;PECAM1;COL4A5;PLAUR;LAMB1
gsea,REACTOME_INFECTIOUS_DISEASE,0.3428719279876825,1.443762053803539,0.020905923344947737,0.221510691087508,0.971,28/59,28.70%,MAP1B;TXNRD1;VEGFA;SERPINE1;ATP1A2;HMOX1;ST6GALNAC3;FYN;GPS2;CHD4;TXNIP;C3;RPL3L;HMGA1;ELMO1;SDC3;MYO10;DOCK2;SYT2;TGFB1;TUSC3;SEC24D;RUNX1;HSPA1A;LYN;ABL1;PSMD5;ADCY7
gsea,REACTOME_VIRAL_INFECTION_PATHWAYS,0.3840393961756917,1.4419193038143465,0.026217228464419477,0.21981101679926843,0.971,18/39,24.55%,MAP1B;VEGFA;SERPINE1;ATP1A2;ST6GALNAC3;FYN;GPS2;CHD4;RPL3L;HMGA1;ELMO1;SDC3;DOCK2;TGFB1;TUSC3;SEC24D;RUNX1;HSPA1A
gsea,REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT,0.49610407934079215,1.4337509482710216,0.11845102505694761,0.22576814229483608,0.975,3/10,16.09%,SYTL2;CEACAM1;GMPR
gsea,REACTOME_ARACHIDONIC_ACID_METABOLISM,0.4201464888118603,1.431280108290208,0.09660574412532637,0.22505406277255402,0.975,8/15,28.09%,ABCC1;ALOX5;PTGES;CYP1B1;PON2;PLA2G4A;GPX2;CYP4F11
gsea,KEGG_AXON_GUIDANCE,0.4709591074899542,1.4115464147788155,0.05116279069767442,0.24446310215773187,0.977,10/18,28.24%,NTN4;NTNG1;UNC5D;FYN;SEMA7A;EPHB6;SEMA6C;SEMA6B;EPHA4;ABL1
gsea,KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.4065327641899188,1.404421076581295,0.08163265306122448,0.24936869937789902,0.979,9/16,30.04%,ELMO1;CRKL;CXCL8;DOCK2;PTK2B;STAT5B;LYN;ADCY7;CCL5
