Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,PID_HIF1_TFPATHWAY,0.6765175210382997,2.1884123508868907,0.0,0.01385614799085854,0.019,4/13,10.18%,NDRG1;EGLN1;ABCB1;ETS1
gsea,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.5757368228819483,2.119888089073568,0.0,0.020154397077612424,0.055,10/20,13.48%,FN1;HSPG2;COL25A1;CD44;COL15A1;DCN;COL26A1;FBN2;COL6A3;COL5A2
gsea,WP_INSULIN_SIGNALING,-0.740085593718625,-2.043427553928938,0.0,0.20916490132679227,0.119,6/13,5.33%,SOCS1;MAP3K5;MAPK12;PRKAA1;PRKCA;PRKCQ
gsea,KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY,-0.6735285023032287,-1.9631986441549985,0.0,0.20721616001008306,0.215,7/11,24.72%,NTRK3;ERBB4;FGFR1;NTRK1;EGF;FLT1;PDGFRB
gsea,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,-0.6367904983201976,-1.8743416873152303,0.002036659877800407,0.24846451788042873,0.407,4/10,8.48%,ALDH3B1;AKR1C3;CYP1B1;CYP3A5
gsea,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,-0.4594056817478944,-1.868277338002819,0.005555555555555556,0.21280255178464955,0.427,13/31,18.23%,AREG;NTRK3;PSMA1;CAMK2D;PRKCA;ERBB4;FGFR1;BDNF;SCMH1;NRG4;FYN;EGF;CHD4
gsea,REACTOME_GASTRULATION,-0.6215127608623987,-1.8417507881241135,0.0018484288354898336,0.2290853681198201,0.5,4/11,8.10%,PSMA1;FGFR1;EPHA4;ZEB2
gsea,REACTOME_NEURONAL_SYSTEM,-0.42187563761360913,-1.8401147548406025,0.0016025641025641025,0.19802923665988234,0.503,31/49,46.10%,KCNQ5;KCNH2;GRIN2D;APBA2;NTRK3;CAMK2D;PRKAA1;PRKCA;ERBB4;GRIK1;KCNMB2;GABRA3;KCNAB1;LRRC7;PTPRD;EPB41;NCALD;NLGN4Y;SYT2;TSPOAP1;TUBB4A;GLRA3;DLG2;SLC18A2;IL1RAPL1;GAD1;ADCY7;PRKAR2B;KCNN2;NRXN3;PPM1E
gsea,WP_THERMOGENESIS,-0.6612596486962947,-1.837947851341788,0.0052173913043478265,0.17636108916218665,0.509,5/11,8.19%,MAP3K5;MAPK12;PRKAA1;FGFR1;ACSL5
gsea,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,-0.6633529231273992,-1.8321330674894334,0.011342155009451797,0.1662925923591889,0.524,3/10,4.41%,PSMA1;ROBO1;PRKCA
