Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_METABOLISM_OF_STEROIDS,0.600146749314908,2.2674116781327065,0.0,0.02474650009887689,0.018,9/22,13.21%,HMGCS1;MVD;INSIG1;ELOVL6;STARD4;SEC24D;CYP11A1;FDPS;ABCC3
gsea,WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES,0.5098168507947938,2.1685196404749107,0.0,0.03256118434062749,0.043,15/44,23.68%,HMGCS1;MVD;MYO1E;NPC1;INSIG1;SESN2;SNX9;LIPC;FDPS;PICALM;ABL1;CUBN;APOL1;FNBP1;ENTHD1
gsea,WP_CHOLESTEROL_METABOLISM,0.6730529367523849,2.1190069976598247,0.0,0.04124416683146149,0.074,4/13,3.29%,HMGCS1;MVD;NPC1;LIPC
gsea,WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,0.611739992616891,2.0898116790589554,0.0,0.039724644895565535,0.094,6/14,16.55%,NEAT1;C3;IFIT2;GPR183;CCR7;PTPRC
gsea,WP_NRF2_PATHWAY,0.5230313153520421,2.0795266656671254,0.0,0.03751048436040287,0.106,10/32,13.21%,TGFB2;FTL;SLC7A11;SQSTM1;FGF13;NRG1;ME1;TXNRD1;MAFG;ABCC3
gsea,REACTOME_CELL_CYCLE,-0.5187840033769552,-2.0684682468864297,0.0,0.03426561576896127,0.036,13/34,23.93%,BRIP1;CDC45;CENPF;AKT3;CENPE;BUB1;LYN;TOP2A;TEX15;PSMA1;PSMD5;KIF2A;PRKCA
gsea,WP_PLEURAL_MESOTHELIOMA,0.4277249072930097,2.0504859876088624,0.0,0.0425466142050866,0.146,23/52,30.16%,CD44;AREG;VEGFA;SLC7A5;DDIT3;FGF13;LIN28B;FN1;ANGPT2;WWTR1;CXCL5;SPARC;ANGPT1;CCND3;NDRG1;MDM2;BCL2;FGF14;MOB1B;ROR2;CCND2;LEF1;CDH2
gsea,REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS,0.7223362924674993,2.0456444778873952,0.002277904328018223,0.03288679618403376,0.15,5/10,6.23%,VCL;ZC3HAV1;FN1;CAMK2D;CAMK2A
gsea,REACTOME_ONCOGENIC_MAPK_SIGNALING,0.7223362924674993,2.0456444778873952,0.002277904328018223,0.03288679618403376,0.15,5/10,6.23%,VCL;ZC3HAV1;FN1;CAMK2D;CAMK2A
gsea,PID_AVB3_INTEGRIN_PATHWAY,0.6056595347596841,2.014662888309746,0.0,0.04124416683146149,0.198,5/15,6.98%,VCL;VEGFA;COL6A3;FN1;COL15A1
gsea,WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES,0.6424921853040952,1.963572493879097,0.0,0.05600523706587929,0.28,4/11,12.66%,HMGCS1;MVD;CYP11A1;FDPS
gsea,WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,0.5472978371956557,1.9216258529111043,0.004282655246252677,0.06544798052466126,0.351,6/17,12.36%,TIMP3;HMGCS1;TGFB2;VEGFA;SCIN;SOX5
gsea,WP_ENDOCHONDRAL_OSSIFICATION,0.5472978371956557,1.9216258529111043,0.004282655246252677,0.06544798052466126,0.351,6/17,12.36%,TIMP3;HMGCS1;TGFB2;VEGFA;SCIN;SOX5
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.6445730404060338,-1.9109263532675895,0.002066115702479339,0.1235155917253255,0.193,5/12,6.78%,DIAPH3;CENPF;FMNL3;CENPE;BUB1
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.4795119744372004,-1.8412273313499996,0.0053285968028419185,0.1816874510540272,0.362,14/25,33.85%,DIAPH3;CENPF;FMNL3;KIF14;CENPE;BUB1;S100A9;NCKAP1L;KIF2A;RAC2;PRKCA;PPP1R14A;TUBB4A;KIF5A
gsea,REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,-0.5856628173149545,-1.8230032538693082,0.004140786749482402,0.1621640188135725,0.408,6/11,17.10%,CDC45;AKT3;LYN;TOP2A;PSMA1;PSMD5
gsea,PID_P53_DOWNSTREAM_PATHWAY,0.5717243319110236,1.806143849678497,0.010526315789473684,0.1499818244859057,0.621,7/15,19.49%,TNFRSF10B;GDF15;NDRG1;DDIT4;MDM2;BCL2;BNIP3L
gsea,WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,0.5651457526102724,1.8055590339711989,0.0189873417721519,0.13973399679892143,0.624,5/13,11.62%,TGFB2;VEGFA;SQSTM1;ME1;ALDOC
gsea,REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.4456752919555864,1.798318522985271,0.002824858757062147,0.1367569742306355,0.641,15/28,25.67%,CD44;CEACAM5;SLC7A5;TNFRSF10B;SLC7A11;CEACAM6;FN1;ANGPT2;ANGPT1;PECAM1;CEACAM1;SPN;ITGA5;GP6;SLC7A7
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.44800311974762336,-1.7961609309074322,0.00980392156862745,0.1732405783295856,0.499,11/30,23.93%,CDC45;CENPF;AKT3;CENPE;BUB1;LYN;TOP2A;PSMA1;PSMD5;KIF2A;PRKCA
gsea,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,-0.6313515986920301,-1.7882767080493003,0.013605442176870748,0.15671870778052052,0.522,5/11,11.12%,GFRA1;CACNA1C;FYN;SPTB;FGFR1
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.6003035894261317,-1.7747511241749394,0.006160164271047228,0.15516290462821997,0.571,8/15,21.29%,BRIP1;CDC45;CENPF;CENPE;BUB1;PSMA1;PSMD5;KIF2A
gsea,PID_INTEGRIN1_PATHWAY,0.5254733354244975,1.7599752064129925,0.013333333333333334,0.16777150231508314,0.719,7/16,24.13%,TGFBI;VEGFA;COL6A3;FN1;COL5A2;ITGA5;FGA
gsea,WP_BREAST_CANCER_PATHWAY,-0.5953702500231886,-1.7433172949347044,0.015817223198594025,0.1795956547425499,0.663,4/11,11.12%,AKT3;EGF;WNT5B;FGFR1
gsea,REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,0.5281060474735385,1.7301746612874567,0.019646365422396856,0.19100007661455143,0.771,9/19,17.70%,AREG;SLC7A11;SQSTM1;BACH1;ME1;TXNRD1;MAFG;ABCC3;BCL2
gsea,REACTOME_METABOLISM_OF_LIPIDS,0.35550940686813726,1.7278638068053636,0.0037735849056603774,0.1824149904949376,0.773,37/73,34.75%,HMGCS1;MVD;INSIG1;CYP1B1;ELOVL6;STARD4;HPGD;MFSD2B;TNFAIP8;OLAH;ME1;SEC24D;TXNRD1;CYP11A1;FDPS;ABCC3;AGPAT4;NCOA3;CUBN;MED15;ABHD5;ANGPTL4;AKR1B1;CYP24A1;GPCPD1;PLD1;CYP4F2;ACHE;HSD17B13;GPAT3;ALDH3B1;ABCC1;PPARD;HSD17B11;NPAS2;FADS1;CGA
gsea,REACTOME_KEAP1_NFE2L2_PATHWAY,0.5031605825557502,1.7197614860672985,0.022222222222222223,0.1828910312016719,0.788,10/21,17.70%,AREG;SESN2;SLC7A11;SQSTM1;BACH1;ME1;TXNRD1;MAFG;ABCC3;BCL2
gsea,REACTOME_HEMOSTASIS,0.3294483691492007,1.7160762744795508,0.0,0.17752357702510108,0.795,46/98,31.66%,TIMP3;VCL;TGFB2;CD44;VEGFA;P2RX7;CEACAM5;SLC7A5;CLU;TNFRSF10B;SLC7A11;CEACAM6;ANXA2;FN1;ANGPT2;F2RL3;SPARC;ANGPT1;DGKI;MAFG;HBG2;DOCK5;PECAM1;KIF13B;PDE10A;CEACAM1;ITPR1;ABL1;DOCK2;HBE1;DOCK11;SPN;SELENOP;ITGA5;FGA;GP6;KCNMB2;SLC7A7;ABCC4;TLN1;DOCK10;GTPBP2;TUBB2A;KIF21B;ITGA2B;VAV1
gsea,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,0.42603977307385504,1.7099684773760422,0.011428571428571429,0.17576837413588248,0.803,14/31,31.21%,TIMP3;VCL;TGFB2;VEGFA;CLU;FN1;SPARC;PECAM1;SELENOP;FGA;ABCC4;TLN1;GTPBP2;ITGA2B
gsea,PID_TXA2PATHWAY,-0.6083200335018294,-1.7088204621085434,0.014354066985645933,0.21922910760710104,0.764,5/12,11.52%,GNA14;FYN;EGF;LYN;PRKCQ
