Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.7879608963861283,-2.416430315635843,0.0,0.0,0.0,6/15,4.07%,BRIP1;BUB1;CENPF;CDC25C;CENPE;CDC45
gsea,REACTOME_CELL_CYCLE,-0.5662488789080168,-2.4030512035287863,0.0,0.0,0.0,13/34,15.00%,BRIP1;BUB1;CENPF;PRKCA;PRKAR2B;CDC25C;CENPE;CDC45;TOP2A;RAE1;TUBB2A;CDK6;KIF2A
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.5607558001088299,-2.337087123694666,0.0,0.0,0.0,12/30,15.00%,BUB1;CENPF;PRKCA;PRKAR2B;CDC25C;CENPE;CDC45;TOP2A;RAE1;TUBB2A;CDK6;KIF2A
gsea,REACTOME_M_PHASE,-0.6094619276943023,-2.1908005352881683,0.0,0.003178441153762581,0.009,8/19,15.00%,BUB1;CENPF;PRKCA;PRKAR2B;CENPE;RAE1;TUBB2A;KIF2A
gsea,REACTOME_MITOTIC_PROMETAPHASE,-0.7333685342695442,-2.127883104884667,0.0020491803278688526,0.006356882307525162,0.02,6/10,15.00%,BUB1;CENPF;PRKAR2B;CENPE;TUBB2A;KIF2A
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.690023208951865,-2.1267763354751223,0.0021691973969631237,0.0055092979998551395,0.021,6/12,15.00%,DIAPH3;BUB1;CENPF;CENPE;TUBB2A;KIF2A
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.5212059090076886,-1.98642942886115,0.0,0.03160278632883937,0.134,10/26,19.85%,DIAPH3;BUB1;CENPF;PRKCA;CDC25C;CENPE;MYLK;TUBB2A;KIF2A;RAC2
gsea,REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,-0.6387694498639702,-1.949169896421911,0.004073319755600814,0.043226799691171096,0.191,5/12,15.00%,BUB1;CENPF;CENPE;TUBB2A;KIF2A
gsea,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,-0.6095394012232332,-1.9305480217218263,0.004081632653061225,0.047040929075686196,0.227,5/13,15.00%,BUB1;CENPF;CENPE;TUBB2A;KIF2A
gsea,PID_ERBB1_DOWNSTREAM_PATHWAY,-0.6287695402328215,-1.9079472641565054,0.006024096385542169,0.05543201372161942,0.271,4/11,7.21%,DIAPH3;PRKCA;PLD1;EGFR
gsea,WP_NETRINUNC5B_SIGNALING,-0.6814120071842349,-1.7862080908295943,0.003875968992248062,0.16551009935229147,0.579,3/10,5.39%,PRKCA;RLF;NTN4
gsea,WP_CELL_CYCLE,-0.5362529100704023,-1.7777094232644295,0.006726457399103139,0.1528585699486435,0.6,5/13,13.87%,BUB1;CDC25C;CDC45;TGFB1;CDK6
gsea,KEGG_CELL_CYCLE,-0.5362529100704023,-1.7777094232644295,0.006726457399103139,0.1528585699486435,0.6,5/13,13.87%,BUB1;CDC25C;CDC45;TGFB1;CDK6
gsea,WP_OREXIN_RECEPTOR_PATHWAY,-0.5169745484009927,-1.765212315610804,0.0016286644951140066,0.15737824341344434,0.63,5/22,5.54%,BMP7;RUNX1;PRKCA;PLCD1;PLD1
