Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.6077473478572549,2.694845846099944,0.0,0.0,0.0,37/64,22.32%,HSPA5;ABCC3;SLC7A11;GFPT1;SESN2;ASNS;SQSTM1;TXNRD1;NPAS2;VEGFA;DDIT3;MDM2;TNIK;HYOU1;ME1;FKBP14;TXNIP;CAMK2D;HMOX1;ABCC1;SCMH1;GCLC;ATF2;GCLM;TPP1;HIRA;NQO1;MAPK1;PSMD5;G6PD;TUBB4A;GSR;RPL3L;TUBB2A;EGLN1;GRB10;EGLN3
gsea,WP_NRF2_PATHWAY,0.6189544942090823,2.508185921490342,0.0,0.0,0.0,16/33,19.13%,ABCC3;SLC7A11;FTL;SQSTM1;TXNRD1;ME1;HMOX1;PTGR1;GCLC;GCLM;PPARD;SLC6A20;NQO1;ABCC4;G6PD;GSR
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.5076240817021763,2.3443210571163973,0.0,0.0015392693505578055,0.003,30/59,32.54%,NCOA3;ABCC3;SLC7A11;FTL;SLC7A5;SQSTM1;TXNRD1;JUND;ME1;HMOX1;PTGR1;GCLC;GCLM;PPARD;SLC6A20;NQO1;ABCC4;G6PD;GSR;FGF13;SERTAD2;SMARCA1;SLC6A8;SRGN;PTGS2;TNFAIP3;MFGE8;NRG1;SLCO2B1;SLC6A6
gsea,WP_CIRCADIAN_RHYTHM_GENES,0.7107982377855923,2.2856868076969588,0.0,0.004232990714033965,0.011,4/12,2.29%,GFPT1;NPAS2;JUND;NAMPT
gsea,REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,0.7904188720557589,2.257986061902076,0.0,0.004617808051673416,0.015,7/11,7.57%,HSPA5;GFPT1;ASNS;DDIT3;HYOU1;FKBP14;TPP1
gsea,REACTOME_METABOLISM_OF_RNA,-0.711601396563835,-2.2304840165847404,0.0,0.0019775154223472882,0.003,5/16,9.12%,MT-RNR1;MT-RNR2;KHSRP;HSPA1A;PSMA1
gsea,WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,0.6586194905950303,2.1774991482335206,0.0,0.009235616103346833,0.032,1/13,0.05%,NEAT1
gsea,WP_FERROPTOSIS,0.6883428603131511,2.1749672005419103,0.0,0.008136137995805544,0.033,7/15,6.63%,SLC7A11;FTL;TXNRD1;HMOX1;GCLC;AKR1C2;GCLM
gsea,WP_EGFEGFR_SIGNALING,0.576834580097103,2.143680151713932,0.0,0.010967294122724364,0.052,15/22,27.25%,NCOA3;PLD1;JUND;USP6NL;GAB2;SPRY2;PTPRR;MAPK1;VAV1;GRB10;ABL1;PTK2B;RICTOR;PRKCA;STAT5B
gsea,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.6105077304131582,2.120873826918892,0.0,0.011287975237423906,0.06,15/25,19.13%,ABCC3;SLC7A11;SESN2;SQSTM1;TXNRD1;ME1;TXNIP;HMOX1;ABCC1;GCLC;GCLM;NQO1;PSMD5;G6PD;GSR
gsea,REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.5598551128062673,2.12047739530796,0.0,0.010159177713681515,0.06,10/27,18.88%,SLC7A11;SLC7A5;TNFRSF10B;CD44;FYN;PECAM1;ITGAM;CEACAM5;ITGA5;CEACAM1
gsea,WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,0.7549430106546922,2.0998182177310656,0.0,0.011754420495168696,0.07,8/12,14.55%,HSPA5;SQSTM1;TNFRSF10B;JUND;GCLC;APOE;NQO1;MAPK1
gsea,REACTOME_PHOSPHOLIPID_METABOLISM,0.656510135925938,2.061089530240962,0.0,0.018086414869054216,0.107,10/15,20.08%,PLD1;GPCPD1;PI4KA;PLA2G4A;MBOAT2;GDPD5;AGPAT4;LPGAT1;PLEKHA2;SLC44A5
gsea,REACTOME_METABOLISM_OF_LIPIDS,0.4173646937863135,2.020128242648727,0.0,0.027114821636749033,0.174,34/73,30.39%,NCOA3;ABCC3;PLD1;TXNRD1;NPAS2;GPCPD1;PI4KA;ME1;SEC24D;HPGD;ABCC1;PTGR1;PLA2G4A;AGMO;AKR1C2;MED15;PPARD;MBOAT2;B4GALT5;GDPD5;PLIN2;AGPAT4;LPGAT1;PLEKHA2;ALDH3B1;AKR1B1;SLC44A5;MFSD2B;FADS2;FADS1;GPAT3;ACSL5;PTGS2;ACHE
gsea,REACTOME_KEAP1_NFE2L2_PATHWAY,0.602049571127193,1.9930782121551267,0.0018832391713747645,0.032654499793976305,0.219,14/21,19.13%,ABCC3;SLC7A11;SESN2;SQSTM1;TXNRD1;ME1;HMOX1;ABCC1;GCLC;GCLM;NQO1;PSMD5;G6PD;GSR
gsea,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,0.5412426760974136,1.9727046084069486,0.0,0.03581366688964494,0.25,6/21,8.02%,HSPG2;ALDH1L2;NAMPT;ABCC1;SLC23A2;APOE
gsea,PID_P53_DOWNSTREAM_PATHWAY,0.6228544145755811,1.9669840443001183,0.0,0.0352107863940098,0.257,4/15,2.39%,GDF15;DDIT4;TNFRSF10B;MDM2
gsea,WP_PHOTODYNAMIC_THERAPYINDUCED_NFE2L2_NRF2_SURVIVAL_SIGNALING,0.7423923858924881,1.9497308927956842,0.004830917874396135,0.03983991260267261,0.296,7/10,16.59%,ABCC3;HMOX1;EPHX1;GCLC;GCLM;NQO1;ABCC4
gsea,REACTOME_KERATINIZATION,0.7137307256141032,1.9215502140176808,0.015915119363395226,0.048315954614731114,0.349,9/11,17.69%,KRT81;KRT6A;KRT16;KRT7;KRT17;KRT10;KRTAP10-4;KRT79;SPRR1B
gsea,WP_VEGFAVEGFR2_SIGNALING,0.43087838947805424,1.9070432284136607,0.002770083102493075,0.05233515791896538,0.385,27/50,30.04%,EPB41;VEGFA;MDM2;HYOU1;TXNIP;FYN;FSCN1;PLA2G4A;MICAL2;SHB;ATF2;FGB;TPP1;KANK1;MAPK1;FGA;GRB10;TFCP2;FMNL3;ABL1;ICAM1;PTK2B;RICTOR;PRKCA;PTGS2;PLAUR;IGFBP3
gsea,WP_B_CELL_RECEPTOR_SIGNALING,0.5418089462740805,1.896853720576616,0.0033112582781456954,0.05441317154221842,0.409,8/17,20.88%,FYN;GAB2;TEC;ATF2;PIK3AP1;MAPK1;VAV1;CARD11
gsea,WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,0.5336166037612557,1.8941484140445106,0.00516795865633075,0.05270165062147915,0.416,7/17,19.93%,S100A6;HPGD;PLA2G4A;AKR1C2;ANXA4;ABCC4;AKR1B1
gsea,REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,0.584121698839883,1.8805107140392479,0.01107011070110701,0.05471402873346381,0.436,13/19,19.13%,ABCC3;SLC7A11;SQSTM1;TXNRD1;ME1;HMOX1;ABCC1;GCLC;GCLM;NQO1;PSMD5;G6PD;GSR
gsea,PID_PDGFRB_PATHWAY,0.596782197037984,1.8798489498240414,0.009881422924901186,0.05266978169082577,0.439,9/13,27.25%,JUND;USP6NL;FYN;PLA2G4A;MAPK1;GRB10;ABL1;PRKCA;STAT5B
gsea,WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,0.6061189439023599,1.8718102726814285,0.0024875621890547263,0.05316892881718419,0.451,5/13,7.82%,SQSTM1;VEGFA;ME1;LDHC;LDHB
gsea,REACTOME_INFECTIOUS_DISEASE,0.4057559505997783,1.8684481602236973,0.0,0.05276615333712157,0.462,32/59,34.93%,MAP1B;HSPG2;TXNRD1;VEGFA;SEC24D;TXNIP;FYN;HMOX1;MED15;ATP1A2;ANTXR2;MAPK1;PSMD5;COMT;MYO10;TUBB4A;VAV1;RUNX1;RPL3L;TUBB2A;ABL1;C3;ST6GALNAC3;GPC5;CD247;DOCK2;HMGA1;SYT2;ST3GAL2;YES1;ELMO1;ADCY7
gsea,WP_TGFBETA_RECEPTOR_SIGNALING_IN_SKELETAL_DYSPLASIAS,-0.703530181180442,-1.8443675405499491,0.0016233766233766235,0.19313733958258514,0.352,5/10,18.29%,TGFBR3;EGF;LTBP1;LEF1;ZEB2
gsea,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,-0.6932821999126517,-1.8331646465860183,0.003795066413662239,0.1458966933820666,0.377,5/10,10.26%,EVL;ROBO1;ROBO2;PSMA1;COL4A5
gsea,WP_GASTRIN_SIGNALING,0.5780507625115818,1.8304332285061988,0.013262599469496022,0.06553735273336501,0.535,6/15,18.54%,VEGFA;CD44;FYN;ATF2;MAPK1;TCF4
gsea,REACTOME_CELLULAR_SENESCENCE,0.6683469160122312,1.8279460446049753,0.005893909626719057,0.06447828279558807,0.54,5/10,14.55%,MDM2;TNIK;SCMH1;HIRA;MAPK1
gsea,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,0.7013955546950638,1.8270293005969338,0.005484460694698354,0.06228543479221406,0.54,5/10,7.37%,NCOA3;TXNRD1;NPAS2;ME1;MED15
gsea,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,0.5060813400398247,1.825014324453651,0.005681818181818182,0.06082767847376707,0.545,9/24,20.43%,SESN2;TXNRD1;DDIT4;TNFRSF10B;MDM2;ATF2;G6PD;GSR;TP63
gsea,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,-0.44551733205459043,-1.819203552691136,0.00291970802919708,0.12590181522277735,0.418,17/59,19.03%,GFRA1;EVL;ANK3;PLXNA4;CACNA1C;ROBO1;ROBO2;DSCAM;LAMB1;TLN1;PSMA1;COL4A5;ADGRV1;UNC5D;PRKCQ;ITGA2B;TRPC3
gsea,REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,0.5920264802271386,1.8157327422117582,0.015021459227467811,0.06259695358935076,0.568,7/11,21.57%,NBAS;PLA2G4A;KIF21B;COPA;TUBB4A;KIF2A;TUBB2A
gsea,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.5955169375805245,1.7970287157321536,0.01060070671378092,0.07065742857560507,0.614,9/12,30.14%,TNFRSF10B;FYN;MAPK1;VAV1;ICAM1;PTK2B;CD247;PRKCA;ICAM2
gsea,REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,0.7038098900510827,1.776501607840233,0.018018018018018018,0.07917616721931713,0.666,8/10,17.69%,KRT81;KRT6A;KRT16;KRT7;KRT17;KRT10;KRT79;SPRR1B
gsea,WP_OREXIN_RECEPTOR_PATHWAY,0.4775156897361627,1.7632224597585167,0.011135857461024499,0.08382021281673868,0.694,10/22,26.91%,HSPA5;PLD1;VEGFA;MAPK1;PDK1;TOX;RUNX1;ICAM1;PAPPA;PRKCA
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.6257851960122569,-1.7517955698485659,0.022222222222222223,0.20684811317752633,0.632,5/12,13.90%,EVL;CENPF;B9D2;CENPE;DIAPH3
gsea,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.48656851852258,1.7468901292606236,0.0029411764705882353,0.08973034861192854,0.722,14/21,27.60%,ASNS;SLC7A5;TXNRD1;BCAT1;CRYM;NQO1;PSMD5;ARG2;GSR;HGD;RPL3L;CKB;NAALAD2;SLC6A8
gsea,REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,0.6188233132658988,1.7429112984414485,0.016260162601626018,0.08954149707816263,0.728,7/11,20.08%,PLD1;GPCPD1;PLA2G4A;MBOAT2;AGPAT4;LPGAT1;SLC44A5
gsea,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.5142373579954386,1.7386338989904648,0.002976190476190476,0.08953416722411235,0.736,8/16,27.15%,PLD1;GAB2;PLA2G4A;MAPK1;MYO10;VAV1;PRKCA;DOCK2
gsea,REACTOME_VESICLE_MEDIATED_TRANSPORT,0.3800047413032891,1.7344201614731038,0.014742014742014743,0.09006805794480131,0.743,26/57,34.73%,FTL;PICALM;FNBP1;HYOU1;NBAS;USP6NL;SEC24D;DENND5A;PLA2G4A;KIF21B;COPA;DENND5B;APOE;BET1;SNX9;TUBB4A;TFRC;KIF2A;TUBB2A;CTSC;MAN1A1;APOL1;CLTCL1;SYT2;KIF13B;LMAN1
gsea,WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA,0.6335091228681744,1.7338889109455717,0.020964360587002098,0.08794088842265778,0.743,3/11,1.79%,SESN2;DDIT4;VEGFA
