Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_SIGNALING_BY_VEGF,-0.6425959928333961,-2.081971351185033,0.0,0.09135473216658442,0.056,6/15,8.97%,PTK2B;PRKCA;AKT3;FYN;SHB;FLT1
gsea,REACTOME_SIGNALING_BY_ERBB2,-0.7347655845580262,-2.063915822850156,0.0,0.0509732925857029,0.063,5/11,8.13%,PRKCA;AKT3;FYN;EGF;NRG4
gsea,REACTOME_CELL_CYCLE,-0.46491248263457285,-2.0109250290801937,0.0,0.05957917315212027,0.103,14/35,22.66%,BRIP1;PRKCA;AKT3;CENPF;TUBB2A;CENPE;ZNF385A;CDC45;LYN;BUB1;RAE1;TOP2A;PRKAR2B;PSMD5
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.6518927058176963,-1.9859097183563115,0.0,0.06686107209293496,0.15,6/15,7.14%,BRIP1;CENPF;CENPE;ZNF385A;CDC45;BUB1
gsea,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,-0.36285488895276435,-1.9182889905034437,0.0,0.10644812269845488,0.248,41/78,50.34%,IFI6;PTK2B;AKT3;TUBB2A;BST2;VIM;FYN;MSN;LYN;ALOX5;UBA7;IL22RA1;FN1;TGFB1;IL12RB2;RAE1;IL10RA;ICAM1;SOCS1;GBP2;MEF2C;TNFSF15;ANXA1;PSMD5;GAB2;CXCL8;GRAP2;TNFSF4;TUBB4A;TRIM17;EBI3;CD4;VAV1;VAMP2;HSPA1L;ANXA2;HSPA1A;IL6ST;PTPN7;STAT5B;SH2B3
gsea,REACTOME_VIRAL_INFECTION_PATHWAYS,-0.4251127516966339,-1.8969482368095991,0.007827788649706457,0.11099379294635739,0.285,24/39,54.14%,AKT3;AP1S2;TUBB2A;BST2;FYN;GPS2;PARP16;CHD4;TGFB1;RAE1;DOCK2;PSMD5;TUBB4A;CD4;VAV1;SEC24D;RUNX1;RPN1;HSPA1A;HMGA1;ST6GAL1;VEGFA;CD247;PSMA1
gsea,REACTOME_INTERFERON_SIGNALING,-0.49783744560864507,-1.8802249538432756,0.002079002079002079,0.10970133469279288,0.313,8/21,13.05%,IFI6;TUBB2A;BST2;UBA7;RAE1;ICAM1;SOCS1;GBP2
gsea,REACTOME_METABOLISM_OF_RNA,-0.5722878400180763,-1.861617746211764,0.012962962962962963,0.11617938764663452,0.36,6/16,12.07%,PRKCA;MT-RNR2;MT-RNR1;APOBEC3C;RAE1;IGF2BP1
gsea,WP_NETRINUNC5B_SIGNALING,-0.6857653110417804,-1.8203294313593725,0.0076481835564053535,0.15034546904065904,0.477,5/10,10.30%,PTK2B;PRKCA;NTN4;FYN;ICAM1
gsea,REACTOME_M_PHASE,-0.4944193985401802,-1.8167287422615923,0.02208835341365462,0.14007725598876275,0.488,8/19,22.66%,PRKCA;CENPF;TUBB2A;CENPE;BUB1;RAE1;PRKAR2B;PSMD5
