Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.7388443090107606,-2.3203393731941873,0.0,0.0,0.0,7/13,3.65%,DIAPH3;BUB1;CENPF;NSL1;TUBB2A;B9D2;KIF2A
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.563280177006031,-2.1875985964771107,0.0,0.002233988284754349,0.004,10/27,4.00%,DIAPH3;BUB1;MYLK;PRKCA;CENPF;NSL1;TUBB2A;B9D2;KIF2A;CDC25C
gsea,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,-0.7636538962708852,-2.1713649831354407,0.0,0.0026063196655467407,0.007,6/10,3.65%,BUB1;CENPF;NSL1;TUBB2A;B9D2;KIF2A
gsea,REACTOME_MITOTIC_PROMETAPHASE,-0.7413055933978561,-2.152209073775268,0.0,0.0027924853559429365,0.01,6/11,3.65%,BUB1;CENPF;NSL1;TUBB2A;B9D2;KIF2A
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.732502273760727,-2.14811859884372,0.0,0.002457387113229784,0.011,11/15,16.20%,BRIP1;BUB1;CDC45;CENPF;NSL1;B9D2;KIF2A;CDC25C;PSMD5;ANAPC2;MDM2
gsea,REACTOME_M_PHASE,-0.5762457862135505,-2.017591636610838,0.0,0.012473101256545117,0.05,9/20,16.10%,BUB1;PRKCA;CENPF;NSL1;TUBB2A;B9D2;KIF2A;PSMD5;ANAPC2
gsea,REACTOME_CELL_CYCLE,-0.4878879438226119,-1.9726396359335459,0.0,0.021063318113398153,0.097,13/35,16.20%,BRIP1;BUB1;CDC45;PRKCA;CENPF;NSL1;TUBB2A;B9D2;KIF2A;CDC25C;PSMD5;ANAPC2;MDM2
gsea,REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,-0.629193280962053,-1.961764460387569,0.003875968992248062,0.021083264437369173,0.112,8/13,16.10%,BUB1;CENPF;NSL1;TUBB2A;B9D2;KIF2A;PSMD5;ANAPC2
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.4838070877203897,-1.9594886129775462,0.0,0.019485342261468492,0.115,11/31,16.10%,BUB1;CDC45;PRKCA;CENPF;NSL1;TUBB2A;B9D2;KIF2A;CDC25C;PSMD5;ANAPC2
gsea,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,-0.6104963629105107,-1.9436448985665202,0.0,0.02189308519059262,0.14,8/14,16.10%,BUB1;CENPF;NSL1;TUBB2A;B9D2;KIF2A;PSMD5;ANAPC2
gsea,REACTOME_CELL_JUNCTION_ORGANIZATION,-0.8759080331793176,-1.8704802757318828,0.0,0.04610139460356702,0.283,7/10,10.40%,ANGPTL4;SDK1;CLDN2;CDH12;FLNC;ADAM19;CADM2
gsea,KEGG_CALCIUM_SIGNALING_PATHWAY,-0.5697520122002178,-1.8596835384913348,0.006060606060606061,0.04719300251543563,0.304,10/23,14.40%,RYR1;MYLK;PRKCA;EGFR;PTK2B;ERBB4;PLCD1;P2RX1;ADCY7;P2RX7
gsea,REACTOME_CELL_CELL_COMMUNICATION,-0.7414815221469184,-1.8565759415378948,0.003778337531486146,0.045023456200433805,0.311,9/15,10.40%,ANGPTL4;SDK1;CLDN2;CDH12;PTK2B;FLNC;ADAM19;NPHS1;CADM2
gsea,REACTOME_SIGNALING_BY_ERBB4,-0.7736157152628217,-1.8483864024301453,0.0,0.04571697454158007,0.341,8/11,16.35%,EGFR;GABRB3;GABRG3;APOE;ERBB4;EGF;NRG3;STAT5A
gsea,KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY,-0.632129473934044,-1.789446929344907,0.004838709677419355,0.08005124687036418,0.52,8/11,25.65%,FLT1;EGFR;NTRK3;ERBB4;EGF;FGFR1;NTRK1;VEGFA
gsea,KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY,-0.5203071830711514,-1.7662671851899725,0.006944444444444444,0.09487468996816127,0.576,12/16,36.85%,FLT1;EGFR;ERBB4;EGF;FGFR1;BDNF;NTRK1;VEGFA;MAPK1;ANGPT2;IGF1;PDGFRB
