Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_COLLAGEN_FORMATION,0.773984520534763,2.785212422067262,0.0,0.0,0.0,1/18,0.05%,COL26A1
gsea,REACTOME_INFECTIOUS_DISEASE,0.5728651760725398,2.755482891460356,0.0,0.0,0.0,23/62,19.04%,RPL3L;RAE1;PARP16;TXNIP;ELMO1;TUBB4A;FYN;ITPR1;MAP1B;PRKAR2B;TXNRD1;AKT3;HMOX1;HSPG2;GPC5;MYO10;C3;TUSC3;ST6GAL1;ST3GAL2;TUBB2A;SERPINE1;AP1S2
gsea,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,0.7809702475097746,2.69310892266598,0.0,0.0,0.0,1/16,0.05%,COL26A1
gsea,REACTOME_METABOLISM_OF_LIPIDS,0.5283138955129072,2.6800784525245436,0.0,0.0,0.0,26/76,18.31%,ACSBG1;INSIG1;AGMO;HSD17B11;CYP4F2;HMGCS1;FADS1;NCOA3;ACSL4;ANGPTL4;PPARD;STARD4;TXNRD1;AGPAT4;CGA;CUBN;GDPD5;AKR1B1;PI4KA;MVD;FADS2;TNFAIP8;B4GALT5;PTGR1;TSPOAP1;ST3GAL2
gsea,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,0.724061283053031,2.649957336163836,0.0,0.0,0.0,8/21,13.11%,PARP16;TCN2;MTHFR;ALDH1L2;SLC23A2;CUBN;HSPG2;GPC5
gsea,REACTOME_VIRAL_INFECTION_PATHWAYS,0.5900099880275645,2.595196344793056,0.0,0.0,0.0,16/42,19.04%,RPL3L;RAE1;PARP16;ELMO1;TUBB4A;FYN;MAP1B;AKT3;HSPG2;GPC5;TUSC3;ST6GAL1;ST3GAL2;TUBB2A;SERPINE1;AP1S2
gsea,WP_ADHD_AND_AUTISM_ASD_PATHWAYS,0.5721474315913402,2.574920906717422,0.0,0.0,0.0,19/48,15.46%,TCN2;AGMO;GABRB3;NRXN3;MTHFR;DLG2;ALDH1L2;GRM8;CNTN1;SYP;PRKAR2B;CNTNAP2;AKT3;CUBN;PRKCA;AKR1B1;SCN4A;GRIN2D;SESN2
gsea,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.7148445033683916,2.545877556909505,0.0,0.0,0.0,7/19,14.86%,COL26A1;FN1;COL1A1;HSPG2;COL4A4;LAMB1;CAST
gsea,REACTOME_FATTY_ACID_METABOLISM,0.6102737152523818,2.4450277759419095,0.0,0.0,0.0,5/25,7.41%,ACSBG1;CYP4F2;FADS1;ACSL4;PPARD
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.78155033710113,-2.4335055602967133,0.0,0.0,0.0,9/15,11.32%,MDM2;CENPF;CDC45;BRIP1;BUB1;B9D2;PSMA1;CDC25C;PSMD5
gsea,REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,0.7782570435581785,2.4194627128205632,0.0,0.00030438168047002196,0.002,6/13,12.47%,PARP16;TCN2;MTHFR;ALDH1L2;SLC23A2;CUBN
gsea,REACTOME_NEURONAL_SYSTEM,0.5112024437647271,2.357176797193849,0.0,0.0006917765465227772,0.004,17/52,19.50%,PPM1E;GABRB3;NRXN3;TUBB4A;ERBB4;KCNN2;KCNAB1;DLG2;PRKAR2B;PRKCA;GRIN2D;TSPOAP1;NCALD;KCNH5;CAMK2A;TUBB2A;KCNJ6
gsea,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.4778631445575451,2.351949529896944,0.0,0.0006341285009792124,0.004,25/69,19.41%,RPL3L;RAE1;GCLC;TXNIP;TUBB4A;DDIT3;G6PD;SQSTM1;TNIK;EGLN3;HBA1;HSPA5;EPAS1;TXNRD1;AKT3;HMOX1;FKBP5;CREB3L2;ASNS;SESN2;FKBP14;HYOU1;CAMK2A;TUBB2A;GRB10
gsea,REACTOME_METABOLISM_OF_RNA,0.7319937964117559,2.3461758691380896,0.0,0.000585349385519273,0.004,4/16,8.46%,RPL3L;RAE1;MT-RNR1;MT-RNR2
gsea,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,0.6862465513316561,2.3158329803499673,0.0,0.0009783696872250707,0.007,8/16,18.45%,PPM1E;TUBB4A;ERBB4;DLG2;PRKAR2B;GRIN2D;CAMK2A;TUBB2A
gsea,WP_PPAR_SIGNALING,0.7799092682613824,2.3029210575304133,0.0,0.0010146056015667398,0.008,5/12,7.41%,ACSBG1;SORBS1;ACSL4;ANGPTL4;PPARD
gsea,KEGG_CHRONIC_MYELOID_LEUKEMIA,-0.7510333623205943,-2.2960971102749608,0.0,0.0006076034699923717,0.002,8/13,7.87%,RUNX1;MDM2;CDK6;STAT5B;BCR;GAB2;TGFB2;CRKL
gsea,REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,0.7495001912395469,2.2925547555274686,0.0,0.0008952402366765351,0.008,3/11,5.57%,RAE1;ELMO1;FYN
gsea,REACTOME_HIV_INFECTION,0.7495001912395469,2.2925547555274686,0.0,0.0008952402366765351,0.008,3/11,5.57%,RAE1;ELMO1;FYN
gsea,REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,0.5785006863802328,2.278490189489706,0.0,0.0010991560683639681,0.01,12/28,19.50%,PPM1E;GABRB3;TUBB4A;ERBB4;DLG2;PRKAR2B;PRKCA;GRIN2D;NCALD;CAMK2A;TUBB2A;KCNJ6
gsea,REACTOME_METABOLISM_OF_CARBOHYDRATES,0.558349819463645,2.272835132309238,0.0,0.0011214061912053438,0.011,14/29,21.11%,RAE1;FBP2;ALDOC;G6PD;NDST4;HSPG2;GPC5;CEMIP;RHCE;AKR1B1;B4GALT5;ST3GAL2;CHST11;PFKFB4
gsea,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,0.536609669405908,2.2614170873934425,0.0,0.0013697175621150987,0.015,13/35,19.50%,PPM1E;GABRB3;TUBB4A;ERBB4;DLG2;PRKAR2B;PRKCA;GRIN2D;TSPOAP1;NCALD;CAMK2A;TUBB2A;KCNJ6
gsea,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.5091788479067885,2.2563162173874773,0.0,0.0013769647449834324,0.016,12/55,18.95%,COL26A1;FN1;COL1A1;P4HA1;HSPG2;PRKCA;COL4A4;LAMB1;CAST;P3H1;ITGAX;SERPINE1
gsea,REACTOME_TCR_SIGNALING,-0.7384844511972364,-2.230140601982225,0.0,0.0014177414299822006,0.006,5/12,13.48%,EVL;PSMA1;PSMD5;FYB1;PRKCQ
gsea,REACTOME_LEISHMANIA_INFECTION,0.6169074473871368,2.196787518143985,0.0,0.0027671061860911087,0.034,8/20,15.50%,TXNIP;ELMO1;FYN;ITPR1;PRKAR2B;HMOX1;MYO10;C3
gsea,REACTOME_SLC_TRANSPORTER_DISORDERS,0.7262231575819311,2.189900932996874,0.0,0.003043816804700219,0.04,2/12,7.68%,RAE1;SLC16A1
gsea,WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,0.7066271576349347,2.1828243070316145,0.0,0.003170642504896062,0.043,6/14,14.58%,CPEB4;ANGPTL4;SERTAD2;SERPINB9;CDKN1C;MFGE8
gsea,REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,0.6408511983285613,2.1767620373000085,0.0,0.0034090748212642456,0.047,2/16,7.68%,RAE1;SLC16A1
gsea,REACTOME_SARS_COV_2_INFECTION,0.746278765136638,2.1748204405580083,0.0,0.0032779565589079285,0.047,8/13,18.31%,RAE1;PARP16;AKT3;HSPG2;GPC5;TUSC3;ST6GAL1;ST3GAL2
gsea,WP_INTEGRINMEDIATED_CELL_ADHESION,0.6824905212543301,2.16614493234011,0.0,0.003325651694024314,0.048,5/17,11.18%,SORBS1;SELENOP;VCL;FYN;AKT3
gsea,WP_FERROPTOSIS,0.6429917393631003,2.149775814992118,0.00205761316872428,0.003967832620412786,0.058,6/16,15.13%,GCLC;ACSL4;FTL;TXNRD1;HMOX1;TFRC
gsea,WP_NUCLEAR_RECEPTORS_METAPATHWAY,0.45933559625773357,2.1252255528199457,0.0,0.005038041607779674,0.073,21/59,23.14%,GCLC;CPEB4;SLCO2B1;NCOA3;G6PD;SQSTM1;ANGPTL4;PPARD;SERTAD2;SERPINB9;ABCB1;FTL;CDKN1C;TXNRD1;HMOX1;FKBP5;MFGE8;PTGR1;PLTP;TNFAIP3;SLC6A6
gsea,WP_FRAGILE_X_SYNDROME,0.6525413842532592,2.115773827894196,0.0,0.005326679408225384,0.078,11/15,23.05%,CLTCL1;FYN;ITPR1;MAP1B;SLC16A1;PRKCA;CAMK2A;CNR1;PDK1;RAP1GAP;BDNF
gsea,KEGG_INSULIN_SIGNALING_PATHWAY,0.6769737090569783,2.1120659681348117,0.0,0.005302132498510059,0.081,5/14,11.18%,FBP2;SORBS1;PPP1R3A;PRKAR2B;AKT3
gsea,KEGG_ADHERENS_JUNCTION,0.7459942565971465,2.095467470538104,0.0,0.005944954696680116,0.092,3/11,5.57%,SORBS1;VCL;FYN
gsea,REACTOME_SIGNALING_BY_VEGF,0.6446115954151006,2.086382288536998,0.0,0.006272107355139845,0.1,7/16,22.36%,ELMO1;FYN;ITPR1;AKT3;PRKCA;FLT1;VAV1
gsea,REACTOME_METABOLISM_OF_STEROIDS,0.5710143359658912,2.084661717301357,0.0,0.0062219196449019186,0.101,9/22,17.11%,INSIG1;HSD17B11;HMGCS1;STARD4;CGA;CUBN;AKR1B1;MVD;TSPOAP1
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.6648346718841571,-2.076827706536483,0.0,0.01032925898987032,0.054,5/13,8.19%,EVL;CENPF;DIAPH3;BUB1;B9D2
gsea,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.6435203255882861,2.074157575168648,0.002331002331002331,0.006913812456390499,0.116,3/14,13.20%,TNFRSF10B;FYN;PRKCA
gsea,REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES,-0.6795509185641131,-2.0484782942455815,0.0,0.010936862459862692,0.072,1/12,0.18%,SLC24A3
gsea,WP_EBOLA_VIRUS_INFECTION_IN_HOST,0.6941667391972931,2.0438604027278915,0.0,0.009131450414100658,0.154,2/11,5.47%,NPC1;CLTCL1
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.3847711224997438,-2.0350108774816182,0.0,0.01022799174487159,0.08,52/118,36.43%,GFRA1;EVL;DSCAM;SYTL2;ANK3;BCL2;RUNX1;PCSK6;MAML3;ZFP36L2;COL4A5;BMP7;CHD4;PLXNA4;EPHA4;RAB27A;GATA2;GAB2;KRT13;CACNA1C;LYN;YES1;PSMA1;NTN4;MSN;KRT81;PSMD5;ANK1;KRT16;PRKCQ;MAML2;TRPC3;PTPRC;KRT79;MED15;SPI1;KRT7;ABL1;CCND3;SPRR1B;GRIN2B;FOXH1;FOXA2;MC5R;COL6A5;TAL1;FOXL2;DHH;TLN1;RELN;EGFR;FGFR1
gsea,WP_IL18_SIGNALING,0.4979669339148586,2.0183048070568392,0.002044989775051125,0.011105818071203503,0.187,7/29,13.20%,RAE1;TIMP3;SEMA6C;FN1;HMOX1;COL1A1;PRKCA
gsea,WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES,0.4472736553306212,2.0014725555541206,0.0,0.012575769429945642,0.209,20/46,28.93%,NPC1;INSIG1;HMGCS1;G6PD;PPARD;SYP;CUBN;MVD;TFRC;SESN2;ABCD2;MYO1E;STON2;SSC4D;PLTP;LRP12;LIPC;APOE;ACSL5;LBR
gsea,KEGG_CELL_CYCLE,-0.6556720101471679,-1.9923090043703107,0.002079002079002079,0.013443226773581224,0.134,7/13,9.61%,MDM2;CDK6;CDC14A;CDC45;TGFB2;BUB1;CDC25C
gsea,WP_CELL_CYCLE,-0.6556720101471679,-1.9923090043703107,0.002079002079002079,0.013443226773581224,0.134,7/13,9.61%,MDM2;CDK6;CDC14A;CDC45;TGFB2;BUB1;CDC25C
gsea,WP_EICOSANOID_METABOLISM_VIA_CYCLOOXYGENASES_COX,0.666050957131224,1.969498204472863,0.0,0.01603857316322808,0.267,6/11,20.56%,CYP4F2;PPARD;AKR1B1;PTGR1;HPGD;TBXA2R
gsea,WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,0.7054155080341145,1.9604821184955967,0.0,0.017159517236497487,0.288,4/12,9.02%,TNFRSF10B;GCLC;SQSTM1;HSPA5
gsea,REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,0.6881420558421008,1.9587194282549871,0.001968503937007874,0.01703795016289513,0.289,6/11,18.08%,DDIT3;HSPA5;CREB3L2;ASNS;FKBP14;HYOU1
gsea,WP_VITAMIN_B12_METABOLISM,0.621481592498145,1.9555370134105867,0.004291845493562232,0.01742947479834292,0.297,4/13,12.47%,TCN2;MTHFR;HBA1;CUBN
gsea,REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.6996894039780238,1.9454525866961936,0.009259259259259259,0.01840447370283854,0.315,4/10,12.83%,RAE1;TUBB4A;OASL;SNCA
gsea,PID_RB_1PATHWAY,-0.717507225302988,-1.9389366004914113,0.0018552875695732839,0.02275137437638103,0.222,4/10,6.90%,UBTF;MDM2;CDK6;TGFB2
gsea,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,-0.6233783569217413,-1.9350283284465177,0.002036659877800407,0.021387642143731483,0.231,3/11,6.62%,GFRA1;COL4A5;CACNA1C
gsea,WP_CELL_LINEAGE_MAP_FOR_NEURONAL_DIFFERENTIATION,0.5439280500140348,1.9227526591516366,0.006622516556291391,0.021375895287553816,0.358,10/18,26.77%,ROBO1;UNC13A;DLG2;SYP;CDH2;KCNJ6;PECAM1;NES;ESRRB;RBFOX3
gsea,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.531829372186374,1.919912703690568,0.0,0.021374358006339318,0.364,7/22,15.09%,RPL3L;CRYM;CKB;ARG2;TXNRD1;CGA;ASNS
gsea,WP_PRADERWILLI_AND_ANGELMAN_SYNDROME,0.6254667700096428,1.9163548816203584,0.005607476635514018,0.0215383123897809,0.374,2/11,2.76%,RAE1;GABRB3
gsea,WP_CHOLESTEROL_METABOLISM,0.6273794103421604,1.9162566330462236,0.0,0.021080050424040885,0.374,2/13,4.05%,NPC1;HMGCS1
gsea,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,0.34949640764498424,1.904902576647876,0.0,0.02305057101059437,0.403,53/105,40.39%,RAE1;KLHL13;ADAMTS6;VGF;TUBB4A;SQSTM1;RAB3B;NTNG1;SPTB;GOLM1;NPL;TTLL7;FN1;MAN1A1;EPAS1;THSD7A;IGFBP3;CGA;PRKN;MVD;LAMB1;MFGE8;BET1;C3;CDH2;TPST2;B4GALT5;FBXL13;TUSC3;ST6GAL1;ST3GAL2;TUBB2A;KLHL3;TNFAIP3;PLAUR;CNTN5;ASPH;CCDC8;APOE;COPA;FGG;USP44;PENK;ART3;TUBB1;FUT3;NUP214;SCG3;ADAMTS3;NOTUM;YOD1;TGFB1;CTSC
gsea,REACTOME_AUTOPHAGY,0.6551639873487742,1.8974653938641448,0.01338432122370937,0.024071000241251733,0.424,5/10,18.45%,TUBB4A;SQSTM1;EPAS1;PRKN;TUBB2A
gsea,KEGG_PPAR_SIGNALING_PATHWAY,0.6436396672081764,1.8944399499641054,0.004819277108433735,0.024107029093225735,0.429,8/11,27.18%,SORBS1;ACSL4;ANGPTL4;PPARD;FADS2;PLTP;AQP7;ACSL5
gsea,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,0.4673235425421812,1.8923712395750452,0.0,0.023813390295595836,0.43,11/32,20.98%,CLU;TIMP3;SELENOP;VCL;HSPA5;FN1;PRKCA;TTN;SERPINE1;FERMT3;PECAM1
gsea,PID_VEGFR1_2_PATHWAY,0.5988371772249614,1.8754263073023851,0.013565891472868217,0.027013874141714446,0.474,5/13,20.61%,VCL;FYN;PRKCA;GRB10;FLT1
