Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.5807375202782873,-2.3431687514345656,0.0,0.000816945789811519,0.001,15/31,16.74%,CENPF;CENPE;PRKCA;CDC25C;BUB1;CDC45;AKT3;LYN;TOP2A;NUP214;RAE1;MAPK1;CDC14A;NSL1;PSMD5
gsea,REACTOME_ECM_PROTEOGLYCANS,0.6667048273640365,2.328257439248825,0.0,0.006085742633655598,0.004,10/17,17.42%,TGFB2;COL4A5;FN1;COL5A2;HSPG2;LAMB1;COL1A1;SERPINE1;ITGAX;COL6A3
gsea,REACTOME_CELL_CYCLE,-0.5597022079468033,-2.316609980601158,0.0,0.0012254186847172786,0.003,16/35,16.74%,BRIP1;CENPF;CENPE;PRKCA;CDC25C;BUB1;CDC45;AKT3;LYN;TOP2A;NUP214;RAE1;MAPK1;CDC14A;NSL1;PSMD5
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.7078281635131487,-2.2704370273930796,0.0,0.0010892610530820253,0.004,6/15,2.15%,BRIP1;CENPF;CENPE;CDC25C;BUB1;CDC45
gsea,PID_INTEGRIN1_PATHWAY,0.6654906788116185,2.2108424609420534,0.0,0.017648653637601232,0.024,8/16,10.20%,COL4A5;FN1;COL5A2;TGM2;PLAUR;ITGA5;LAMB1;COL1A1
gsea,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.6284106593919399,2.2072497279022225,0.0,0.012577201442888238,0.026,8/18,10.20%,COL4A5;CD44;CAST;FN1;COL5A2;HSPG2;LAMB1;COL1A1
gsea,PID_AVB3_INTEGRIN_PATHWAY,0.6983137166013745,2.1977775153901735,0.0,0.010954336740580077,0.029,7/14,17.42%,COL4A5;FN1;VCL;MFGE8;COL5A2;COL1A1;COL6A3
gsea,WP_VITAMIN_D_RECEPTOR_PATHWAY,0.5284299951059612,2.1769849531322913,0.0,0.011197766445926302,0.037,11/30,17.57%,TGFB2;G6PD;CYP24A1;IGFBP5;TIMP3;KRT13;KRT16;S100A6;S100A9;EFNA5;ITGAM
gsea,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,0.5917269309365967,2.1731079196128325,0.0,0.009737188213848958,0.038,13/22,21.47%,COL4A5;CD44;FN1;COL5A2;HSPG2;ITGA5;COL1A1;ICAM4;ITGAX;PECAM1;COL6A3;ITGAM;FGA
gsea,KEGG_ECM_RECEPTOR_INTERACTION,0.6687634291024219,2.170309836573397,0.0,0.008867796409041015,0.041,9/15,17.42%,CD44;FN1;COL5A2;HSPG2;ITGA5;LAMB1;COL1A1;SDC3;COL6A3
