Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_M_PHASE,-0.6835290836949193,-2.517916100446893,0.0,0.0,0.0,6/19,7.52%,PRKCA;CENPE;PRKAR2B;BUB1;CENPF;PSMA1
gsea,REACTOME_CELL_CYCLE_CHECKPOINTS,-0.7426867690374106,-2.3586108935280565,0.0,0.0,0.0,7/15,7.52%,BRIP1;CDC45;CENPE;BUB1;CENPF;MDM2;PSMA1
gsea,REACTOME_CELL_CYCLE,-0.5397145554522913,-2.3158748541437433,0.0,0.0,0.0,12/35,18.01%,PRKCA;BRIP1;CDC45;CENPE;PRKAR2B;BUB1;TOP2A;CENPF;MDM2;PSMA1;ZNF385A;CDC14A
gsea,REACTOME_METABOLISM_OF_RNA,-0.6816248551322086,-2.297748487889004,0.0,0.0,0.0,6/16,11.13%,PRKCA;MT-RNR2;KHSRP;PSMA1;IGF2BP1;MT-RNR1
gsea,REACTOME_CELL_CYCLE_MITOTIC,-0.5349587634270097,-2.1719162103650893,0.0,0.006327924850555082,0.024,8/30,7.52%,PRKCA;CDC45;CENPE;PRKAR2B;BUB1;TOP2A;CENPF;PSMA1
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.6662651988046407,-2.100858047253535,0.0,0.012890217288167758,0.052,5/12,5.71%,FMNL3;CENPE;DIAPH3;BUB1;CENPF
gsea,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,-0.6230846001089695,-2.012909422012497,0.0,0.03147221883344855,0.137,4/13,7.52%,CENPE;BUB1;CENPF;PSMA1
gsea,WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,0.638909108942608,2.0126158980860405,0.003937007874015748,0.18829800269574806,0.179,7/13,17.23%,NQO1;JUND;ETS1;SQSTM1;PTK2B;GCLC;TNFRSF10B
gsea,WP_OREXIN_RECEPTOR_PATHWAY,-0.5193030731136303,-1.9771371259281896,0.0,0.03881713160641427,0.185,10/23,24.01%,BMP7;PRKCA;PAPPA;CGA;RUNX1;PDE11A;OSBPL3;ICAM1;GRIN2B;STAR
gsea,WP_B_CELL_RECEPTOR_SIGNALING,0.5313039399214525,1.9717510316932614,0.0024813895781637717,0.14511395662296286,0.248,9/19,25.28%,PIK3AP1;LYN;HCLS1;CAMK2A;ETS1;GAB2;VAV1;BCL6;MEF2C
