Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,-0.47753654428212,-1.8498565138719518,0.0,0.06528360082766958,0.04,4/30,8.55%,SLC24A3;RUNX1;APOD;SLC5A3
gsea,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,-0.5970283020734521,-1.7918151948899015,0.0,0.07495524539473175,0.085,26/59,19.43%,EVL;GFRA1;DSCAM;ANK3;COL4A5;EPHA4;MAPK1;ADGRV1;WWTR1;EFNA5;ROBO1;CACNA1C;CLTCL1;GRB10;MYO10;ABL1;GAB2;NTN4;PSMD5;ITGA5;COL5A2;SEMA3A;UNC5B;LAMB1;ROBO2;ANK1
gsea,REACTOME_RHO_GTPASE_EFFECTORS,-0.6726084606993081,-1.77218672426029,0.0,0.062462704495609776,0.105,12/25,16.42%,EVL;DIAPH3;MAPK1;CENPE;KIF2A;CDC25C;BUB1;NSL1;ABL1;CENPF;FMNL3;CENPT
gsea,REACTOME_DEVELOPMENTAL_BIOLOGY,-0.538560555008002,-1.769996555275854,0.0,0.0483582228353108,0.109,45/112,22.07%,EVL;MAML3;GFRA1;RUNX1;DSCAM;ANK3;BCL2;SYTL2;COL4A5;EPHA4;MAPK1;NCOA3;ADGRV1;WWTR1;ZFP36L2;EFNA5;ROBO1;BMP7;MAML2;CACNA1C;PCSK6;HIRA;CLTCL1;GRB10;GATA2;MYO10;ABL1;GAB2;KRT10;NTN4;PSMD5;ITGA5;COL5A2;SEMA3A;UNC5B;LAMB1;ROBO2;TP63;EGF;ANK1;EPAS1;CHD4;ITGA2B;AKT3;FYN
gsea,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,-0.7412079719981464,-1.7360858503157681,0.0,0.05633732960313709,0.156,4/11,7.15%,GFRA1;COL4A5;MAPK1;CACNA1C
gsea,WP_MALE_INFERTILITY,-0.6464500885447895,-1.7104512127584224,0.01340033500837521,0.06911196013546501,0.218,5/15,9.79%,BCL2;CLU;HMGA1;CDC42BPA;MTHFR
gsea,REACTOME_SIGNALING_BY_PDGF,-0.6432875106768584,-1.690443065720363,0.009787928221859706,0.07668232478170713,0.278,2/10,3.21%,COL4A5;CRKL
gsea,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,-0.6484497476667617,-1.6627997685617881,0.00625,0.09611196788518021,0.359,6/13,21.40%,BCL2;MAPK1;CRKL;ABL1;SH2B3;AKT3
gsea,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,-0.5727791927937661,-1.6489407235248443,0.0,0.105179134666801,0.406,10/31,9.07%,ANK3;GFPT1;AREG;NGLY1;MAN1A1;SEC24D;B4GALT5;LMAN1;ST3GAL2;ST8SIA6
gsea,REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT,-0.6891868677199346,-1.6341764834941646,0.004580152671755725,0.11605973480474593,0.48,3/10,1.76%,BCL2;SYTL2;MAPK1
gsea,REACTOME_PHOSPHOLIPID_METABOLISM,-0.628974566960799,-1.6298001359817083,0.010057471264367816,0.11089419736551955,0.49,6/15,12.85%,MBOAT2;PI4KA;PLD1;GPCPD1;TNFAIP8;GPAT3
gsea,REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,-0.6466528178784945,-1.6094676786997786,0.02572347266881029,0.13207839611894262,0.567,5/11,17.51%,CENPE;KIF2A;KIF13B;NBAS;COPE
gsea,REACTOME_ESR_MEDIATED_SIGNALING,-0.7749306224393877,-1.605589231433603,0.001364256480218281,0.12768430760169563,0.579,9/15,8.70%,RUNX1;BCL2;MAPK1;NCOA3;AREG;ERBB4;FKBP5;KANK1;TFF1
gsea,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,-0.7761484255711621,-1.5948536960425692,0.0013736263736263737,0.1389435366821698,0.62,9/12,16.42%,EVL;DIAPH3;CENPE;KIF2A;BUB1;NSL1;CENPF;FMNL3;CENPT
gsea,REACTOME_NETRIN_1_SIGNALING,-0.6628109088619365,-1.5888910689236262,0.01023391812865497,0.1399164580701659,0.643,6/10,22.07%,DSCAM;ROBO1;MYO10;NTN4;UNC5B;FYN
gsea,REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,-0.554386342093949,-1.5816627976617061,0.0,0.14552802684501345,0.677,34/72,20.26%,EVL;FNBP1;DIAPH3;MAPK1;CENPE;DOCK8;KIF2A;CDC25C;BUB1;LMAN1;PLD1;PCDH7;LBR;CDC42BPA;PTK2B;NSL1;ABL1;CKB;CENPF;FMNL3;PICALM;ARHGAP21;RHOH;ADD3;CENPT;DOCK11;RHOBTB1;SH3PXD2A;ARHGAP4;VIM;CCDC88A;MYLK;FAM13A;UBXN11
gsea,REACTOME_VESICLE_MEDIATED_TRANSPORT,-0.5602901060535903,-1.5813460487210462,0.0012033694344163659,0.1374653599127291,0.677,26/57,22.59%,ANK3;FNBP1;AREG;CENPE;KIF2A;MAN1A1;DENND5A;SEC24D;LMAN1;KIF13B;STON2;CLTCL1;SCARB1;NBAS;HYOU1;AP1S2;PICALM;CTSC;COPE;EGF;ANK1;COL1A1;AKT3;BET1;EREG;DENND5B
gsea,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2,-0.636014279426768,-1.5716411029082644,0.018154311649016642,0.1484328784250512,0.716,3/10,8.29%,FKBP5;GPS2;LBR
