drug,smile,file,n_true,n_ctrl
TAK-901,CCS(=O)(=O)c1cccc(-c2cc(C(=O)NC3CCN(C)CC3)c(C)c3[nH]c4ncc(C)cc4c23)c1,0001.npz,79,1000
BMS-536924,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,0002.npz,304,1000
Carmofur,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,0003.npz,376,1000
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,0004.npz,398,1000
Droxinostat,Cc1cc(Cl)ccc1OCCCC(=O)NO,0005.npz,421,1000
Trametinib,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,0006.npz,252,1000
Thalidomide,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,0007.npz,409,1000
Prednisone,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,0008.npz,389,1000
Crizotinib,CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,0009.npz,274,1000
SRT2104,Cc1nc(-c2cccnc2)sc1C(=O)Nc1ccccc1-c1cn2c(CN3CCOCC3)csc2n1,0010.npz,533,1000
A-366,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,0011.npz,388,1000
Ivosidenib,N#Cc1ccnc(N2C(=O)CCC2C(=O)N(c2cncc(F)c2)C(C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,0012.npz,166,1000
Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0013.npz,356,1000
KW-2449,O=C(c1ccc(C=Cc2n[nH]c3ccccc23)cc1)N1CCNCC1,0014.npz,252,1000
Azacitidine,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,0015.npz,398,1000
Motesanib,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21.O=P(O)(O)O.O=P(O)(O)O,0016.npz,387,1000
PF-573228,CS(=O)(=O)c1cccc(CNc2nc(Nc3ccc4c(c3)CCC(=O)N4)ncc2C(F)(F)F)c1,0017.npz,174,1000
Filgotinib,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,0018.npz,375,1000
