drug,pathway_precision,pathway_recall,n_truth,n_pred,n_overlap
Trametinib,1.0,0.5,4,2,2
Toremifene,1.0,0.4,5,2,2
UNC0379,1.0,0.5,4,2,2
JQ1,1.0,0.3333333333333333,6,2,2
Linifanib,1.0,0.5,4,2,2
Trichostatin,1.0,0.5,4,2,2
CUDC-907,1.0,0.6666666666666666,3,2,2
Bosutinib,1.0,0.5,4,2,2
BMS-265246,1.0,0.6666666666666666,3,2,2
PFI-1,1.0,0.4,5,2,2
Cediranib,1.0,0.5,4,2,2
Flavopiridol,1.0,0.5,4,2,2
Fulvestrant,1.0,0.3333333333333333,6,2,2
Bisindolylmaleimide,1.0,0.5,4,2,2
YM155,1.0,0.5,4,2,2
BMS-536924,1.0,0.25,4,1,1
BMS-754807,1.0,0.3333333333333333,3,1,1
FLLL32,1.0,0.16666666666666666,6,1,1
Quisinostat,1.0,0.6666666666666666,3,2,2
Obatoclax,1.0,0.25,4,1,1
AR-42,1.0,0.5,4,2,2
Hesperadin,1.0,0.5,4,2,2
Abexinostat,1.0,0.4,5,2,2
Belinostat,1.0,0.4,5,2,2
Dacinostat,1.0,0.6666666666666666,3,2,2
Givinostat,1.0,0.5,4,2,2
Pracinostat,1.0,0.5,4,2,2
Panobinostat,1.0,0.6666666666666666,3,2,2
M344,0.5,0.25,4,2,1
WHI-P154,0.5,0.3333333333333333,3,2,1
JNJ-7706621,0.5,0.3333333333333333,3,2,1
NVP-BSK805,0.5,0.5,2,2,1
TG101209,0.5,0.3333333333333333,3,2,1
UNC1999,0.5,0.3333333333333333,3,2,1
Temsirolimus,0.5,0.3333333333333333,3,2,1
Capecitabine,0.5,1.0,1,2,1
Entinostat,0.5,0.2,5,2,1
AT9283,0.5,1.0,1,2,1
Mocetinostat,0.5,0.2,5,2,1
Enzastaurin,0.5,0.5,2,2,1
TGX-221,0.5,0.3333333333333333,3,2,1
Regorafenib,0.5,0.5,2,2,1
Momelotinib,0.5,0.3333333333333333,3,2,1
Tubastatin,0.5,0.3333333333333333,3,2,1
Dasatinib,0.5,0.3333333333333333,3,2,1
Danusertib,0.5,0.5,2,2,1
KW-2449,0.5,1.0,1,2,1
Crizotinib,0.5,1.0,1,2,1
ENMD-2076,0.5,0.3333333333333333,3,2,1
Tucidinostat,0.5,0.2,5,2,1
Lapatinib,0.5,0.25,4,2,1
Tacedinaline,0.5,0.2,5,2,1
SL-327,0.5,0.3333333333333333,3,2,1
CUDC-101,0.5,0.25,4,2,1
Resminostat,0.5,0.2,5,2,1
Luminespib,0.5,0.3333333333333333,3,2,1
Vandetanib,0.5,0.3333333333333333,3,2,1
Nintedanib,0.5,0.3333333333333333,3,2,1
GSK1070916,0.5,0.5,2,2,1
Fedratinib,0.5,0.3333333333333333,3,2,1
Tanespimycin,0.5,1.0,1,2,1
Epothilone,0.5,1.0,1,2,1
SGI-1776,0.5,0.3333333333333333,3,2,1
PHA-680632,0.5,1.0,1,2,1
Carmofur,0.0,0.0,1,2,0
Cerdulatinib,0.0,0.0,2,1,0
Selisistat,0.0,0.0,1,1,0
Rigosertib,0.0,0.0,1,2,0
AZD1480,0.0,0.0,1,2,0
Alvespimycin,0.0,0.0,2,2,0
Pirarubicin,0.0,0.0,1,2,0
TAK-901,0.0,0.0,1,2,0
SNS-314,0.0,0.0,1,2,0
ZM,0.0,0.0,1,2,0
Navitoclax,0.0,0.0,1,2,0
Alisertib,0.0,0.0,1,2,0
